corpus,beam_rank,expression,expression_display,rmse,winner_family,uses_new_operator
Complete Works of Shakespeare,1,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.18285154352815539,is,False
Complete Works of Shakespeare,2,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.18461777340942814,exp,False
Complete Works of Shakespeare,3,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.18618029461475435,other,False
Complete Works of Shakespeare,4,"sub[pow[x,x],sqrt[x]]",x^x - sqrt(x),0.1863648247937214,xpow,False
Complete Works of Shakespeare,5,"mul[sub[1,x],sub[1,x]]",(1 - x)^2,0.18705984191927655,euclidean,False
Complete Works of Shakespeare,6,"mul[sub[x,1],log[x]]",((x-1)*log(x)),0.18750264146230872,other,False
Complete Works of Shakespeare,7,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.18906525781893654,other,False
Complete Works of Shakespeare,8,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.18918977817012575,other,False
Complete Works of Shakespeare,9,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.18985739752992065,other,False
Complete Works of Shakespeare,10,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.18994582370773802,other,False
War and Peace,1,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.18043682215068654,is,False
War and Peace,2,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.1831808749702038,exp,False
War and Peace,3,"sub[pow[x,x],sqrt[x]]",x^x - sqrt(x),0.18477824492784575,xpow,False
War and Peace,4,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.18487584221156655,other,False
War and Peace,5,"mul[sub[x,1],log[x]]",((x-1)*log(x)),0.18574372316034374,other,False
War and Peace,6,"mul[sub[1,x],sub[1,x]]",(1 - x)^2,0.18584620267502414,euclidean,False
War and Peace,7,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.1878457176871986,other,False
War and Peace,8,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.18818508957537378,other,False
War and Peace,9,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.18895663876694282,other,False
War and Peace,10,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.18928731791406278,other,False
Moby Dick,1,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.16334575772525425,exp,False
Moby Dick,2,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.1643352350610081,other,False
