ablation_family,slug,corpus,setting,x_low,exp_clamp,value_abs_limit,weighting,token_count,vocabulary_size,zm_c,zm_rmse,step2_winner_expr,step2_winner_math,step2_rmse,step2_delta_vs_zm,step2_helpful,canonical_step2_winner_expr,matches_canonical_step2_winner,notes
boundary_x_low,shakespeare,Complete Works of Shakespeare,x_low=0.01,0.01,,,,,,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.1829367872250992,-0.0014936377813441204,True,"sub[sub[x,1],log[x]]",True,Boundary-normalization x_low ablation.
boundary_x_low,shakespeare,Complete Works of Shakespeare,x_low=0.05,0.05,,,,,,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,-0.0015788814782879412,True,"sub[sub[x,1],log[x]]",True,Boundary-normalization x_low ablation.
boundary_x_low,shakespeare,Complete Works of Shakespeare,x_low=0.1,0.1,,,,,,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18299281225369587,-0.0014376127527474525,True,"sub[sub[x,1],log[x]]",True,Boundary-normalization x_low ablation.
boundary_x_low,don_quixote,Don Quixote,x_low=0.01,0.01,,,,,,65.66394188576379,0.17475947545743248,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.17656636406798198,0.0018068886105495063,False,"eml[sub[x,1],eml[x,1]]",True,Boundary-normalization x_low ablation.
boundary_x_low,don_quixote,Don Quixote,x_low=0.05,0.05,,,,,,65.66394188576379,0.17475947545743248,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1763356841530791,0.0015762086956466193,False,"eml[sub[x,1],eml[x,1]]",True,Boundary-normalization x_low ablation.
boundary_x_low,don_quixote,Don Quixote,x_low=0.1,0.1,,,,,,65.66394188576379,0.17475947545743248,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.17607800232964055,0.00131852687220807,False,"eml[sub[x,1],eml[x,1]]",True,Boundary-normalization x_low ablation.
boundary_x_low,principia_ethica,Principia Ethica,x_low=0.01,0.01,,,,,,78.7645572814913,0.18553045124099837,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.18506790218065972,-0.0004625490603386573,True,"sub[sub[x,1],log[x]]",False,Boundary-normalization x_low ablation.
boundary_x_low,principia_ethica,Principia Ethica,x_low=0.05,0.05,,,,,,78.7645572814913,0.18553045124099837,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18433252648149676,-0.0011979247595016174,True,"sub[sub[x,1],log[x]]",True,Boundary-normalization x_low ablation.
boundary_x_low,principia_ethica,Principia Ethica,x_low=0.1,0.1,,,,,,78.7645572814913,0.18553045124099837,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.1836964112026232,-0.0018340400383751732,True,"sub[sub[x,1],log[x]]",True,Boundary-normalization x_low ablation.
numeric_guard,shakespeare,Complete Works of Shakespeare,baseline,,30.0,1000000.0,,,,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,-0.0015788814782879412,True,"sub[sub[x,1],log[x]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,shakespeare,Complete Works of Shakespeare,tight,,20.0,10000.0,,,,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,-0.0015788814782879412,True,"sub[sub[x,1],log[x]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,shakespeare,Complete Works of Shakespeare,loose,,60.0,1000000000.0,,,,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,-0.0015788814782879412,True,"sub[sub[x,1],log[x]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,principia_ethica,Principia Ethica,baseline,,30.0,1000000.0,,,,78.7645572814913,0.18553045124099837,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18433252648149676,-0.0011979247595016174,True,"sub[sub[x,1],log[x]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,principia_ethica,Principia Ethica,tight,,20.0,10000.0,,,,78.7645572814913,0.18553045124099837,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18433252648149676,-0.0011979247595016174,True,"sub[sub[x,1],log[x]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,principia_ethica,Principia Ethica,loose,,60.0,1000000000.0,,,,78.7645572814913,0.18553045124099837,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18433252648149676,-0.0011979247595016174,True,"sub[sub[x,1],log[x]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,ulysses,Ulysses,baseline,,30.0,1000000.0,,,,0.6324152122192379,0.1836179291561817,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1830188859516618,-0.0005990432045198946,True,"eml[sub[x,1],eml[x,1]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,ulysses,Ulysses,tight,,20.0,10000.0,,,,0.6324152122192379,0.1836179291561817,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1830188859516618,-0.0005990432045198946,True,"eml[sub[x,1],eml[x,1]]",True,Exp-clamp and value-absolute-limit guard ablation.
numeric_guard,ulysses,Ulysses,loose,,60.0,1000000000.0,,,,0.6324152122192379,0.1836179291561817,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.1830188859516618,-0.0005990432045198946,True,"eml[sub[x,1],eml[x,1]]",True,Exp-clamp and value-absolute-limit guard ablation.
weighted_least_squares,shakespeare,Shakespeare,ols,,,,OLS,988670,24458,244.84484777363113,0.18443042500644333,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,-0.0015788814782879412,True,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,shakespeare,Shakespeare,freq_weighted,,,,Frequency-Weighted,988670,24458,9.073091802818867,0.5502328630733702,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.5510151865868332,0.000782323513463079,False,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,shakespeare,Shakespeare,rank_weighted,,,,Rank-Weighted,988670,24458,10.938417403942369,0.377052373165945,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.37571923479209696,-0.0013331383738480196,True,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,war_and_peace,War and Peace,ols,,,,OLS,583368,17445,209.1315494553841,0.182982301215073,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18043682215068654,-0.0025454790643864578,True,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,war_and_peace,War and Peace,freq_weighted,,,,Frequency-Weighted,583368,17445,3.421811857343739,0.5717520197607658,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.5725690832420361,0.0008170634812703081,False,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,war_and_peace,War and Peace,rank_weighted,,,,Rank-Weighted,583368,17445,4.114416655169268,0.41626859610452854,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.41491817917435836,-0.001350416930170184,True,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,bible,King James Bible,ols,,,,OLS,792180,12555,171.38167664978175,0.18823043086752944,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.1854896711109791,-0.0027407597565503317,True,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,bible,King James Bible,freq_weighted,,,,Frequency-Weighted,792180,12555,3.0036438537788244,0.7813145466660218,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.7828329298940834,0.0015183832280615261,False,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,bible,King James Bible,rank_weighted,,,,Rank-Weighted,792180,12555,4.7313743090059495,0.47733756929449656,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.47572140965516463,-0.0016161596393319266,True,"sub[sub[x,1],log[x]]",True,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,moby_dick,Moby Dick,ols,,,,OLS,219054,16956,10.497932011426359,0.16154871217642858,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.1668446074380373,0.00529589526160873,False,"eml[sub[x,1],eml[x,1]]",False,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,moby_dick,Moby Dick,freq_weighted,,,,Frequency-Weighted,219054,16956,1.9566296591951036,0.21018147017052816,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.2133905817956303,0.003209111625102151,False,"eml[sub[x,1],eml[x,1]]",False,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
weighted_least_squares,moby_dick,Moby Dick,rank_weighted,,,,Rank-Weighted,219054,16956,1.8902400113773232,0.1959019282441552,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.19796939167717387,0.002067463433018668,False,"eml[sub[x,1],eml[x,1]]",False,Historical WLS script evaluated the canonical IS correction; it did not save a fresh search winner per weighting method.
