slug,corpus,moe_base_rmse,moe_winner_expr,moe_step2_residual_rmse,moe_step2_composite_rmse,moe_improvement,smooth_base_rmse,smooth_winner_expr,smooth_step2_residual_rmse,smooth_step2_composite_rmse,smooth_improvement
shakespeare,Complete Works of Shakespeare,0.15425984967195874,"mul[log[x],sub[1,x]]",0.12169915742167599,0.12169915742167599,0.032560692250282755,0.1132760654055252,"eml[sub[x,1],eml[x,1]]",0.11502782907320169,0.11502782907320169,-0.001751763667676487
war_and_peace,War and Peace,0.11735001409162679,"mul[log[x],sub[1,x]]",0.09170749122347249,0.09170749122347248,0.025642522868154313,0.11975383361263765,"eml[sub[x,1],eml[x,1]]",0.12156827026269015,0.12156827026269015,-0.0018144366500525005
moby_dick,Moby Dick,0.05012623138046894,"eml[sub[x,1],eml[x,1]]",0.054742485238375854,0.054742485238375854,-0.004616253857906913,0.1187246779643674,"eml[sub[x,1],eml[x,1]]",0.12043951242028303,0.12043951242028303,-0.0017148344559156231
king_james_bible,King James Bible,0.14847703513556781,"mul[log[x],sub[1,x]]",0.1131929247578978,0.1131929247578978,0.035284110377670014,0.11583651766338211,"eml[sub[x,1],eml[x,1]]",0.11795634602343753,0.11795634602343753,-0.00211982836005542
federalist_papers,Federalist Papers,0.11862059792363319,"mul[sub[x,1],sub[1,x]]",0.10361562464780232,0.10361562464780232,0.015004973275830877,0.11684528347840346,"eml[sub[x,1],eml[x,1]]",0.11913564417953056,0.11913564417953056,-0.002290360701127092
grimms_fairy_tales,Grimm's Fairy Tales,0.10590470066975342,"add[log[x],sub[1,x]]",0.07918376803533175,0.07918376803533175,0.02672093263442167,0.10823077911929448,"eml[sub[x,1],eml[x,1]]",0.11125228720649093,0.11125228720649093,-0.0030215080871964506
don_quixote,Don Quixote,0.0872148847544495,"add[log[x],sub[1,x]]",0.07383698394708109,0.07383698394708109,0.013377900807368406,0.1154443752679549,"eml[sub[x,1],eml[x,1]]",0.11735490214252338,0.11735490214252337,-0.001910526874568469
pride_and_prejudice,Pride and Prejudice,0.09872673645992718,"add[log[x],sub[1,x]]",0.07995605249949209,0.07995605249949209,0.01877068396043509,0.10951174030389708,"eml[sub[x,1],eml[x,1]]",0.11213986748676459,0.11213986748676459,-0.002628127182867507
canterbury_tales,Canterbury Tales,0.056712786360065826,"add[sub[1,x],log[x]]",0.05056575689703046,0.05056575689703046,0.006147029463035365,0.11193273998972732,"eml[sub[x,1],eml[x,1]]",0.11371118195371008,0.11371118195371008,-0.0017784419639827603
arabian_nights_vol1,Arabian Nights (Vol 1),0.08276020551714496,"add[log[x],sub[1,x]]",0.07198333769922315,0.07198333769922315,0.01077686781792181,0.10636512363789612,"eml[sub[x,1],eml[x,1]]",0.1083753086308153,0.1083753086308153,-0.0020101849929191895
aesops_fables,Aesop's Fables,0.08272125995319339,"sub[sqrt[x],pow[x,x]]",0.08777464274649244,0.08777464274649244,-0.005053382793299047,0.10923629981578861,"eml[sub[x,1],eml[x,1]]",0.112433538516068,0.112433538516068,-0.003197238700279381
complete_sherlock_holmes,Complete Sherlock Holmes,0.07504607201854799,"add[sub[1,x],log[x]]",0.0706644522587461,0.0706644522587461,0.004381619759801891,0.10933978842066736,"eml[sub[x,1],eml[x,1]]",0.11180813162659872,0.11180813162659872,-0.002468343205931367
jane_eyre,Jane Eyre,0.04730859074154607,"add[sub[1,x],log[x]]",0.0541346788371416,0.0541346788371416,-0.0068260880955955255,0.1163386668513631,"eml[sub[x,1],eml[x,1]]",0.11830422435807554,0.11830422435807554,-0.0019655575067124426
dubliners,Dubliners,0.05765132286198107,"sub[sqrt[x],pow[x,x]]",0.06122410782473409,0.061224107824734086,-0.0035727849627530187,0.11031954869396245,"eml[sub[x,1],eml[x,1]]",0.1128503557274124,0.1128503557274124,-0.002530807033449947
the_iliad,The Iliad,0.15053520662928055,"mul[log[x],sub[1,x]]",0.11987826714526167,0.11987826714526167,0.030656939484018875,0.10892884624421013,"eml[sub[x,1],eml[x,1]]",0.1109945978136605,0.1109945978136605,-0.0020657515694503664
democracy_in_america,Democracy in America,0.12737223256639962,"mul[log[x],sub[1,x]]",0.11081468441405713,0.11081468441405712,0.016557548152342505,0.11510033697902673,"eml[sub[x,1],eml[x,1]]",0.11733191333597179,0.11733191333597179,-0.002231576356945056
origin_of_species,Origin of Species,0.1205998001923725,"mul[log[x],sub[1,x]]",0.09480786851766854,0.09480786851766854,0.025791931674703963,0.11061655800432171,"eml[sub[x,1],eml[x,1]]",0.11317015270962832,0.11317015270962832,-0.002553594705306611
wealth_of_nations,Wealth of Nations,0.14746434058772348,"mul[log[x],sub[1,x]]",0.1098364769053763,0.1098364769053763,0.037627863682347176,0.11150530937515793,"eml[sub[x,1],eml[x,1]]",0.11375919729091231,0.11375919729091231,-0.002253887915754385
les_miserables,Les Miserables,0.13024544435582447,"mul[log[x],sub[1,x]]",0.1063503933410425,0.1063503933410425,0.023895051014781968,0.11623798486757476,"eml[sub[x,1],eml[x,1]]",0.11792466202136101,0.11792466202136101,-0.0016866771537862452
decline_and_fall_vol1,Decline and Fall Vol 1,0.19427162093186554,"mul[log[x],sub[1,x]]",0.16416708994357068,0.1641670899435707,0.030104530988294825,0.11329121717299707,"eml[sub[x,1],eml[x,1]]",0.11520478790785825,0.11520478790785825,-0.0019135707348611752
emile,Emile,0.11383826731001431,"add[log[x],sub[1,x]]",0.09660844856947888,0.09660844856947888,0.017229818740535432,0.11100051974248441,"eml[sub[x,1],eml[x,1]]",0.11321386921740789,0.11321386921740789,-0.002213349474923479
ulysses,Ulysses,0.032379489315583376,"add[sub[1,x],log[x]]",0.039811554550053425,0.039811554550053425,-0.007432065234470049,0.11000499468428752,"eml[sub[x,1],eml[x,1]]",0.11148859290204997,0.11148859290204997,-0.0014835982177624496
collected_poe,Collected Poe,0.0879267895672839,"sub[div[x,1],pow[x,x]]",0.0873626709484017,0.0873626709484017,0.0005641186188822117,0.11121130676417938,"eml[sub[x,1],eml[x,1]]",0.11346947338119173,0.11346947338119173,-0.00225816661701235
principia_ethica,Principia Ethica,0.19349073179553625,"mul[log[x],sub[1,x]]",0.14438095926690694,0.14438095926690694,0.0491097725286293,0.10212293042423279,"eml[sub[x,1],eml[x,1]]",0.10559106806578127,0.10559106806578127,-0.003468137641548477
critique_of_pure_reason,Critique of Pure Reason,0.1611327225199191,"mul[log[x],sub[1,x]]",0.11942380539508465,0.11942380539508465,0.04170891712483446,0.10340710309207045,"eml[sub[x,1],eml[x,1]]",0.106177914162005,0.106177914162005,-0.002770811069934556
