slug,corpus,vocabulary_size,zipf_rank_rmse_legacy,moezipf_rank_rmse,single_zm_rank_rmse,hard_piecewise_rank_rmse,continuous_piecewise_rank_rmse,smooth_ksqrtv_rank_rmse,smooth_free_k_rank_rmse,sqrtv_minus_free_k_rmse
aesops_fables,Aesop's Fables,4394,0.23628566501538525,0.08272125995319339,0.16735320782668867,,0.13935908206032835,0.11480356036201453,0.10923629981578861,0.005567260546225916
arabian_nights_vol1,Arabian Nights (Vol 1),13883,0.16025260335571756,0.08276020551714496,0.18214133284804268,,0.13518970344256978,0.10683665649414692,0.10636512363789612,0.0004715328562508031
canterbury_tales,Canterbury Tales,17653,0.23875165048962058,0.056712786360065826,0.1665283991638177,,0.1388823080030908,0.11193340689248057,0.11193273998972732,6.669027532574257e-07
collected_poe,Collected Poe,9312,0.2580941959974068,0.0879267895672839,0.17261835225209593,,0.15153285697804952,0.11221704271005331,0.11121130676417938,0.0010057359458739284
complete_sherlock_holmes,Complete Sherlock Holmes,7817,0.26093426149264,0.07504607201854799,0.16734863500618616,,0.14340556356630996,0.10968334847254023,0.10933978842066736,0.00034356005187287375
critique_of_pure_reason,Critique of Pure Reason,6537,0.33863745708956594,0.1611327225199191,0.17572941010503937,,0.1420037043578865,0.10476815004870389,0.10340710309207045,0.0013610469566334438
decline_and_fall_vol1,Decline and Fall Vol 1,15983,0.3683264223464742,0.19427162093186554,0.20969049311274274,,0.17471571287743526,0.11329228486957102,0.11329121717299707,1.0676965739447875e-06
democracy_in_america,Democracy in America,9301,0.45638587927232777,0.12737223256639962,0.19237447237772765,,0.14913763536563937,0.11547265449434024,0.11510033697902673,0.0003723175153135111
don_quixote,Don Quixote,15574,0.3844918915860192,0.0872148847544495,0.17475947545743248,,0.14867345466834203,0.11612856456094527,0.1154443752679549,0.0006841892929903698
dubliners,Dubliners,7157,0.16398018930692757,0.05765132286198107,0.1747833499623146,,0.1243538161212096,0.1117490605381215,0.11031954869396245,0.0014295118441590565
emile,Emile,11174,0.35833715585968823,0.11383826731001431,0.17876657983042643,,0.1562817505413838,0.1111821965684402,0.11100051974248441,0.0001816768259557816
federalist_papers,Federalist Papers,8617,0.48730702094533634,0.11862059792363319,0.19477513427832338,,0.14446414907777438,0.11718658916182588,0.11684528347840346,0.00034130568342241596
grimms_fairy_tales,Grimm's Fairy Tales,4746,0.41515178751793197,0.10590470066975342,0.1639896169456386,,0.14736387938587825,0.1110144669715408,0.10823077911929448,0.002783687852246322
jane_eyre,Jane Eyre,12541,0.3113857611976406,0.04730859074154607,0.16124696646095948,,0.15271727781160685,0.11634136237676539,0.1163386668513631,2.6955254022881237e-06
king_james_bible,King James Bible,12555,0.495366760861728,0.14847703513556781,0.18823043086752944,,0.14373457002674006,0.11618631096751006,0.11583651766338211,0.00034979330412794607
les_miserables,Les Miserables,22677,0.39262661266577403,0.13024544435582447,0.1884156100596475,,0.15456970098898326,0.11761312866252482,0.11623798486757476,0.0013751437949500595
moby_dick,Moby Dick,16956,0.28357041227090846,0.05012623138046894,0.16154871217642858,,0.14571587662807223,0.1193125617817418,0.1187246779643674,0.0005878838173743878
origin_of_species,Origin of Species,6887,0.5248113143724439,0.1205998001923725,0.18056155772897703,,0.14052998315418183,0.11191511729522888,0.11061655800432171,0.0012985592909071642
pride_and_prejudice,Pride and Prejudice,6729,0.3564543831569368,0.09872673645992718,0.16596695026783828,,0.15305902501140747,0.1097427131470221,0.10951174030389708,0.0002309728431250102
principia_ethica,Principia Ethica,3814,0.4579526537595022,0.19349073179553625,0.18553045124099837,,0.15563657523015623,0.10285585472351833,0.10212293042423279,0.0007329242992855367
shakespeare,Complete Works of Shakespeare,24458,0.40609653872819673,0.15425984967195874,0.18443042500644333,,0.15478064641490122,0.11525409296409819,0.1132760654055252,0.0019780275585729867
the_iliad,The Iliad,12300,0.3720007404686848,0.15053520662928055,0.18236092772098422,,0.16110842797834768,0.11007775962442465,0.10892884624421013,0.001148913380214514
ulysses,Ulysses,28990,0.11461575548655967,0.032379489315583376,0.1836179291561817,,0.12817312624556268,0.11003687805938572,0.11000499468428752,3.188337509819894e-05
war_and_peace,War and Peace,17445,0.4773826321019568,0.11735001409162679,0.182982301215073,,0.14328692969760093,0.12027058334533341,0.11975383361263765,0.0005167497326957621
wealth_of_nations,Wealth of Nations,9478,0.521962898145416,0.14746434058772348,0.18142024644033927,,0.1430321322694071,0.11196807782717179,0.11150530937515793,0.0004627684520138592
