slug,corpus,vocabulary_size,sqrt_v,k_crossover,alpha_per_corpus,log_vocabulary_size,log_k_crossover,crossover_deviation_from_sqrt_v,censored_at_top_n
aesops_fables,Aesop's Fables,4394,66.2872536767062,174,0.6150522435505044,8.387995252944556,5.159055299214529,1.624939039541848,False
arabian_nights_vol1,Arabian Nights (Vol 1),13883,117.8261431092438,170,0.5384328063891581,9.538420349034803,5.135798437050262,0.44280374044309195,False
canterbury_tales,Canterbury Tales,17653,132.8645927250748,178,0.5299072684809896,9.778661019589283,5.181783550292085,0.3397098229798513,False
collected_poe,Collected Poe,9312,96.49870465451855,190,0.5741317541088872,9.139059169971219,5.247024072160486,0.968938346687986,False
complete_sherlock_holmes,Complete Sherlock Holmes,7817,88.41379982785493,182,0.5805415107446419,8.96405612822033,5.204006687076795,1.0585021835319939,False
critique_of_pure_reason,Critique of Pure Reason,6537,80.85171612278863,108,0.5329546632134752,8.78523362361273,4.68213122712422,0.33577869684276784,False
decline_and_fall_vol1,Decline and Fall Vol 1,15983,126.42389014739263,138,0.5090516245523655,9.679280936368654,4.927253685157205,0.09156584122756581,False
democracy_in_america,Democracy in America,9301,96.44169222903547,136,0.5376144566273772,9.137877200242468,4.912654885736052,0.4101784908234409,False
don_quixote,Don Quixote,15574,124.79583326377528,194,0.5457021364765622,9.653358136136932,5.267858159063328,0.5545390813646079,False
dubliners,Dubliners,7157,84.59905436823747,138,0.5551305854663401,8.875846177738598,4.927253685157205,0.6312239070583724,False
emile,Emile,11174,105.70714261581381,200,0.5684069634077132,9.321344930019094,5.298317366548036,0.8920197353823843,False
federalist_papers,Federalist Papers,8617,92.82779756085996,158,0.5586933011972369,9.061492275239766,5.062595033026967,0.7020763623785397,False
grimms_fairy_tales,Grimm's Fairy Tales,4746,68.89121859859934,156,0.5965530706477706,8.465057436995709,5.049856007249537,1.2644395493850606,False
jane_eyre,Jane Eyre,12541,111.9866063420086,182,0.5514612519004269,9.43675855582405,5.204006687076795,0.6251943508687955,False
king_james_bible,King James Bible,12555,112.0490963818986,160,0.5377454360152125,9.437874271591685,5.075173815233827,0.4279454736044424,False
les_miserables,Les Miserables,22677,150.58884420832774,174,0.5144082688332777,10.029106473960287,5.159055299214529,0.1554640777990485,False
moby_dick,Moby Dick,16956,130.21520648526422,178,0.5320992946785154,9.738377032472528,5.181783550292085,0.3669678434994713,False
origin_of_species,Origin of Species,6887,82.98795093265046,140,0.5591743653058925,8.837390855544697,4.941642422609304,0.6869918876972649,False
pride_and_prejudice,Pride and Prejudice,6729,82.03048213926333,164,0.578597824520421,8.814181823188319,5.099866427824199,0.9992568094574508,False
principia_ethica,Principia Ethica,3814,61.75759062657804,140,0.5992459953904741,8.246433786160365,4.941642422609304,1.2669278153437142,False
shakespeare,Complete Works of Shakespeare,24458,156.3905367981068,150,0.49587113189005666,10.104712639749316,5.0106352940962555,-0.04086268216060097,False
the_iliad,The Iliad,12300,110.90536506409417,144,0.5277292341229006,9.417354541360508,4.969813299576001,0.2984042739211025,False
ulysses,Ulysses,28990,170.26450011673015,170,0.4998486892107657,10.274706221915702,5.135798437050262,-0.0015534660281433356,False
war_and_peace,War and Peace,17445,132.07952150125317,174,0.5282232549696646,9.766808353620874,5.159055299214529,0.3173881766247093,False
wealth_of_nations,Wealth of Nations,9478,97.35502041497398,128,0.5298868705773708,9.156728602527533,4.852030263919617,0.31477554474748565,False
