slug,corpus,seed,vocab_size,winning_gate,winner_bic,independent_gate_spread,tanh_calibration_pass,bic_tanh_minus_logistic,w_gate_tanh_over_2w_gate_logistic_ratio,w_tail_tanh_over_w_tail_logistic_ratio,logistic_bic,erf_bic,algebraic_bic,arctan_bic,worst_gate
shakespeare,Complete Works of Shakespeare,20260415,24458,erf,-108101.40890738324,3067.2743095733167,True,-4.137182259000838e-06,0.9999595828322576,0.9999026822550507,-107202.19167109909,-108101.40890738324,-106146.18280283248,-105034.13459780993,arctan
war_and_peace,War and Peace,20260415,17445,erf,-75085.70964905884,2053.051159063776,True,-2.7799978852272034e-07,0.9999966879805434,1.0000049683981442,-74492.98242225933,-75085.70964905884,-73780.17465811853,-73032.65848999507,arctan
moby_dick,Moby Dick,20260415,16956,erf,-72936.24002689857,1171.2406171349721,True,-2.3429020075127482e-06,0.9999862572608503,1.0000591080013836,-72573.62170450532,-72936.24002689857,-72185.25011864981,-71764.9994097636,arctan
king_james_bible,King James Bible,20260415,12555,erf,-54922.18483900748,1555.7162513997682,True,2.6641791919246316e-06,1.0000689251662862,1.0001009622930606,-54532.91035585803,-54922.18483900748,-53992.76984779752,-53366.46858760771,arctan
federalist_papers,Federalist Papers,20260415,8617,erf,-37414.615315046096,746.6208573662589,True,3.799781552515924e-06,1.0000732725647956,1.000040391123274,-37240.2216892983,-37414.615315046096,-36989.98396019653,-36667.99445767984,arctan
grimms_fairy_tales,Grimm's Fairy Tales,20260415,4746,erf,-21051.085809775424,12.800607469191164,True,-2.500928530935198e-07,1.0000089932332987,1.00000982592092,-21038.285202306233,-21051.085809775424,-21046.017664844752,-21048.746612440034,logistic
don_quixote,Don Quixote,20260415,15574,erf,-67949.52577718663,1419.2881279792346,True,5.660840542986989e-07,1.0000122613569804,0.9999192098629398,-67569.4065401943,-67949.52577718663,-67088.84588850157,-66530.2376492074,arctan
pride_and_prejudice,Pride and Prejudice,20260415,6729,erf,-29858.72224880925,267.09005188842275,True,-7.955568435136229e-07,0.999994979696962,0.999958616569852,-29819.61001044498,-29858.72224880925,-29744.879210534924,-29591.632196920826,arctan
canterbury_tales,Canterbury Tales,20260415,17653,erf,-77502.92720830099,795.3230256001116,True,4.358444130048156e-06,1.0000290588734853,1.0001256050112128,-77302.73954179128,-77502.92720830099,-77110.540706041,-76707.60418270087,arctan
arabian_nights_vol1,Arabian Nights (Vol 1),20260415,13883,erf,-62245.80677113453,410.7282560375679,True,-1.3664248399436474e-08,1.0000084492451784,0.9999636915662928,-62148.98979809186,-62245.80677113453,-62079.617358463474,-61835.07851509696,arctan
aesops_fables,Aesop's Fables,20260415,4394,erf,-19415.52168323879,25.399888094110793,True,-1.668195181991905e-07,0.9999721435865518,1.0000092783236563,-19411.00432153534,-19415.52168323879,-19408.545909417127,-19390.121795144678,arctan
complete_sherlock_holmes,Complete Sherlock Holmes,20260415,7817,erf,-34701.679545075145,239.94856092206464,True,-7.0583337219432e-07,1.000033263740122,0.9999416899176926,-34644.56437543057,-34701.679545075145,-34569.13753486747,-34461.73098415308,arctan
jane_eyre,Jane Eyre,20260415,12541,erf,-54202.642715371134,639.1518946836004,True,-7.545197149738669e-06,0.9999489803698198,0.9999871884028969,-54024.32168321529,-54202.642715371134,-53814.06834341077,-53563.49082068753,arctan
dubliners,Dubliners,20260415,7157,arctan,-31487.88538915593,6.979720189392538,True,2.0622879674192518e-05,1.0000615977703746,0.9999605931208154,-31480.905668966538,-31484.904922407757,-31483.294879474415,-31487.88538915593,logistic
the_iliad,The Iliad,20260415,12300,erf,-54569.83226344295,404.3769419244345,True,6.975795258767903e-06,1.0001243136485702,1.000451201195699,-54483.96705303369,-54569.83226344295,-54393.14060747899,-54165.455321518515,arctan
democracy_in_america,Democracy in America,20260415,9301,erf,-40576.5182321234,691.253478933766,True,-2.133172529283911e-06,1.0000209973799683,1.000059206441331,-40417.08174083309,-40576.5182321234,-40191.934336794686,-39885.26475318964,arctan
origin_of_species,Origin of Species,20260415,6887,erf,-30404.324812479175,312.06919433833536,True,-2.8787326300516725e-07,1.0000142036377855,1.0001399502981725,-30347.22868615204,-30404.324812479175,-30248.311913025536,-30092.25561814084,arctan
wealth_of_nations,Wealth of Nations,20260415,9478,erf,-41804.66751357638,677.3676502714516,True,7.183116395026445e-07,1.000017922888654,1.0000325139905686,-41659.451952953954,-41804.66751357638,-41433.184515422094,-41127.29986330493,arctan
les_miserables,Les Miserables,20260415,22677,erf,-99041.06393146764,2627.6487807951053,True,-2.0146981114521623e-06,0.999930847499246,0.9999928375156318,-98242.97038787806,-99041.06393146764,-97343.1322220562,-96413.41515067253,arctan
decline_and_fall_vol1,Decline and Fall Vol 1,20260415,15983,erf,-70674.21000987061,1615.6892445715202,True,-2.3136090021580458e-07,0.9999448608480684,0.9999498958056641,-70175.83280761002,-70674.21000987061,-69675.94053428204,-69058.5207652991,arctan
emile,Emile,20260415,11174,erf,-49619.851237434625,874.1513748811849,True,-4.042231012135744e-07,1.0000200041287899,1.0000018650912728,-49411.64458513997,-49619.851237434625,-49132.16403369639,-48745.69986255344,arctan
ulysses,Ulysses,20260415,28990,erf,-128968.26694797311,1634.3328179783275,True,8.884526323527098e-07,1.0000025667563661,0.9999984180970943,-127893.29187377344,-128968.26694797311,-127803.24347292379,-127333.93412999478,arctan
collected_poe,Collected Poe,20260415,9312,erf,-40978.37044597775,319.92383395824436,True,-1.4014804037287831e-06,0.9999671176398173,0.9999773165360892,-40897.60006830633,-40978.37044597775,-40846.45675499034,-40658.44661201951,arctan
principia_ethica,Principia Ethica,20260415,3814,erf,-17338.583795516282,29.172392601270985,True,-3.2746538636274636e-07,0.9999865502400587,1.0000509395378205,-17331.69512361233,-17338.583795516282,-17313.244542274904,-17309.41140291501,arctan
critique_of_pure_reason,Critique of Pure Reason,20260415,6537,erf,-29650.093293842423,19.954261805494752,True,-4.923531378153712e-07,0.9999836443768815,0.9999879440308169,-29630.13903203693,-29650.093293842423,-29639.22489114161,-29634.61334805126,logistic
