slug,corpus,gate_family,seed,a1,b1,c1,a2,b2,c2,k,w_gate,w_tail,BIC,final_rmse,k_hit_lower_bound,k_hit_upper_bound,w_gate_hit_lower_bound,w_gate_hit_upper_bound,w_tail_hit_lower_bound,w_tail_hit_upper_bound,any_bounds_hit,best_start_index,best_nfev,wall_clock_seconds,peak_memory_mb,starts_within_1_bic,optimizer_warm_start_info,dispersion_min_bic,dispersion_median_bic,dispersion_max_bic,dispersion_across_starts,parameter_source
shakespeare,Complete Works of Shakespeare,logistic,20260415,22.64646034505051,2.9999999999999996,69.61237522655568,24.20989776577515,2.4144397463838225,999.999999322514,517.4663388923394,1.258563342765574,0.5913099397347501,-107202.19167109909,0.11153510001717021,False,False,False,False,False,False,False,55,62,1278.549824476242,77.30859375,52,100 random starts; best objective selected; per-start dispersion summarized.,-107202.19167109909,-107202.18973910078,-83638.12395974768,min=-107202.19167109909;median=-107202.18973910078;max=-83638.12395974768;within1=52,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
shakespeare,Complete Works of Shakespeare,tanh,20260415,,,,,,,517.5152657580732,2.5170249503996702,0.591252394784849,-107202.19167523627,0.1115351000077369,False,False,False,False,False,False,False,31,39,586.9085643291473,77.890625,54,100 random starts; best objective selected; per-start dispersion summarized.,-107202.19167523627,-107202.19030694276,-69037.06800179843,min=-107202.19167523627;median=-107202.19030694276;max=-69037.06800179843;within1=54,non-logistic a/b/c coefficients not saved in source bundle
shakespeare,Complete Works of Shakespeare,erf,20260415,,,,,,,512.0969048918904,2.646616716431199,0.5945358040620649,-108101.40890738324,0.10950349362891101,False,False,False,False,False,False,False,59,101,3087.1635081768036,77.71875,56,100 random starts; best objective selected; per-start dispersion summarized.,-108101.40890738324,-108101.40706250118,-66151.27114531944,min=-108101.40890738324;median=-108101.40706250118;max=-66151.27114531944;within1=56,non-logistic a/b/c coefficients not saved in source bundle
shakespeare,Complete Works of Shakespeare,algebraic,20260415,,,,,,,553.7149062042863,2.932272172991808,0.5511467470956031,-106146.18280283248,0.11396912170577009,False,False,False,False,False,False,False,6,56,89.61912512779236,77.5546875,55,100 random starts; best objective selected; per-start dispersion summarized.,-106146.18280283248,-106146.1810765395,-68792.97552660933,min=-106146.18280283248;median=-106146.1810765395;max=-68792.97552660933;within1=55,non-logistic a/b/c coefficients not saved in source bundle
shakespeare,Complete Works of Shakespeare,arctan,20260415,,,,,,,612.9607358775938,2.195557946002509,0.49358693033326606,-105034.13459780993,0.116589752379728,False,False,False,False,False,False,False,11,76,86.73515796661377,77.3671875,37,100 random starts; best objective selected; per-start dispersion summarized.,-105034.13459780993,-101921.5046549493,-78671.77231865739,min=-105034.13459780993;median=-101921.5046549493;max=-78671.77231865739;within1=37,non-logistic a/b/c coefficients not saved in source bundle
war_and_peace,War and Peace,logistic,20260415,21.856213514991094,2.9999999999999996,62.50943891846266,23.731386701820796,2.4285551793665774,999.9999958080166,402.1368994965282,1.3028139350590078,0.5675252631030604,-74492.98242225933,0.11793748717960319,False,False,False,False,False,False,False,8,42,145.01654052734375,76.61328125,43,100 random starts; best objective selected; per-start dispersion summarized.,-74492.98242225933,-68372.04924344568,-61570.07346110165,min=-74492.98242225933;median=-68372.04924344568;max=-61570.07346110165;within1=43,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
war_and_peace,War and Peace,tanh,20260415,,,,,,,402.13502756543687,2.605619240227813,0.5675280827945244,-74492.98242253733,0.11793748717866348,False,False,False,False,False,False,False,69,65,156.4014766216278,76.28515625,45,100 random starts; best objective selected; per-start dispersion summarized.,-74492.98242253733,-68372.05084761148,-51679.22199710689,min=-74492.98242253733;median=-68372.05084761148;max=-51679.22199710689;within1=45,non-logistic a/b/c coefficients not saved in source bundle
war_and_peace,War and Peace,erf,20260415,,,,,,,399.33160818921266,2.7104365107531745,0.5689269322805923,-75085.70964905884,0.11595083424114638,False,False,False,False,False,False,False,94,74,865.3762187957764,76.9921875,40,100 random starts; best objective selected; per-start dispersion summarized.,-75085.70964905884,-72076.26573149246,-49971.52775390684,min=-75085.70964905884;median=-72076.26573149246;max=-49971.52775390684;within1=40,non-logistic a/b/c coefficients not saved in source bundle
war_and_peace,War and Peace,algebraic,20260415,,,,,,,422.8649810468973,3.070042592875544,0.5388709065533849,-73780.17465811853,0.12037174864912,False,False,False,False,False,False,False,22,78,102.57392525672913,76.29296875,36,100 random starts; best objective selected; per-start dispersion summarized.,-73780.17465811853,-68311.78784234598,-51510.50165134278,min=-73780.17465811853;median=-68311.78784234598;max=-51510.50165134278;within1=36,non-logistic a/b/c coefficients not saved in source bundle
war_and_peace,War and Peace,arctan,20260415,,,,,,,460.8819085548519,2.3370495168398664,0.49125661035269497,-73032.65848999507,0.1229785315506581,False,False,False,False,False,False,False,35,49,89.45107007026672,76.890625,27,100 random starts; best objective selected; per-start dispersion summarized.,-73032.65848999507,-68274.1914413617,-58270.134891188136,min=-73032.65848999507;median=-68274.1914413617;max=-58270.134891188136;within1=27,non-logistic a/b/c coefficients not saved in source bundle
