synthetic_corpus_id,corpus,true_gate,recovered_gate_by_fitter,recovery_match,erf_beats_true,winner_bic,logistic_bic,erf_bic,bic_erf_minus_logistic,independent_gate_spread
shakespeare,Complete Works of Shakespeare,logistic,logistic,True,False,-1034674.0412419172,-1034674.0412419172,-323600.5752094189,711073.4660324983,830471.7569108062
war_and_peace,War and Peace,logistic,logistic,True,False,-1182968.4487522235,-1182968.4487522235,-237494.67509626216,945473.7736559614,1033024.7744023388
moby_dick,Moby Dick,logistic,logistic,True,False,-735177.8889054675,-735177.8889054675,-211940.87185224012,523237.01705322735,593738.253594991
king_james_bible,King James Bible,logistic,logistic,True,False,-861628.9341904568,-861628.9341904568,-172516.4124997867,689112.52169067,753965.7708111653
federalist_papers,Federalist Papers,logistic,logistic,True,False,-366735.778352029,-366735.778352029,-124638.93379362267,242096.84455840633,291938.06496771565
grimms_fairy_tales,Grimm's Fairy Tales,logistic,logistic,True,False,-184260.1166391167,-184260.1166391167,-64913.59635177147,119346.52028734522,129462.48913329015
don_quixote,Don Quixote,logistic,logistic,True,False,-668079.4643849686,-668079.4643849686,-206251.39159491367,461828.07279005495,535184.5496947941
pride_and_prejudice,Pride and Prejudice,logistic,logistic,True,False,-276440.32410024735,-276440.32410024735,-97196.35017886765,179243.97392137971,218357.32302165803
canterbury_tales,Canterbury Tales,logistic,logistic,True,False,-808459.5022873719,-808459.5022873719,-247140.32997117503,561319.1723161968,662479.617158493
arabian_nights_vol1,Arabian Nights (Vol 1),logistic,logistic,True,False,-939762.6040912397,-939762.6040912397,-212270.85526487837,727491.7488263614,824643.3668480332
aesops_fables,Aesop's Fables,logistic,logistic,True,False,-305560.20636269555,-305560.20636269555,-60188.601204400045,245371.6051582955,259234.05553333092
complete_sherlock_holmes,Complete Sherlock Holmes,logistic,logistic,True,False,-343546.82999762875,-343546.82999762875,-111167.0459105226,232379.78408710615,279060.9155175389
jane_eyre,Jane Eyre,logistic,logistic,True,False,-556602.389074173,-556602.389074173,-172743.73445131787,383858.6546228552,449897.66567673103
dubliners,Dubliners,logistic,logistic,True,False,-291691.5335823868,-291691.5335823868,-102155.16380452747,189536.3697778593,209988.70899678677
the_iliad,The Iliad,logistic,logistic,True,False,-684124.0950949297,-684124.0950949297,-211219.056151149,472905.0389437807,578837.9913907445
democracy_in_america,Democracy in America,logistic,logistic,True,False,-403709.7255004026,-403709.7255004026,-136920.28054025123,266789.4449601514,323863.96772926603
origin_of_species,Origin of Species,logistic,logistic,True,False,-461901.77438961534,-461901.77438961534,-123466.80689855655,338434.9674910588,399824.16712744575
wealth_of_nations,Wealth of Nations,logistic,logistic,True,False,-391897.51276559936,-391897.51276559936,-152177.40829083187,239720.1044747675,307205.1819202857
les_miserables,Les Miserables,logistic,logistic,True,False,-993990.5556782159,-993990.5556782159,-291069.5464007078,702921.0092775081,804783.9224948427
decline_and_fall_vol1,Decline and Fall Vol 1,logistic,logistic,True,False,-720696.197919863,-720696.197919863,-209585.95619344106,511110.241726422,591096.1642599322
emile,Emile,logistic,logistic,True,False,-474662.59662518534,-474662.59662518534,-148963.70402956576,325698.89259561955,381269.24568435684
ulysses,Ulysses,logistic,logistic,True,False,-1495248.685197618,-1495248.685197618,-401311.4567379198,1093937.2284596981,1251084.6636984171
collected_poe,Collected Poe,logistic,logistic,True,False,-429384.7022196542,-429384.7022196542,-144796.91612289083,284587.7860967634,352925.0331228706
principia_ethica,Principia Ethica,logistic,logistic,True,False,-259693.21446817167,-259693.21446817167,-66250.41821315786,193442.79625501382,221310.860915013
critique_of_pure_reason,Critique of Pure Reason,logistic,logistic,True,False,-272423.98104927316,-272423.98104927316,-85757.59659996525,186666.38444930792,203193.28709713125
