slug,corpus,single_zm_c,full_winner,top50_winner,top100_winner,top200_winner,cos_exp_xpow_top200,r2_span_exp_xpow_top200,r2_span_exp_is_top200,xpow_minus_exp_full_rmse,xpow_minus_exp_top100_rmse,full_scores_json,top100_scores_json
moby_dick,Moby Dick,10.497932011426359,exp,xpow,xpow,xpow,0.9684915748449283,0.6639632551578545,0.8251993208549717,0.0033578366193677267,-0.08866050834572606,"{""exp"":0.16334575772525425,""xpow"":0.16670359434462198,""is"":0.1668446074380373}","{""exp"":0.2404447222218761,""xpow"":0.15178421387615004,""is"":0.4051701429487729}"
grimms_fairy_tales,Grimm's Fairy Tales,45.98251274197185,exp,is,xpow,xpow,0.9577653463629018,0.8795981951598071,0.6994085554654764,0.0015516121748657685,-0.07627140845439451,"{""exp"":0.16550485072433857,""xpow"":0.16705646289920434,""is"":0.16733516871434567}","{""exp"":0.338454541262675,""xpow"":0.2621831328082805,""is"":0.33745074359549887}"
don_quixote,Don Quixote,65.66394188576379,exp,is,is,xpow,0.967965053736933,0.9048628570548168,0.6157243107326534,0.002833173168816122,-0.015571794159952301,"{""exp"":0.1763356841530791,""xpow"":0.17916885732189522,""is"":0.17692787402335688}","{""exp"":0.45784708725007345,""xpow"":0.44227529309012115,""is"":0.2934657555303121}"
pride_and_prejudice,Pride and Prejudice,34.11942084275591,exp,xpow,xpow,xpow,0.9614523717581439,0.8818098193440638,0.43039785545298237,0.002567922802530598,-0.07058381953531248,"{""exp"":0.16783926418160022,""xpow"":0.17040718698413082,""is"":0.17136127135128554}","{""exp"":0.257334843569292,""xpow"":0.1867510240339795,""is"":0.31119737114664064}"
canterbury_tales,Canterbury Tales,15.250535352832612,exp,xpow,xpow,xpow,0.9687343074723137,0.9055514597068391,0.605517380047518,0.002746464248999436,-0.08863519154149826,"{""exp"":0.1678242283162659,""xpow"":0.17057069256526533,""is"":0.17093623968880178}","{""exp"":0.25481221136418786,""xpow"":0.1661770198226896,""is"":0.4011119059293468}"
arabian_nights_vol1,Arabian Nights (Vol 1),6.42540318643635,exp,xpow,xpow,xpow,0.9672208088322242,0.5005719862185323,0.48459274098212535,0.0017830736775407419,-0.07909162003921111,"{""exp"":0.18278688989650455,""xpow"":0.1845699635740453,""is"":0.18624953256722684}","{""exp"":0.2508448232702061,""xpow"":0.17175320323099497,""is"":0.4474583183112473}"
aesops_fables,Aesop's Fables,3.68769267556447,exp,xpow,xpow,xpow,0.956843923834999,0.10223595914088301,0.36243866119508383,0.0023691734532093056,-0.05744403359244385,"{""exp"":0.16922954056178502,""xpow"":0.17159871401499432,""is"":0.1771438910999912}","{""exp"":0.1887811462399825,""xpow"":0.13133711264753864,""is"":0.38054549640259483}"
complete_sherlock_holmes,Complete Sherlock Holmes,10.294479612917323,exp,xpow,xpow,xpow,0.9628269332060801,0.7306952189079423,0.43311631299416675,0.002871879690029916,-0.08593456349065588,"{""exp"":0.1692196987389226,""xpow"":0.1720915784289525,""is"":0.17451384855568502}","{""exp"":0.20196598397911997,""xpow"":0.11603142048846408,""is"":0.3774546266674287}"
jane_eyre,Jane Eyre,16.307585257849095,exp,xpow,xpow,xpow,0.9665292132289807,0.8264583661072444,0.5709213395489681,0.0034533972021726367,-0.08492650356736106,"{""exp"":0.16333010797099165,""xpow"":0.1667835051731643,""is"":0.16707255792195488}","{""exp"":0.29091136737552115,""xpow"":0.20598486380816008,""is"":0.4006226708621517}"
dubliners,Dubliners,3.263282326595508,exp,xpow,xpow,xpow,0.96203139911461,0.04368795693305938,0.07554710645077589,0.0011393488317965328,-0.04967721513868714,"{""exp"":0.17518979953881125,""xpow"":0.17632914837060779,""is"":0.18084229963650614}","{""exp"":0.2016383580962841,""xpow"":0.15196114295759697,""is"":0.4271378674394445}"
emile,Emile,51.48067915381241,exp,is,is,xpow,0.9657030786101238,0.8999095034164791,0.5598636024067494,0.0025658861845848646,-0.03098497020989649,"{""exp"":0.18033837337902978,""xpow"":0.18290425956361464,""is"":0.181539251240389}","{""exp"":0.36060640874028405,""xpow"":0.32962143853038756,""is"":0.26249154640854644}"
ulysses,Ulysses,0.6324152122192379,exp,exp,exp,exp,0.9714118484933851,0.48374066540642,0.5413225383785361,0.0005603420429893535,0.01804720957692027,"{""exp"":0.1830188859516618,""xpow"":0.18357922799465115,""is"":0.1847061265396885}","{""exp"":0.14376931264989362,""xpow"":0.1618165222268139,""is"":0.43853396814487133}"
collected_poe,Collected Poe,6.957528471368607,exp,xpow,xpow,xpow,0.9643004386173567,0.8449759231284469,0.5838670149176535,0.0031607475741219915,-0.09331446554457112,"{""exp"":0.17464893963749728,""xpow"":0.17780968721161927,""is"":0.17929969444976834}","{""exp"":0.2926717980280054,""xpow"":0.1993573324834343,""is"":0.43173999300851923}"
critique_of_pure_reason,Critique of Pure Reason,57.9583035946641,exp,is,xpow,xpow,0.9611737289717779,0.8941283701911926,0.7103512172564662,0.0009979865539199162,-0.07314603379444085,"{""exp"":0.1764731254949666,""xpow"":0.17747111204888652,""is"":0.17708956325481962}","{""exp"":0.4204504516654883,""xpow"":0.34730441787104743,""is"":0.3929619410939321}"
