slug,corpus,single_zm_c,transition_fraction,empirical_winner,theta_deg,angle_r2,beta_exp,beta_xpow,winner_full,winner_top100,flip_lambda_exp_to_xpow,scores_lambda_1_json
shakespeare,Complete Works of Shakespeare,244.84484777363113,0.5444976565358106,is,-21.273069348966725,0.9956910447149306,14.175448250002615,-5.5191020487157285,is,is,,"{""is"":0.6160652848332809,""exp"":0.8769962106939666,""xpow"":0.9109915612109944}"
war_and_peace,War and Peace,209.1315494553841,0.5243926046259855,is,3.2700114935926736,0.9776483420627226,8.071290088434354,0.4611492424471112,is,is,,"{""is"":0.5670023869687787,""exp"":0.8176158570400635,""xpow"":0.8334321190797297}"
moby_dick,Moby Dick,10.497932011426359,0.5287551939013028,exp,126.47874709847578,0.856804995993955,-3.652272970080413,4.939594546538597,exp,xpow,0.8500000000000001,"{""is"":0.4051701429487728,""exp"":0.24044472222187613,""xpow"":0.15178421387615004}"
king_james_bible,King James Bible,171.38167664978175,0.5229748725939123,is,3.965983133428227,0.9860342249795525,7.436814603814805,0.5155960464054714,is,is,,"{""is"":0.4378697487236784,""exp"":0.6864976439621105,""xpow"":0.7015096456546827}"
federalist_papers,Federalist Papers,109.04140681413556,0.47939623227755135,is,29.805352290140778,0.9881331008855102,5.157709538938613,2.9544879752712494,is,is,0.7000000000000001,"{""is"":0.43607197276157805,""exp"":0.6421122545428064,""xpow"":0.6287374959443149}"
grimms_fairy_tales,Grimm's Fairy Tales,45.98251274197185,0.672150694255268,exp,108.80172754167705,0.8873991192440124,-1.700516387261665,4.994740417069725,exp,xpow,0.35000000000000003,"{""is"":0.3374507435954989,""exp"":0.338454541262675,""xpow"":0.26218313280828043}"
don_quixote,Don Quixote,65.66394188576379,0.5283123761273466,exp,2.412329439128601,0.9768247579967655,5.9325238819019255,0.2499252908043928,exp,is,0.9500000000000001,"{""is"":0.2934657555303121,""exp"":0.45784708725007345,""xpow"":0.4422752930901211}"
pride_and_prejudice,Pride and Prejudice,34.11942084275591,0.4834333028261786,exp,15.527533976325753,0.9622590966402718,2.6084304562740948,0.7247318761507695,exp,xpow,0.7000000000000001,"{""is"":0.31119737114664064,""exp"":0.257334843569292,""xpow"":0.18675102403397947}"
canterbury_tales,Canterbury Tales,15.250535352832612,0.5010318155557384,exp,91.39930912967212,0.9141504371700822,-0.058126265482678616,2.37955105477455,exp,xpow,0.8500000000000001,"{""is"":0.4011119059293468,""exp"":0.25481221136418786,""xpow"":0.1661770198226896}"
arabian_nights_vol1,Arabian Nights (Vol 1),6.42540318643635,0.47146021798641025,exp,123.29791858658925,0.5371181182738025,-1.8334386360672967,2.7913645468448243,exp,xpow,0.75,"{""is"":0.4474583183112474,""exp"":0.25084482327020613,""xpow"":0.17175320323099494}"
aesops_fables,Aesop's Fables,3.68769267556447,0.6586379759737735,exp,133.68607026690825,0.49477365124523454,-2.4151944584374214,2.5285871131001887,exp,xpow,0.7000000000000001,"{""is"":0.38054549640259483,""exp"":0.18878114623998246,""xpow"":0.13133711264753867}"
