slug,name,token_count,vocab_size,winner_test_avg_nll,winner_train_bic,zipf_test_avg_nll,zm_test_avg_nll,moe_test_avg_nll,seam_test_avg_nll,zipf_bic,zm_bic,moe_bic,seam_bic,zipf_rmse,zm_rmse,moe_rmse,seam_rmse,seam_transition_fraction,seam_step2_expr,seam_step2_gain
shakespeare,Complete Works of Shakespeare,988670,24458,seam,seam,6.987294124701005,6.886706263261564,6.885901469512454,6.882206891519898,11044665.284727398,10880332.66946664,10875735.596531112,10865241.009456422,1.0445410844672778,0.5033384467833102,0.2625362145535966,0.11138017423232514,0.6373121836885548,"eml[sub[x,1],eml[x,1]]",-0.001632771917461709
war_and_peace,War and Peace,583368,17445,moe,seam,6.728314623077691,6.685806986839008,6.678027667860953,6.678951764046226,6270265.62272057,6227681.145573029,6218140.903594784,6216809.499289271,0.8410054067774784,0.5225547562399405,0.31459565155863195,0.11793148904385596,0.5803936963629855,"sub[pow[x,x],sqrt[x]]",-0.002323616080895527
moby_dick,Moby Dick,219054,16956,zm,moe,6.963919141212996,6.947351041367365,6.94910570072398,6.9480969324091895,2416631.4287164332,2408706.7926695063,2407486.870452407,2408487.1759642963,0.36275776367239665,0.2035118842192501,0.1614702835995785,0.11665095163884524,0.41141188672262746,"sub[pow[x,x],sqrt[x]]",-0.0013939509683381784
king_james_bible,King James Bible,792180,12555,seam,seam,6.080495234984778,6.0351662551816245,6.017965050637185,6.0158694645472615,7706178.333430748,7647334.639888597,7623999.54602531,7621173.570458647,1.12071730297289,0.7127283056218012,0.4689815611488445,0.34638226012697504,0.38014045604194363,"eml[neg[x],add[x,x]]",0.09734080089440164
federalist_papers,Federalist Papers,192302,8617,moe,seam,6.207760950769132,6.199416070500408,6.196934223897512,6.200536869015857,1901005.3268132932,1898171.7867817748,1896795.2731316658,1895105.64624692,0.544397267240212,0.42999603494317595,0.3192807061448816,0.11272374917340751,0.7867935553665992,"eml[sub[x,1],eml[x,1]]",-0.0023488436942826207
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,seam,seam,6.128784795037904,6.088523680073925,6.077646160664019,6.077593931411171,995521.8471957908,988508.3163665055,986117.9051650298,985947.5133868268,0.7254395987719101,0.3881160638130412,0.22902930437810234,0.20718641683560113,0.32444065907452774,"eml[sub[x,1],eml[x,1]]",-0.00047926331596911953
don_quixote,Don Quixote,433304,15574,zm,seam,6.5561671213110975,6.496279797495423,6.49630277625205,6.496717047873529,4528560.465965229,4483294.227607191,4482210.757241197,4480545.201417977,0.7233543503510719,0.32557143429825913,0.17543537255949038,0.14654026263498426,0.8196404461868715,"eml[sub[x,1],eml[x,1]]",-0.0017106976218954073
pride_and_prejudice,Pride and Prejudice,128565,6729,zm,seam,6.413204348135392,6.332858287664597,6.338649310626814,6.336766342865564,1315667.9799304297,1298072.6036209841,1298200.4168238388,1297375.8497568062,0.6888471458160018,0.24847537969892236,0.16045749846658702,0.11412779014623715,0.5290055126563525,"eml[sub[x,1],eml[x,1]]",-0.0025348954019614456
canterbury_tales,Canterbury Tales,281189,17653,zm,seam,6.850582452091423,6.803568686885705,6.812278605191087,6.807096938367609,3066453.3017771807,3042325.9145313893,3043874.4111120384,3041619.0046073254,0.4909823904860288,0.20747695681169281,0.17915819250129156,0.12449239639708805,0.4171173280112528,"eml[sub[x,1],eml[x,1]]",-0.0015208419219234631
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,zm,seam,6.706085717676725,6.685473211034842,6.68667142363636,6.689644951042864,1876667.3702692222,1869679.756502764,1869064.858521977,1869040.8412834336,0.383995632531378,0.2183766140634855,0.1889054804214842,0.1166403970964615,0.8210545732853055,"sub[pow[x,x],sqrt[x]]",-0.0022997173470753196
aesops_fables,Aesop's Fables,41594,4394,zm,moe,6.226453453821152,6.221750903154405,6.22365870317628,6.232214731194349,407126.8648592584,406390.83834725246,406154.04069816694,406229.5892923548,0.2873729843328571,0.1953171009003096,0.1690418414055166,0.15719676158974477,0.7733240294028504,"eml[sub[x,1],eml[x,1]]",-0.0013882220291562275
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,zm,seam,6.493105179966957,6.447377412310836,6.456988589888799,6.457764777704256,1091920.882758526,1082868.944033114,1083371.80282814,1082531.853880388,0.46003207306239025,0.18617821432658965,0.18527960983556496,0.11557870599950891,0.8035116153163334,"eml[sub[x,1],eml[x,1]]",-0.0024625705016284305
jane_eyre,Jane Eyre,189604,12541,zm,seam,6.685153958211458,6.639198902037371,6.649150527735459,6.6441230025201,2028571.6392655799,2013563.821238318,2015167.8564587045,2013070.5256010357,0.4551877268631335,0.19638725347767347,0.16701737996511165,0.1329763190429603,0.8678962679369667,"eml[sub[x,1],eml[x,1]]",-0.0014136422844864271
dubliners,Dubliners,69264,7157,zm,seam,6.541972737895993,6.5140093492139535,6.521278476962053,6.550685188767153,719648.8983952302,716138.5075324716,716212.0065943203,715844.7485784143,0.33979653531706766,0.18072667015143826,0.2049871321797169,0.11350836665101455,0.9595922485428044,"eml[sub[x,1],eml[x,1]]",-0.002642482304680255
the_iliad,The Iliad,194969,12300,seam,seam,6.895521366908629,6.890807298983179,6.883404881675385,6.880023653882432,2149501.7264867155,2148005.824509793,2144495.7334961155,2140929.024477279,0.5659851802539935,0.4902503151424587,0.33673259946512457,0.1610656827357911,0.5348896863025492,"eml[sub[x,1],eml[x,1]]",-0.0014545179579809886
democracy_in_america,Democracy in America,187753,9301,moe,seam,6.3184319916345855,6.314583858753442,6.311806433399232,6.316106312812377,1883261.9560547944,1881910.06988025,1880429.625650369,1878541.1351209537,0.511865425860459,0.43554122283961694,0.33038539284096996,0.14849719351476767,0.8014593619206422,"eml[sub[x,1],eml[x,1]]",-0.0016007846025215544
origin_of_species,Origin of Species,156024,6887,moe,seam,6.406563746147002,6.383434243183849,6.374942420183649,6.375771827312974,1595040.2239281347,1588784.541078263,1585965.354240966,1584849.374071741,0.7020565165469784,0.4944655817429498,0.3262328458584624,0.14187448517318013,0.5611278206045995,"eml[sub[x,1],eml[x,1]]",-0.0021035848253423417
wealth_of_nations,Wealth of Nations,380080,9478,seam,seam,6.195766995601775,6.175560092867926,6.161544629142846,6.15558639363369,3767134.7341333968,3753904.8167462577,3744297.3892148933,3738880.445603954,0.9161494496042706,0.6960337552819343,0.4838958031469819,0.19949666046253975,0.37465695649686126,"eml[sub[x,1],eml[x,1]]",-0.0006169353925083998
les_miserables,Les Miserables,575614,22677,moe,seam,6.8275718271667,6.802444035183806,6.800381977779332,6.8027470721870085,6261381.965742982,6235650.2974083135,6230859.975730626,6227450.647865085,0.6563610699768648,0.4345845429783783,0.27686773993112107,0.1249378961369328,0.6406620274251889,"eml[sub[x,1],eml[x,1]]",-0.0009508822706279368
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,seam,seam,6.721170793180686,6.7211701084082005,6.721115289041511,6.718567313339342,2804913.7291478203,2804923.053975802,2804512.7108988175,2798480.700657491,0.4472516943754331,0.44467903094947575,0.39621996127800363,0.18342381524500528,0.6517981821749531,"sub[pow[x,x],sqrt[x]]",0.0004243674817353271
emile,Emile,252843,11174,zm,seam,6.550809484270299,6.487121711325544,6.489192155925541,6.491234477539037,2631486.8019371782,2605087.42133326,2604250.144497008,2603103.484211941,0.6900060125697605,0.3040833222185801,0.17533162894141552,0.161567390849793,0.7035138804438116,"sub[pow[x,x],sqrt[x]]",-0.0006524355220028366
ulysses,Ulysses,268854,28990,zm,seam,7.366644172022561,7.351230348257138,7.360040275685457,7.35632114526539,3150870.6245941045,3142817.345112138,3143943.925443689,3142687.4986199443,0.25049933713192407,0.18471386600811426,0.2197105347227075,0.12576257199680752,0.7849857546492881,"eml[sub[x,1],eml[x,1]]",-0.0011897530925792377
collected_poe,Collected Poe,91801,9312,zm,seam,6.6683107797436625,6.664039209234085,6.666311949576639,6.682485663276571,972490.9788964812,971355.034414906,971150.9710249304,971116.7377864906,0.27336947662560696,0.20481214538811454,0.17224549404962133,0.10637976123745464,0.8216768193164541,"eml[sub[x,1],eml[x,1]]",-0.0026774509831055116
