slug,name,best_lambda,free_test_avg_nll,fixed_k_test_avg_nll,softk_test_avg_nll,free_step2_gain,fixed_k_step2_gain,softk_step2_gain,softk_transition_fraction,softk_w,softk_dev_logk
shakespeare,Complete Works of Shakespeare,0.0001,6.882206891519898,6.882279159095964,6.882154461847067,-0.001632771917461709,-0.0011492158115366524,-0.0010896150246089142,0.5380944862566106,4.4532063267896085,0.16846777804579638
war_and_peace,War and Peace,0.03,6.678951764046226,6.678691148647906,6.678678865152861,-0.002323616080895527,-0.0007343502645919264,-0.0009358103826155872,0.5221226664131904,5.0,0.0068404671395354555
moby_dick,Moby Dick,0.0001,6.9480969324091895,6.95188579599731,6.948129203324875,-0.0013939509683381784,-0.0016972077667074814,-0.0004310221974201389,0.4109874960110488,4.29156714771769,-1.0754556365039196
king_james_bible,King James Bible,0.0003,6.0158694645472615,6.021741760706273,6.016015736044842,0.09734080089440164,7.056734409235932e-05,0.0894896871269378,0.37838726941702666,5.0,-1.3499465165999545
federalist_papers,Federalist Papers,0.003,6.200536869015857,6.200500757558244,6.199844992900314,-0.0023488436942826207,-0.0014791992962258638,-0.0018337847342417835,0.5383979234168087,5.0,0.15382459420941696
grimms_fairy_tales,Grimm's Fairy Tales,0.0001,6.077593931411171,6.082621061135337,6.077603811556091,-0.00047926331596911953,-0.0029366556640126884,-0.0004983982554198074,0.3196067353506597,4.979802794652174,-1.7083802401729202
don_quixote,Don Quixote,0.0003,6.496717047873529,6.497166045244131,6.496925073059477,-0.0017106976218954073,-0.0014055878491310292,-0.0013981574011522058,0.58510176710674,5.0,0.614720823080142
pride_and_prejudice,Pride and Prejudice,0.0003,6.336766342865564,6.337527941837865,6.336783021894429,-0.0025348954019614456,-0.0013278986915389868,-0.0026861175930713577,0.40801666558435146,2.408737477722238,-0.9995777708674587
canterbury_tales,Canterbury Tales,0.001,6.807096938367609,6.806869355807823,6.806097442244247,-0.0015208419219234631,-0.001096882312863201,-0.0011308453724043765,0.5215077977805214,5.0,0.0008361765670255039
arabian_nights_vol1,Arabian Nights (Vol 1),0.001,6.689644951042864,6.68796873777142,6.687754725961309,-0.0022997173470753196,0.0013021941182910501,0.0011603129084946096,0.5161286627925517,5.0,-0.050492817122338884
aesops_fables,Aesop's Fables,0.0003,6.232214731194349,6.2306101899149455,6.22074737680541,-0.0013882220291562275,-0.0009358154679697528,-0.0015259890005038523,0.382776849396092,2.248085460666749,-1.162957276211849
complete_sherlock_holmes,Complete Sherlock Holmes,0.003,6.457764777704256,6.4538267111255285,6.453747597117771,-0.0024625705016284305,-0.0006844993348397721,0.00019275310219099562,0.522021870053256,5.0,0.005374692137677606
jane_eyre,Jane Eyre,0.0003,6.6441230025201,6.644192970596715,6.643433234761215,-0.0014136422844864271,-0.0014830531900907884,-0.0007224263074510073,0.5153942825477097,5.0,-0.05688482680614282
dubliners,Dubliners,0.001,6.550685188767153,6.51721815836002,6.517051665375395,-0.002642482304680255,0.0010998936436495688,0.0011538479227290455,0.521368464841855,3.110327560233172,-0.0004777211624746869
the_iliad,The Iliad,0.001,6.880023653882432,6.879755294510447,6.879693438081945,-0.0014545179579809886,-0.0013125668475314212,-0.0013858788785054421,0.5358059582241687,5.0,0.1354561273165844
democracy_in_america,Democracy in America,0.001,6.316106312812377,6.3128292234156484,6.311611212604429,-0.0016007846025215544,-0.0013497226972511156,-0.0013453984406848196,0.5216183712582434,5.0,0.0017917897898254154
origin_of_species,Origin of Species,0.003,6.375771827312974,6.3753999062365985,6.375321709061686,-0.0021035848253423417,-0.001751813323686735,-0.0016455215170733117,0.5215982229241684,5.0,0.0015548105787637212
wealth_of_nations,Wealth of Nations,0.0001,6.15558639363369,6.156624076111844,6.155611767747408,-0.0006169353925083998,-0.001566999572470723,-0.0007826936887813107,0.37462937662274515,5.0,-1.344142845190997
les_miserables,Les Miserables,0.03,6.8027470721870085,6.802485482574599,6.801859574689947,-0.0009508822706279368,-0.001150573460542731,-0.0013088766963406384,0.5225604883161357,5.0,0.011415137707211365
decline_and_fall_vol1,Decline and Fall Vol 1,0.003,6.718567313339342,6.717887503162098,6.717869269968219,0.0004243674817353271,0.00010940106331247534,-3.291230885033025e-05,0.5318233654950671,5.0,0.10067495647016766
emile,Emile,0.01,6.491234477539037,6.490527423739745,6.489722409140335,-0.0006524355220028366,-0.0012890547431828048,-0.0014853490399472646,0.5241020331994042,5.0,0.024978834484675083
ulysses,Ulysses,0.0001,7.35632114526539,7.353073410020209,7.353701494174882,-0.0011897530925792377,0.0020936802153609657,-0.0014928215431750796,0.7849857546133291,0.07724910598442823,2.708037195965499
collected_poe,Collected Poe,0.01,6.682485663276571,6.671851093916935,6.671484550103681,-0.0026774509831055116,-0.0014986048662198603,-0.0014374047840695625,0.5214406229533761,5.0,0.0001675692794105288
principia_ethica,Principia Ethica,0.0003,5.91070755829383,5.910689594738049,5.91068217315341,-0.0030965196567836334,-0.0016356804868936925,-0.0013513877342089253,0.4722342357139657,1.3307799119474197,-0.4056260116851389
critique_of_pure_reason,Critique of Pure Reason,0.0003,5.953364176700566,5.953297649520158,5.95290862285357,-0.0023698710684540575,-0.0019154565693191572,-0.0016301256560047606,0.49097770316874606,4.992405345175302,-0.26746278545656743
