slug,name,softk_lambda,best_lambda_w,free_test_avg_nll,softk_test_avg_nll,softkw_test_avg_nll,free_step2_gain,softk_step2_gain,softkw_step2_gain,softkw_transition_fraction,softkw_w,softkw_dev_logw
shakespeare,Complete Works of Shakespeare,0.0001,0.0,6.882206891519898,6.882154461847067,6.8821617578916365,-0.001632771917461709,-0.0010896150246089142,-0.0011307478337233834,0.5861029305043273,4.990893927343702,1.6176726329217717
war_and_peace,War and Peace,0.03,0.0,6.678951764046226,6.678678865152861,6.678678639249068,-0.002323616080895527,-0.0009358103826155872,-0.000745925731045427,0.5221527144103922,5.0,1.6194955078805182
moby_dick,Moby Dick,0.0001,0.0,6.9480969324091895,6.948129203324875,6.9480969324091895,-0.0013939509683381784,-0.0004310221974201389,-0.0004310352950245844,0.41098745951391574,4.291572210334714,1.4667107438435043
king_james_bible,King James Bible,0.0003,3e-05,6.0158694645472615,6.016015736044842,6.016426844061458,0.09734080089440164,0.0894896871269378,0.08950462223467584,0.3783872696816852,5.0,1.6194955078805182
federalist_papers,Federalist Papers,0.003,1e-06,6.200536869015857,6.199844992900314,6.19984445233532,-0.0023488436942826207,-0.0018337847342417835,-0.0018337847342417835,0.5383979234168087,5.0,1.6194955078805182
grimms_fairy_tales,Grimm's Fairy Tales,0.0001,0.0,6.077593931411171,6.077603811556091,6.077592215231295,-0.00047926331596911953,-0.0004983982554198074,-0.0004405582375245076,0.32035886909617645,5.0,1.6194955078805182
don_quixote,Don Quixote,0.0003,0.0,6.496717047873529,6.496925073059477,6.496926112134399,-0.0017106976218954073,-0.0013981574011522058,-0.0013975956651997856,0.585101766685253,5.0,1.6194955078805182
pride_and_prejudice,Pride and Prejudice,0.0003,0.0001,6.336766342865564,6.336783021894429,6.336475841116768,-0.0025348954019614456,-0.0026861175930713577,-0.0027239705520915314,0.40906535580431236,2.3952098048548063,0.883528423664522
canterbury_tales,Canterbury Tales,0.001,0.0,6.807096938367609,6.806097442244247,6.80624394783789,-0.0015208419219234631,-0.0011308453724043765,-0.000966641103364696,0.5246091885509786,5.0,1.6194955078805182
arabian_nights_vol1,Arabian Nights (Vol 1),0.001,1e-06,6.689644951042864,6.687754725961309,6.687747572634349,-0.0022997173470753196,0.0011603129084946096,0.0011603129084946096,0.5161286627925517,5.0,1.6194955078805182
aesops_fables,Aesop's Fables,0.0003,0.0001,6.232214731194349,6.22074737680541,6.221465143449914,-0.0013882220291562275,-0.0015259890005038523,-0.0015277411487801262,0.38277685323919497,2.248019469009764,0.8201071880318919
complete_sherlock_holmes,Complete Sherlock Holmes,0.003,0.0,6.457764777704256,6.453747597117771,6.45234795291742,-0.0024625705016284305,0.00019275310219099562,5.598766701711555e-05,0.5239661211043951,5.0,1.6194955078805182
jane_eyre,Jane Eyre,0.0003,1e-06,6.6441230025201,6.643433234761215,6.643431585989324,-0.0014136422844864271,-0.0007224263074510073,-0.0007132004035286521,0.5153942812394542,5.0,1.6194955078805182
dubliners,Dubliners,0.001,1e-06,6.550685188767153,6.517051665375395,6.516777135528803,-0.002642482304680255,0.0011538479227290455,0.0011690396903819844,0.521368460732205,3.11032924777218,1.1447861834848592
the_iliad,The Iliad,0.001,0.0,6.880023653882432,6.879693438081945,6.8796612850763585,-0.0014545179579809886,-0.0013858788785054421,-0.0013822208632527089,0.5358059582848669,5.0,1.6194955078805182
democracy_in_america,Democracy in America,0.001,0.0,6.316106312812377,6.311611212604429,6.312007233842077,-0.0016007846025215544,-0.0013453984406848196,-0.0013453984406848196,0.5216183712582434,5.0,1.6194955078805182
origin_of_species,Origin of Species,0.003,1e-06,6.375771827312974,6.375321709061686,6.37468243398575,-0.0021035848253423417,-0.0016455215170733117,-0.0017379041063322054,0.532415526617456,5.0,1.6194955078805182
wealth_of_nations,Wealth of Nations,0.0001,3e-06,6.15558639363369,6.155611767747408,6.155586522693866,-0.0006169353925083998,-0.0007826936887813107,-0.0006160648586618356,0.36624610224509774,5.0,1.6194955078805182
les_miserables,Les Miserables,0.03,1e-06,6.8027470721870085,6.801859574689947,6.801849762511332,-0.0009508822706279368,-0.0013088766963406384,-0.0013091171730778839,0.5225604871436144,5.0,1.6194955078805182
decline_and_fall_vol1,Decline and Fall Vol 1,0.003,3e-06,6.718567313339342,6.717869269968219,6.7166441340842304,0.0004243674817353271,-3.291230885033025e-05,-2.4138608032492348e-05,0.5318233654950671,5.0,1.6194955078805182
emile,Emile,0.01,0.0,6.491234477539037,6.489722409140335,6.4884627882075785,-0.0006524355220028366,-0.0014853490399472646,-0.0014844939404039525,0.5241020332714066,5.0,1.6194955078805182
ulysses,Ulysses,0.0001,1e-06,7.35632114526539,7.353701494174882,7.35283752028125,-0.0011897530925792377,-0.0014928215431750796,-0.0014940407135950184,0.7849857547567842,0.0772601745373258,-2.5505190672097164
collected_poe,Collected Poe,0.01,1e-05,6.682485663276571,6.671484550103681,6.670366384940458,-0.0026774509831055116,-0.0014374047840695625,-0.0014374047840695625,0.5214406229533761,5.0,1.6194955078805182
principia_ethica,Principia Ethica,0.0003,3e-05,5.91070755829383,5.91068217315341,5.910674902016969,-0.0030965196567836334,-0.0013513877342089253,-0.0013525208354766838,0.4722342267238081,1.3307661451818307,0.29581242083643494
critique_of_pure_reason,Critique of Pure Reason,0.0003,0.0001,5.953364176700566,5.95290862285357,5.952893212631157,-0.0023698710684540575,-0.0016301256560047606,-0.0016273135734018174,0.4909776959948135,4.992318392507485,1.6179580050300293
