slug,name,token_count,vocab_size,zipf_test_avg_nll,zm_test_avg_nll,moe_test_avg_nll,softk_test_avg_nll,softk_minus_moe,softk_minus_zm,winner,lambda_k
aesops_fables,Aesop's Fables,41594,4394,6.226453453821152,6.221750903154405,6.22365870317628,6.22074737680541,-0.0029113263708699932,-0.0010035263489944768,softk,0.0003
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,6.706085717676725,6.685473211034842,6.68667142363636,6.687754725961309,0.0010833023249485763,0.0022815149264667767,zm,0.001
canterbury_tales,Canterbury Tales,281189,17653,6.850582452091423,6.803568686885705,6.812278605191087,6.806097442244247,-0.006181162946839791,0.002528755358541801,zm,0.001
collected_poe,Collected Poe,91801,9312,6.6683107797436625,6.664039209234085,6.666311949576639,6.671484550103681,0.00517260052704227,0.007445340869596251,zm,0.01
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,6.493105179966957,6.447377412310836,6.456988589888799,6.453747597117771,-0.003240992771027962,0.006370184806935519,zm,0.003
shakespeare,Complete Works of Shakespeare,988670,24458,6.987294124701005,6.886706263261564,6.885901469512454,6.882154461847067,-0.0037470076653871587,-0.004551801414496737,softk,0.0001
critique_of_pure_reason,Critique of Pure Reason,209795,6537,6.00665335524234,5.967962608254694,5.9564279569814556,5.95290862285357,-0.0035193341278851875,-0.015053985401123349,softk,0.0003
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,6.721170793180686,6.7211701084082005,6.721115289041511,6.717869269968219,-0.003246019073292139,-0.003300838439981746,softk,0.003
democracy_in_america,Democracy in America,187753,9301,6.3184319916345855,6.314583858753442,6.311806433399232,6.311611212604429,-0.00019522079480260857,-0.0029726461490131584,softk,0.001
don_quixote,Don Quixote,433304,15574,6.5561671213110975,6.496279797495423,6.49630277625205,6.496925073059477,0.0006222968074265367,0.0006452755640538044,zm,0.0003
dubliners,Dubliners,69264,7157,6.541972737895993,6.5140093492139535,6.521278476962053,6.517051665375395,-0.004226811586657497,0.0030423161614416827,zm,0.001
emile,Emile,252843,11174,6.550809484270299,6.487121711325544,6.489192155925541,6.489722409140335,0.000530253214794385,0.0026006978147909976,zm,0.01
federalist_papers,Federalist Papers,192302,8617,6.207760950769132,6.199416070500408,6.196934223897512,6.199844992900314,0.0029107690028018496,0.0004289223999052183,moe,0.003
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,6.128784795037904,6.088523680073925,6.077646160664019,6.077603811556091,-4.2349107927996954e-05,-0.010919868517833997,softk,0.0001
jane_eyre,Jane Eyre,189604,12541,6.685153958211458,6.639198902037371,6.649150527735459,6.643433234761215,-0.005717292974243726,0.004234332723843437,zm,0.0003
king_james_bible,King James Bible,792180,12555,6.080495234984778,6.0351662551816245,6.017965050637185,6.016015736044842,-0.0019493145923430433,-0.01915051913678223,softk,0.0003
les_miserables,Les Miserables,575614,22677,6.8275718271667,6.802444035183806,6.800381977779332,6.801859574689947,0.0014775969106146647,-0.0005844604938589626,moe,0.03
moby_dick,Moby Dick,219054,16956,6.963919141212996,6.947351041367365,6.94910570072398,6.948129203324875,-0.0009764973991046588,0.0007781619575100152,zm,0.0001
origin_of_species,Origin of Species,156024,6887,6.406563746147002,6.383434243183849,6.374942420183649,6.375321709061686,0.00037928887803762024,-0.008112534122163062,moe,0.003
pride_and_prejudice,Pride and Prejudice,128565,6729,6.413204348135392,6.332858287664597,6.338649310626814,6.336783021894429,-0.0018662887323852573,0.003924734229832083,zm,0.0003
principia_ethica,Principia Ethica,98676,3814,5.978310064484517,5.917476589984626,5.913923711681961,5.91068217315341,-0.0032415385285506915,-0.006794416831215955,softk,0.0003
the_iliad,The Iliad,194969,12300,6.895521366908629,6.890807298983179,6.883404881675385,6.879693438081945,-0.0037114435934402223,-0.011113860901234673,softk,0.001
ulysses,Ulysses,268854,28990,7.366644172022561,7.351230348257138,7.360040275685457,7.353701494174882,-0.006338781510574876,0.002471145917744444,zm,0.0001
war_and_peace,War and Peace,583368,17445,6.728314623077691,6.685806986839008,6.678027667860953,6.678678865152861,0.000651197291907657,-0.007128121686147182,moe,0.03
wealth_of_nations,Wealth of Nations,380080,9478,6.195766995601775,6.175560092867926,6.161544629142846,6.155611767747408,-0.005932861395438138,-0.019948325120517474,softk,0.0001
