slug,corpus,free_test_avg_nll,fixedk_test_avg_nll,fixedkw_test_avg_nll,softk_table4_test_avg_nll,softk_splitfit_test_avg_nll,softkw_test_avg_nll,softk_table4_minus_splitfit,free_step2_gain,fixedk_step2_gain,fixedkw_step2_gain,softk_splitfit_step2_gain,softkw_step2_gain,best_lambda_k,best_lambda_w,source_note
aesops_fables,Aesop's Fables,6.232214731194349,6.2306101899149455,6.222483793751921,6.22074737680541,6.22074737680541,6.221465143449914,0.0,-0.0013882220291562275,-0.0009358154679697528,-0.001966083695417814,-0.0015259890005038523,-0.0015277411487801262,0.0003,0.0001,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
arabian_nights_vol1,Arabian Nights (Vol 1),6.689644951042864,6.68796873777142,6.6774101939450325,6.687754725961309,6.687754725961309,6.687747572634349,0.0,-0.0022997173470753196,0.0013021941182910501,0.0002145789391382047,0.0011603129084946096,0.0011603129084946096,0.001,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
canterbury_tales,Canterbury Tales,6.807096938367609,6.806869355807823,6.798762041179787,6.806097442244247,6.806097442244247,6.80624394783789,0.0,-0.0015208419219234631,-0.001096882312863201,0.00485590759989446,-0.0011308453724043765,-0.000966641103364696,0.001,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
collected_poe,Collected Poe,6.682485663276571,6.671851093916935,6.660085235683125,6.671484550103681,6.671484550103681,6.670366384940458,0.0,-0.0026774509831055116,-0.0014986048662198603,-0.0004774766245254358,-0.0014374047840695625,-0.0014374047840695625,0.01,1e-05,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
complete_sherlock_holmes,Complete Sherlock Holmes,6.457764777704256,6.4538267111255285,6.4456284790879455,6.453747597117771,6.453747597117771,6.45234795291742,0.0,-0.0024625705016284305,-0.0006844993348397721,-0.0007887193907169798,0.00019275310219099562,5.598766701711555e-05,0.003,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
shakespeare,Complete Works of Shakespeare,6.882206891519898,6.882279159095964,6.886567168611609,6.882154461847067,6.882154461847067,6.8821617578916365,0.0,-0.001632771917461709,-0.0011492158115366524,0.08978078725324701,-0.0010896150246089142,-0.0011307478337233834,0.0001,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
critique_of_pure_reason,Critique of Pure Reason,5.953364176700566,5.953297649520158,5.952324746999533,5.95290862285357,5.952965161503562,5.952893212631157,-5.6538649991999534e-05,-0.0023698710684540575,-0.0019154565693191572,-0.00016748739660082945,-0.0015729479215106368,-0.0016273135734018174,0.0003,0.0001,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
decline_and_fall_vol1,Decline and Fall Vol 1,6.718567313339342,6.717887503162098,6.712760645751575,6.717869269968219,6.717869269968219,6.7166441340842304,0.0,0.0004243674817353271,0.00010940106331247534,0.0176395308283796,-3.291230885033025e-05,-2.4138608032492348e-05,0.003,3e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
democracy_in_america,Democracy in America,6.316106312812377,6.3128292234156484,6.310677219360947,6.311611212604429,6.311611212604429,6.312007233842077,0.0,-0.0016007846025215544,-0.0013497226972511156,0.022607871977671196,-0.0013453984406848196,-0.0013453984406848196,0.001,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
don_quixote,Don Quixote,6.496717047873529,6.497166045244131,6.498339176190823,6.496925073059477,6.496925073059477,6.496926112134399,0.0,-0.0017106976218954073,-0.0014055878491310292,0.07718170109881295,-0.0013981574011522058,-0.0013975956651997856,0.0003,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
dubliners,Dubliners,6.550685188767153,6.51721815836002,6.511115752788275,6.517051665375395,6.517051665375395,6.516777135528803,0.0,-0.002642482304680255,0.0010998936436495688,0.00014858211305410207,0.0011538479227290455,0.0011690396903819844,0.001,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
emile,Emile,6.491234477539037,6.490527423739745,6.487435695829751,6.489722409140335,6.489722409140335,6.4884627882075785,0.0,-0.0006524355220028366,-0.0012890547431828048,0.03158709725375286,-0.0014853490399472646,-0.0014844939404039525,0.01,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
federalist_papers,Federalist Papers,6.200536869015857,6.200500757558244,6.19765582979414,6.199844992900314,6.199844992900314,6.19984445233532,0.0,-0.0023488436942826207,-0.0014791992962258638,0.02452117796284692,-0.0018337847342417835,-0.0018337847342417835,0.003,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
grimms_fairy_tales,Grimm's Fairy Tales,6.077593931411171,6.082621061135337,6.080534267666982,6.077603811556091,6.077603811556091,6.077592215231295,0.0,-0.00047926331596911953,-0.0029366556640126884,0.011116277407724112,-0.0004983982554198074,-0.0004405582375245076,0.0001,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
jane_eyre,Jane Eyre,6.6441230025201,6.644192970596715,6.634599087796258,6.643433234761215,6.642788574812209,6.643431585989324,0.0006446599490059768,-0.0014136422844864271,-0.0014830531900907884,2.8376132900076456e-06,-0.0016077082842209933,-0.0007132004035286521,0.0003,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
king_james_bible,King James Bible,6.0158694645472615,6.021741760706273,6.020710635983078,6.016015736044842,6.016425262838996,6.016426844061458,-0.0004095267941535141,0.09734080089440164,7.056734409235932e-05,0.13962060405795307,0.0894896871269378,0.08950462223467584,0.0003,3e-05,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
les_miserables,Les Miserables,6.8027470721870085,6.802485482574599,6.803990009042599,6.801859574689947,6.801859574689947,6.801849762511332,0.0,-0.0009508822706279368,-0.001150573460542731,0.08474395595328393,-0.0013088766963406384,-0.0013091171730778839,0.03,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
moby_dick,Moby Dick,6.9480969324091895,6.95188579599731,6.942673493776483,6.948129203324875,6.948129203324875,6.9480969324091895,0.0,-0.0013939509683381784,-0.0016972077667074814,0.024447459129214366,-0.0004310221974201389,-0.0004310352950245844,0.0001,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
origin_of_species,Origin of Species,6.375771827312974,6.3753999062365985,6.3760351217041,6.375321709061686,6.375321709061686,6.37468243398575,0.0,-0.0021035848253423417,-0.001751813323686735,-0.0005647116809872621,-0.0016455215170733117,-0.0017379041063322054,0.003,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
pride_and_prejudice,Pride and Prejudice,6.336766342865564,6.337527941837865,6.333796415231088,6.336783021894429,6.336783021894429,6.336475841116768,0.0,-0.0025348954019614456,-0.0013278986915389868,-0.0013484804539405926,-0.0026861175930713577,-0.0027239705520915314,0.0003,0.0001,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
principia_ethica,Principia Ethica,5.91070755829383,5.910689594738049,5.910473929821444,5.91068217315341,5.91068217315341,5.910674902016969,0.0,-0.0030965196567836334,-0.0016356804868936925,-0.001775757887279683,-0.0013513877342089253,-0.0013525208354766838,0.0003,3e-05,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
the_iliad,The Iliad,6.880023653882432,6.879755294510447,6.873835236247197,6.879693438081945,6.879693438081945,6.8796612850763585,0.0,-0.0014545179579809886,-0.0013125668475314212,-0.0002481064001509381,-0.0013858788785054421,-0.0013822208632527089,0.001,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
ulysses,Ulysses,7.35632114526539,7.353073410020209,7.336532921037612,7.353701494174882,7.353701494174882,7.35283752028125,0.0,-0.0011897530925792377,0.0020936802153609657,0.0019115445135515496,-0.0014928215431750796,-0.0014940407135950184,0.0001,1e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
war_and_peace,War and Peace,6.678951764046226,6.678691148647906,6.681960617501458,6.678678865152861,6.678678865152861,6.678678639249068,0.0,-0.002323616080895527,-0.0007343502645919264,0.09249218630512573,-0.0009358103826155872,-0.000745925731045427,0.03,0.0,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
wealth_of_nations,Wealth of Nations,6.15558639363369,6.156624076111844,6.156506381875051,6.155611767747408,6.155611767747408,6.155586522693866,0.0,-0.0006169353925083998,-0.001566999572470723,0.0805188683722185,-0.0007826936887813107,-0.0006160648586618356,0.0001,3e-06,Table4 soft-k is canonical-by-documentation; splitfit and softkw values are preserved for path-sensitivity audit.
