slug,corpus,v4_verification_softk,legacy_softk,softkw_repeated_softk,softk_splitfit,delta_v4_minus_splitfit,lambda_k_v4,lambda_k_splitfit,lambda_k_legacy,legacy_k,legacy_w,splitfit_k,splitfit_w,softkw_inherits_legacy_softk,is_known_local_optimum_discrepancy,diagnosis
aesops_fables,Aesop's Fables,6.22074737680541,6.22074737680541,6.22074737680541,6.22074737680541,0.0,0.0003,0.0003,0.0003,24.797191373065843,2.248085460666749,15.657879678034245,4.9970177297013025,True,False,matches_splitfit
arabian_nights_vol1,Arabian Nights (Vol 1),6.687754725961309,6.687754725961309,6.687754725961309,6.687754725961309,0.0,0.001,0.001,0.001,137.42140310626843,5.0,137.4388315917242,5.0,True,False,matches_splitfit
canterbury_tales,Canterbury Tales,6.806097442244247,6.806097442244247,6.806097442244247,6.806097442244247,0.0,0.001,0.001,0.001,163.96417741496242,5.0,185.53757667642262,5.0,True,False,matches_splitfit
collected_poe,Collected Poe,6.671484550103681,6.671484550103681,6.671484550103681,6.671484550103681,0.0,0.01,0.01,0.01,117.38706316281471,5.0,120.12103648893628,5.0,True,False,matches_splitfit
complete_sherlock_holmes,Complete Sherlock Holmes,6.453747597117771,6.453747597117771,6.453747597117771,6.453747597117771,0.0,0.003,0.003,0.003,107.70902123864121,5.0,109.73924873176638,5.0,True,False,matches_splitfit
shakespeare,Complete Works of Shakespeare,6.882154461847067,6.882154461847067,6.882154461847067,6.882154461847067,0.0,0.0001,0.0001,0.0001,229.81856657739448,4.4532063267896085,229.81886077336037,4.361771135526983,True,False,matches_splitfit
critique_of_pure_reason,Critique of Pure Reason,5.95290862285357,5.95290862285357,5.95290862285357,5.952965161503562,-5.6538649991999534e-05,0.0003,0.0003,0.0003,74.69056853895157,4.992405345175302,76.1605630117186,5.0,True,True,same_lambda_different_local_optimum
decline_and_fall_vol1,Decline and Fall Vol 1,6.717869269968219,6.717869269968219,6.717869269968219,6.717869269968219,0.0,0.003,0.003,0.003,172.02980783276993,5.0,167.75612364358628,5.0,True,False,matches_splitfit
democracy_in_america,Democracy in America,6.311611212604429,6.311611212604429,6.311611212604429,6.311611212604429,0.0,0.001,0.001,0.001,117.50543900866214,5.0,117.41582586695172,5.0,True,False,matches_splitfit
don_quixote,Don Quixote,6.496925073059477,6.496925073059477,6.496925073059477,6.496925073059477,0.0,0.0003,0.0003,0.0003,283.77932287016495,5.0,283.7793450424712,5.0,True,False,matches_splitfit
dubliners,Dubliners,6.517051665375395,6.517051665375395,6.517051665375395,6.517051665375395,0.0,0.001,0.001,0.001,102.26692387123892,3.110327560233172,102.60064357638716,3.816969544872714,True,False,matches_splitfit
emile,Emile,6.489722409140335,6.489722409140335,6.489722409140335,6.489722409140335,0.0,0.01,0.01,0.01,132.33489989890026,5.0,131.67616648756083,5.0,True,False,matches_splitfit
federalist_papers,Federalist Papers,6.199844992900314,6.199844992900314,6.199844992900314,6.199844992900314,0.0,0.003,0.003,0.003,131.4581597320938,5.0,131.46082964873023,5.0,True,False,matches_splitfit
grimms_fairy_tales,Grimm's Fairy Tales,6.077603811556091,6.077603811556091,6.077603811556091,6.077603811556091,0.0,0.0001,0.0001,0.0001,14.961636705263132,4.979802794652174,15.691991623514363,5.0,True,False,matches_splitfit
jane_eyre,Jane Eyre,6.643433234761215,6.643433234761215,6.643433234761215,6.642788574812209,0.0006446599490059768,0.0003,0.0003,0.0003,129.4961829550872,5.0,97.39802010046769,5.0,True,True,same_lambda_different_local_optimum
king_james_bible,King James Bible,6.016015736044842,6.016015736044842,6.016015736044842,6.016425262838996,-0.0004095267941535141,0.0003,0.0003,0.0003,35.558224323129835,5.0,38.9200039890732,5.0,True,True,same_lambda_different_local_optimum
les_miserables,Les Miserables,6.801859574689947,6.801859574689947,6.801859574689947,6.801859574689947,0.0,0.03,0.03,0.03,188.82388899618607,5.0,188.82390964507817,5.0,True,False,matches_splitfit
moby_dick,Moby Dick,6.948129203324875,6.948129203324875,6.948129203324875,6.948129203324875,0.0,0.0001,0.0001,0.0001,54.72667178554654,4.29156714771769,55.15851842541851,5.0,True,False,matches_splitfit
origin_of_species,Origin of Species,6.375321709061686,6.375321709061686,6.375321709061686,6.375321709061686,0.0,0.003,0.003,0.003,100.44068613299568,5.0,109.4345312745994,5.0,True,False,matches_splitfit
pride_and_prejudice,Pride and Prejudice,6.336783021894429,6.336783021894429,6.336783021894429,6.336783021894429,0.0,0.0003,0.0003,0.0003,36.464277304238074,2.408737477722238,105.92688633826032,3.3803550591468827,True,False,matches_splitfit
principia_ethica,Principia Ethica,5.91068217315341,5.91068217315341,5.91068217315341,5.91068217315341,0.0,0.0003,0.0003,0.0003,49.119119410782,1.3307799119474197,49.118922945407135,1.2757749553445525,True,False,matches_splitfit
the_iliad,The Iliad,6.879693438081945,6.879693438081945,6.879693438081945,6.879693438081945,0.0,0.001,0.001,0.001,155.38014674841807,5.0,173.31782529830022,5.0,True,False,matches_splitfit
ulysses,Ulysses,7.353701494174882,7.353701494174882,7.353701494174882,7.353701494174882,0.0,0.0001,0.0001,0.0001,3182.7408817494365,0.07724910598442823,212.30451521173396,5.0,True,False,matches_splitfit
war_and_peace,War and Peace,6.678678865152861,6.678678865152861,6.678678865152861,6.678678865152861,0.0,0.03,0.03,0.03,163.9353298608973,5.0,163.9353234046064,5.0,True,False,matches_splitfit
wealth_of_nations,Wealth of Nations,6.155611767747408,6.155611767747408,6.155611767747408,6.155611767747408,0.0,0.0001,0.0001,0.0001,30.88836353248198,5.0,31.149377059010916,5.0,True,False,matches_splitfit
