slug,corpus,zipf_source,zipf_matches_source,zm_source,zm_matches_source,moe_source,moe_matches_source,softk_canonical_source,softk_matches_legacy_softk,softk_matches_softkw_repeated,softk_matches_softk_splitfit,softk_splitfit_delta,provenance_note
aesops_fables,Aesop's Fables,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
arabian_nights_vol1,Arabian Nights (Vol 1),zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
canterbury_tales,Canterbury Tales,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
collected_poe,Collected Poe,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
complete_sherlock_holmes,Complete Sherlock Holmes,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
shakespeare,Complete Works of Shakespeare,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
critique_of_pure_reason,Critique of Pure Reason,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,False,-5.6538649991999534e-05,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
decline_and_fall_vol1,Decline and Fall Vol 1,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
democracy_in_america,Democracy in America,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
don_quixote,Don Quixote,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
dubliners,Dubliners,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
