slug,corpus,token_count,vocabulary_size,cutoff,cutoff_rank,zipf_avg_nll,zm_avg_nll,moe_avg_nll,softk_avg_nll,winner_family,softk_minus_moe,softk_minus_zm,softk_minus_zipf,step2_winner_expression,step2_gain,step2_helps,canonical_source
shakespeare,Complete Works of Shakespeare,988670,24458,top50,50,4.621295752687553,4.527264531046672,4.589778232616867,4.543036505959832,zm,-0.04674172665703491,0.01577197491315996,-0.078259246727721,"div[sub[x,1],eml[1,x]]",-0.0363749750459028,False,results/zipf_angle1_head_windows_splitfit/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,top100,100,5.03036176207807,4.856260509102248,4.907014126684411,4.8782026584963,zm,-0.028811468188110645,0.021942149394051924,-0.15215910358176998,"eml[sub[x,1],eml[x,1]]",-0.029801530300526596,False,results/zipf_angle1_head_windows_splitfit/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,top200,200,5.366804742591818,5.159650864566742,5.190471416369825,5.184780879261143,zm,-0.005690537108682392,0.025130014694401126,-0.18202386333067544,"eml[sub[x,1],eml[x,1]]",-0.023892012116598922,False,results/zipf_angle1_head_windows_splitfit/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,top500,500,5.77683106823372,5.563381112185421,5.567993847246362,5.583226132342532,zm,0.015232285096169917,0.019845020157111648,-0.19360493589118732,"eml[sub[x,1],eml[x,1]]",-0.02064914603526482,False,results/zipf_angle1_head_windows_splitfit/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,top1000,1000,6.089576819678412,5.889802372638554,5.879427381244254,5.895184818742507,moe,0.015757437498253424,0.005382446103952887,-0.19439200093590525,"eml[sub[x,1],eml[x,1]]",-0.016258369797493552,False,results/zipf_angle1_head_windows_splitfit/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,full,24458,6.987294124701005,6.886706263261564,6.885901469512454,6.882154461847067,softk,-0.0037470076653871587,-0.004551801414496737,-0.10513966285393828,"sub[pow[x,x],sqrt[x]]",-0.0010896150246089142,False,results/zipf_angle1_head_windows_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,top50,50,4.325236619823667,4.275979996778184,4.325511286777305,4.3135284574154324,zm,-0.011982829361872227,0.03754846063724848,-0.011708162408234912,"div[sub[x,1],eml[1,x]]",-0.02985940455121383,False,results/zipf_angle1_head_windows_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,top100,100,4.689003372270712,4.599307303584137,4.631805028997445,4.64030786220721,zm,0.008502833209764304,0.041000558623072614,-0.048695510063502034,"eml[sub[x,1],eml[x,1]]",-0.03214468702424132,False,results/zipf_angle1_head_windows_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,top200,200,5.068277611343874,4.958789141620635,4.969449850456851,4.991755326829891,zm,0.022305476373039923,0.03296618520925598,-0.07652228451398368,"sub[sqrt[x],pow[x,x]]",-0.011567709953452326,False,results/zipf_angle1_head_windows_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,top500,500,5.512708390081865,5.400835079951594,5.388830975970513,5.408986435730798,moe,0.020155459760284877,0.008151355779204117,-0.10372195435106768,"sub[sqrt[x],pow[x,x]]",-0.005539672474597149,False,results/zipf_angle1_head_windows_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,top1000,1000,5.8395185505993785,5.737250226979192,5.714696601918907,5.721093915091747,moe,0.006397313172840313,-0.016156311887445263,-0.11842463550763149,"eml[sub[x,1],eml[x,1]]",-0.005659473780548097,False,results/zipf_angle1_head_windows_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,full,17445,6.728314623077691,6.685806986839008,6.678027667860953,6.678678865152861,moe,0.000651197291907657,-0.007128121686147182,-0.04963575792482988,"eml[sub[x,1],eml[x,1]]",-0.0009358103826155872,False,results/zipf_angle1_head_windows_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,top50,50,4.325385795252989,4.299386655629538,4.336406023344887,4.332557375611218,zm,-0.0038486477336689973,0.03317071998167975,0.007171580358229512,"mul[sub[1,x],mul[x,x]]",-0.02863921432926328,False,results/zipf_angle1_head_windows_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,top100,100,4.7098469427416205,4.653280753803315,4.677216267807484,4.680034866071619,zm,0.002818598264134664,0.026754112268303487,-0.02981207667000163,"mul[sub[1,x],mul[x,x]]",-0.010235569712402928,False,results/zipf_angle1_head_windows_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,top200,200,5.081858204040724,5.010766533924114,5.0186597494169805,5.0221971231166505,zm,0.003537373699669999,0.011430589192536367,-0.05966108092407385,"sub[sqrt[x],pow[x,x]]",-0.0018585772090735225,False,results/zipf_angle1_head_windows_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,top500,500,5.499867085364925,5.426066436904787,5.417392532866205,5.417304026641254,softk,-8.850622495071292e-05,-0.008762410263532416,-0.08256305872367076,"eml[sub[x,1],eml[x,1]]",-0.004973515128425782,False,results/zipf_angle1_head_windows_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,top1000,1000,5.799932923406829,5.731191078822747,5.714449830630524,5.714660990156417,moe,0.00021115952589312315,-0.016530088666330656,-0.0852719332504126,"sub[pow[x,x],sqrt[x]]",0.012734436564756174,True,results/zipf_angle1_head_windows_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,full,16956,6.963919141212996,6.947351041367365,6.94910570072398,6.948129203324875,zm,-0.0009764973991046588,0.0007781619575100152,-0.015789937888120775,"eml[sub[x,1],eml[x,1]]",-0.0004310221974201389,False,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top50,50,4.093816083027682,4.043901683848845,4.071734126584886,4.106930087462777,zm,0.0351959608778909,0.0630284036139317,0.013114004435094806,"mul[sub[1,x],mul[x,x]]",0.0008484166561914253,True,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top100,100,4.503012163961198,4.413892733278405,4.420783044964394,4.448872099595951,zm,0.028089054631556643,0.034979366317545946,-0.05414006436524765,"mul[sub[1,x],mul[x,x]]",0.011807422198793896,True,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top200,200,4.865269651820569,4.762391958974505,4.750408508734183,4.759063181811828,moe,0.008654673077645114,-0.003328777162677099,-0.10620647000874062,"eml[sub[x,1],eml[x,1]]",-0.00827718666235891,False,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top500,500,5.269100507205842,5.170225010729366,5.143056856768994,5.130377318161099,softk,-0.012679538607894614,-0.0398476925682667,-0.13872318904474223,"sub[pow[x,x],sqrt[x]]",0.008521043127659209,True,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top1000,1000,5.534342256285429,5.446932553532536,5.415677384335553,5.398846028430836,softk,-0.01683135590471707,-0.04808652510169953,-0.1354962278545928,"sub[pow[x,x],sqrt[x]]",0.010384788481152568,True,results/zipf_angle1_head_windows_splitfit/summary.json
