slug,name,lambda_k,log10_lambda_k,token_count,vocab_size,structure,structure_code,unit_count,author_count,era_span_years,log_unit_count,log_author_count,log_era_span_years,heterogeneity_score
shakespeare,Complete Works of Shakespeare,0.0001,-4.0,988670,24458,single_author_collection,2,37,1,24,3.6375861597263857,0.6931471805599453,3.2188758248682006,5.940171252720432
war_and_peace,War and Peace,0.03,-1.5228787452803376,583368,17445,single_work,0,1,1,4,0.6931471805599453,0.6931471805599453,1.6094379124341003,2.1910133173369406
moby_dick,Moby Dick,0.0001,-4.0,219054,16956,single_work,0,1,1,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.7328679513998633
king_james_bible,King James Bible,0.0003,-3.5228787452803374,792180,12555,multi_author_composite,4,66,30,1000,4.204692619390966,3.4339872044851463,6.90875477931522,11.093057213533722
federalist_papers,Federalist Papers,0.003,-2.5228787452803374,192302,8617,multi_author_composite,4,85,3,1,4.454347296253507,1.3862943611198906,0.6931471805599453,6.187215247653371
grimms_fairy_tales,Grimm's Fairy Tales,0.0001,-4.0,102114,4746,multi_source_collection,3,200,50,45,5.303304908059076,3.9318256327243257,3.828641396489095,11.14945123902795
don_quixote,Don Quixote,0.0003,-3.5228787452803374,433304,15574,single_work,0,2,1,10,1.0986122886681098,0.6931471805599453,2.3978952727983707,2.9907071056272403
pride_and_prejudice,Pride and Prejudice,0.0003,-3.5228787452803374,128565,6729,single_work,0,1,1,2,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.9356005054539454
canterbury_tales,Canterbury Tales,0.001,-3.0,281189,17653,framed_multi_unit,1,24,1,13,3.2188758248682006,0.6931471805599453,2.6390573296152584,5.231551670235775
arabian_nights_vol1,Arabian Nights (Vol 1),0.001,-3.0,176048,13883,multi_source_collection,3,30,10,500,3.4339872044851463,2.3978952727983707,6.2166061010848646,8.94018552782595
aesops_fables,Aesop's Fables,0.0003,-3.5228787452803374,41594,4394,multi_source_collection,3,140,10,600,4.948759890378168,2.3978952727983707,6.398594934535208,10.545952630444143
complete_sherlock_holmes,Complete Sherlock Holmes,0.003,-2.5228787452803374,105863,7817,single_author_collection,2,60,1,40,4.110873864173311,0.6931471805599453,3.713572066704308,6.66080707808541
jane_eyre,Jane Eyre,0.0003,-3.5228787452803374,189604,12541,single_work,0,1,1,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.7328679513998633
dubliners,Dubliners,0.001,-3.0,69264,7157,single_author_collection,2,15,1,10,2.772588722239781,0.6931471805599453,2.3978952727983707,4.664683539198911
the_iliad,The Iliad,0.001,-3.0,194969,12300,single_work,0,1,1,100,0.6931471805599453,0.6931471805599453,4.61512051684126,3.69385461954052
democracy_in_america,Democracy in America,0.001,-3.0,187753,9301,single_work,0,2,1,5,1.0986122886681098,0.6931471805599453,1.791759469228055,2.6876392038420827
origin_of_species,Origin of Species,0.003,-2.5228787452803374,156024,6887,single_work,0,1,1,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.7328679513998633
wealth_of_nations,Wealth of Nations,0.0001,-4.0,380080,9478,single_work,0,5,1,1,1.791759469228055,0.6931471805599453,0.6931471805599453,2.831480240067973
les_miserables,Les Miserables,0.03,-1.5228787452803376,575614,22677,single_work,0,5,1,17,1.791759469228055,0.6931471805599453,2.8903717578961645,3.9300925287360826
decline_and_fall_vol1,Decline and Fall Vol 1,0.003,-2.5228787452803374,262698,15983,single_work,0,1,1,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.7328679513998633
emile,Emile,0.01,-2.0,252843,11174,single_work,0,5,1,1,1.791759469228055,0.6931471805599453,0.6931471805599453,2.831480240067973
ulysses,Ulysses,0.0001,-4.0,268854,28990,single_work,0,18,1,8,2.9444389791664403,0.6931471805599453,2.1972245773362196,4.736198448394496
collected_poe,Collected Poe,0.01,-2.0,91801,9312,single_author_collection,2,70,1,20,4.2626798770413155,0.6931471805599453,3.044522437723423,6.478088276462972
principia_ethica,Principia Ethica,0.0003,-3.5228787452803374,98676,3814,single_work,0,1,1,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.7328679513998633
critique_of_pure_reason,Critique of Pure Reason,0.0003,-3.5228787452803374,209795,6537,single_work,0,1,1,6,0.6931471805599453,0.6931471805599453,1.9459101490553132,2.359249435647547
