slug,name,lambda,width_ratio,w_left,w_right,full_asym,full_softk,full_moe,full_zm,full_step2_help,full_step2_gain
shakespeare,Complete Works of Shakespeare,0.03,0.920784021165847,4.646940038263104,4.278828134548475,6.882107436684489,6.882154461847067,6.885901469512454,6.886706263261564,0,-0.0011333580420459788
war_and_peace,War and Peace,0.03,1.0,5.0,5.0,6.678697266358666,6.6786892918447505,6.678027667860953,6.685806986839008,0,-0.0009522086842976007
moby_dick,Moby Dick,0.003,0.32329493976302653,5.0,1.6164746988151326,6.947813652904288,6.948129203324875,6.94910570072398,6.947351041367365,0,-0.00024476843672610604
king_james_bible,King James Bible,0.0001,1.0,5.0,5.0,6.015900110865233,6.016427696795082,6.017965050637185,6.0351662551816245,1,0.08821591545638888
federalist_papers,Federalist Papers,0.03,1.0,5.0,5.0,6.200179381457683,6.200415193509107,6.196934223897512,6.199416070500408,0,-0.0019011364408151044
grimms_fairy_tales,Grimm's Fairy Tales,0.0001,1.0,5.0,5.0,6.077603811556091,6.077603811556091,6.077646160664019,6.088523680073925,0,-0.00040364794321534614
don_quixote,Don Quixote,0.03,1.0,5.0,5.0,6.496300033354974,6.496925073059477,6.49630277625205,6.496279797495423,0,-0.0013763335424451795
pride_and_prejudice,Pride and Prejudice,0.01,0.8891895958730326,3.5603738848184454,3.1658474157986127,6.33693586878066,6.3376355089961836,6.338649310626814,6.332858287664597,0,-0.00084046994139933
canterbury_tales,Canterbury Tales,0.0001,1.0825050977952784,4.61891589257494,5.0,6.8070541204977735,6.80727518718316,6.812278605191087,6.803568686885705,0,-0.000404937174697112
arabian_nights_vol1,Arabian Nights (Vol 1),0.003,0.48218787055831075,5.0,2.4109393527915537,6.68583841929142,6.6880441618978494,6.68667142363636,6.685473211034842,1,0.00042577407111304977
aesops_fables,Aesop's Fables,0.0003,0.6680995040095684,4.882796526981879,3.262193937856237,6.2208301439558795,6.222141287269817,6.22365870317628,6.221750903154405,0,-0.0012234147364807157
complete_sherlock_holmes,Complete Sherlock Holmes,0.03,1.0329336709203867,4.84058186964202,5.0,6.454076190400903,6.454632947619569,6.456988589888799,6.447377412310836,1,0.0007178317902900855
jane_eyre,Jane Eyre,0.0003,1.0,5.0,5.0,6.642788517678422,6.642788574812209,6.649150527735459,6.639198902037371,0,-0.0016081140365919733
dubliners,Dubliners,0.0001,0.621638199311083,3.709173292758115,2.305763806642915,6.5163012370238995,6.517051665375395,6.521278476962053,6.5140093492139535,1,0.0016835922313190033
the_iliad,The Iliad,0.01,1.0,5.0,5.0,6.879029472293083,6.879765506127107,6.883404881675385,6.890807298983179,0,-0.0013077410751918817
democracy_in_america,Democracy in America,0.03,1.0,5.0,5.0,6.311618794498048,6.312737180223583,6.311806433399232,6.314583858753442,0,-0.0010984657054773084
origin_of_species,Origin of Species,0.03,1.0,5.0,5.0,6.375146134323035,6.375314807869142,6.374942420183649,6.383434243183849,0,-0.0018010451552152862
wealth_of_nations,Wealth of Nations,0.0001,1.0,5.0,5.0,6.155611785770872,6.155611767747408,6.161544629142846,6.175560092867926,0,-0.0006816945111719763
les_miserables,Les Miserables,0.0001,0.8763671767504524,5.0,4.381835883752262,6.802239814098222,6.802496261469384,6.800381977779332,6.802444035183806,0,-0.0012523047069606663
decline_and_fall_vol1,Decline and Fall Vol 1,0.001,1.0,5.0,5.0,6.717116556320384,6.718010794305334,6.721115289041511,6.7211701084082005,1,0.0004453884260179619
emile,Emile,0.0001,1.0,5.0,5.0,6.489999652390449,6.490038618264771,6.489192155925541,6.487121711325544,1,0.0007096004932252153
ulysses,Ulysses,0.0003,0.4498843589904352,5.0,2.249421794952176,7.352183938899996,7.353701494174882,7.360040275685457,7.351230348257138,0,-0.0007873621619270132
collected_poe,Collected Poe,0.03,1.0,5.0,5.0,6.673458554054958,6.673486005851395,6.666311949576639,6.664039209234085,0,-0.0012921720816332638
principia_ethica,Principia Ethica,0.003,4.346650637760667,1.1503109903895865,5.0,5.910435042491141,5.910707538806375,5.913923711681961,5.917476589984626,0,-0.0013695923979048508
critique_of_pure_reason,Critique of Pure Reason,0.0001,1.0,5.0,5.0,5.95279742227381,5.952814586890223,5.9564279569814556,5.967962608254694,0,-0.0014906557855441649
