slug,corpus,token_count,vocabulary_size,lambda_k,w_left,w_right,width_ratio_w_right_over_w_left,width_imbalance_ratio,material_asymmetry,k,transition_fraction,asymmetric_full_avg_nll,softk_full_avg_nll,moe_full_avg_nll,zm_full_avg_nll,asymmetric_minus_softk,asymmetric_minus_moe,asymmetric_minus_zm,full_step2_help,full_step2_gain,canonical_source
shakespeare,Complete Works of Shakespeare,988670,24458,0.03,4.646940038263104,4.278828134548475,0.920784021165847,1.0860310094584982,False,194.34614587662443,0.5215032840750113,6.882107436684489,6.882154461847067,6.885901469512454,6.886706263261564,-4.702516257815148e-05,-0.00379403282796531,-0.004598826577074888,False,-0.0011333580420459788,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
war_and_peace,War and Peace,583368,17445,0.03,5.0,5.0,1.0,1.0,False,163.90094685607127,0.5221011898813235,6.678697266358666,6.6786892918447505,6.678027667860953,6.685806986839008,7.974513915876003e-06,0.0006695984977129754,-0.0071097204803418634,False,-0.0009522086842976007,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
moby_dick,Moby Dick,219054,16956,0.003,5.0,1.6164746988151326,0.32329493976302653,3.093150795162444,True,169.8116370521542,0.5272634021339889,6.947813652904288,6.948129203324875,6.94910570072398,6.947351041367365,-0.00031555042058695193,-0.0012920478196916108,0.0004626115369230632,False,-0.00024476843672610604,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
king_james_bible,King James Bible,792180,12555,0.0001,5.0,5.0,1.0,1.0,False,36.325815706271634,0.38065019321136623,6.015900110865233,6.016427696795082,6.017965050637185,6.0351662551816245,-0.0005275859298494723,-0.0020649397719525453,-0.01926614431639173,True,0.08821591545638888,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
federalist_papers,Federalist Papers,192302,8617,0.03,5.0,5.0,1.0,1.0,False,114.15942981171007,0.5228273483673095,6.200179381457683,6.200415193509107,6.196934223897512,6.199416070500408,-0.00023581205142431116,0.0032451575601708527,0.0007633109572742214,False,-0.0019011364408151044,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,0.0001,5.0,5.0,1.0,1.0,False,15.691991623514363,0.3252370719315698,6.077603811556091,6.077603811556091,6.077646160664019,6.088523680073925,0.0,-4.2349107927996954e-05,-0.010919868517833997,False,-0.00040364794321534614,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
don_quixote,Don Quixote,433304,15574,0.03,5.0,5.0,1.0,1.0,False,155.1011646349224,0.522520506123277,6.496300033354974,6.496925073059477,6.49630277625205,6.496279797495423,-0.0006250397045031164,-2.742897076579709e-06,2.0235859550687962e-05,False,-0.0013763335424451795,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
pride_and_prejudice,Pride and Prejudice,128565,6729,0.01,3.5603738848184454,3.1658474157986127,0.8891895958730326,1.12461954642887,False,99.14150443809362,0.521494593550323,6.33693586878066,6.3376355089961836,6.338649310626814,6.332858287664597,-0.0006996402155232673,-0.0017134418461539624,0.004077581116063378,False,-0.00084046994139933,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
canterbury_tales,Canterbury Tales,281189,17653,0.0001,4.61891589257494,5.0,1.0825050977952784,1.0825050977952784,False,59.05261982429469,0.4170743724209439,6.8070541204977735,6.80727518718316,6.812278605191087,6.803568686885705,-0.00022106668538679486,-0.005224484693313158,0.0034854336120684337,False,-0.000404937174697112,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,0.003,5.0,2.4109393527915537,0.48218787055831075,2.073880454193363,True,144.67566991247872,0.5215218344216966,6.68583841929142,6.6880441618978494,6.68667142363636,6.685473211034842,-0.0022057426064296948,-0.0008330043449404911,0.0003652082565777093,True,0.00042577407111304977,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
aesops_fables,Aesop's Fables,41594,4394,0.0003,4.882796526981879,3.262193937856237,0.6680995040095684,1.4967830300704401,False,22.15732302143424,0.36935739218646524,6.2208301439558795,6.222141287269817,6.22365870317628,6.221750903154405,-0.0013111433139378903,-0.002828559220400706,-0.0009207591985251895,False,-0.0012234147364807157,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,0.03,4.84058186964202,5.0,1.0329336709203867,1.0329336709203867,False,107.3342241420763,0.5216330073594185,6.454076190400903,6.454632947619569,6.456988589888799,6.447377412310836,-0.000556757218665993,-0.0029123994878963444,0.006698778090067137,True,0.0007178317902900855,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
jane_eyre,Jane Eyre,189604,12541,0.0003,5.0,5.0,1.0,1.0,False,97.3980231202762,0.4852096073932318,6.642788517678422,6.642788574812209,6.649150527735459,6.639198902037371,-5.713378659066848e-08,-0.006362010057036294,0.0035896156410508695,False,-0.0016081140365919733,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
dubliners,Dubliners,69264,7157,0.0001,3.709173292758115,2.305763806642915,0.621638199311083,1.6086527518872364,True,102.59773425277095,0.521732323482689,6.5163012370238995,6.517051665375395,6.521278476962053,6.5140093492139535,-0.0007504283514956356,-0.004977239938153133,0.002291887809946047,True,0.0016835922313190033,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
the_iliad,The Iliad,194969,12300,0.01,5.0,5.0,1.0,1.0,False,145.26829097989096,0.5286603890201379,6.879029472293083,6.879765506127107,6.883404881675385,6.890807298983179,-0.0007360338340243189,-0.004375409382301854,-0.011777826690096305,False,-0.0013077410751918817,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
democracy_in_america,Democracy in America,187753,9301,0.03,5.0,5.0,1.0,1.0,False,121.08912036414733,0.5249060259091723,6.311618794498048,6.312737180223583,6.311806433399232,6.314583858753442,-0.0011183857255350205,-0.00018763890118389526,-0.002965064255394445,False,-0.0010984657054773084,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
origin_of_species,Origin of Species,156024,6887,0.03,5.0,5.0,1.0,1.0,False,101.4134016183473,0.5226888030404592,6.375146134323035,6.375314807869142,6.374942420183649,6.383434243183849,-0.0001686735461063904,0.00020371413938669036,-0.008288108860813992,False,-0.0018010451552152862,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
wealth_of_nations,Wealth of Nations,380080,9478,0.0001,5.0,5.0,1.0,1.0,False,31.149376792557412,0.37554834129567216,6.155611785770872,6.155611767747408,6.161544629142846,6.175560092867926,1.8023463610461476e-08,-0.005932843371974528,-0.019948307097053863,False,-0.0006816945111719763,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
les_miserables,Les Miserables,575614,22677,0.0001,5.0,4.381835883752262,0.8763671767504524,1.1410742283936,False,617.239027096577,0.6406608971266399,6.802239814098222,6.802496261469384,6.800381977779332,6.802444035183806,-0.00025644737116170546,0.001857836318889916,-0.00020422108558371121,False,-0.0012523047069606663,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,0.001,5.0,5.0,1.0,1.0,False,225.59545555747312,0.5598291248325333,6.717116556320384,6.718010794305334,6.721115289041511,6.7211701084082005,-0.0008942379849496973,-0.003998732721126608,-0.004053552087816215,True,0.0004453884260179619,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
emile,Emile,252843,11174,0.0001,5.0,5.0,1.0,1.0,False,341.6521822085636,0.6258531630647324,6.489999652390449,6.490038618264771,6.489192155925541,6.487121711325544,-3.896587432183907e-05,0.0008074964649082972,0.0028779410649049098,True,0.0007096004932252153,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
ulysses,Ulysses,268854,28990,0.0003,5.0,2.249421794952176,0.4498843589904352,2.222793435726581,True,212.32455236015224,0.521486054750493,7.352183938899996,7.353701494174882,7.360040275685457,7.351230348257138,-0.0015175552748862842,-0.00785633678546116,0.0009535906428581598,False,-0.0007873621619270132,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
collected_poe,Collected Poe,91801,9312,0.03,5.0,5.0,1.0,1.0,False,117.8887553063058,0.5219072706987828,6.673458554054958,6.673486005851395,6.666311949576639,6.664039209234085,-2.7451796437816256e-05,0.007146604478318608,0.009419344820872588,False,-0.0012921720816332638,results/zipf_angle3_asymmetric_gate_splitfit/asymmetric_gate_table.csv
