name,token_count,vocab_size,softk_lambda,softk_test_avg_nll,zm_test_avg_nll,moe_test_avg_nll,softk_minus_zm,softk_minus_moe,step2_gain,step2_help,step2_expr
Genesis,38522,2451,0.003,5.681545531728315,5.704662562515396,5.6916170708983165,-0.023117030787081383,-0.01007153917000192,-0.002529497627911048,0,"eml[sub[x,1],eml[x,1]]"
Exodus,32775,2025,0.0001,5.528365500395107,5.535140252076628,5.529601322418955,-0.006774751681521529,-0.0012358220238484208,-0.002600605493251862,0,"eml[sub[x,1],eml[x,1]]"
Leviticus,24628,1414,0.0001,5.321737568050617,5.332463027364903,5.324296261194898,-0.010725459314286034,-0.0025586931442811434,-0.0037147724986157926,0,"eml[sub[x,1],eml[x,1]]"
Numbers,32949,2068,0.0003,5.501288346454823,5.5193178183479406,5.51018739053061,-0.018029471893117766,-0.00889904407578701,-0.0038674451731150333,0,"eml[sub[x,1],eml[x,1]]"
Deuteronomy,28409,2040,0.0001,5.582105449568856,5.586215701342274,5.584031747271046,-0.00411025177341795,-0.001926297702190105,-0.0018047604993483846,0,"eml[sub[x,1],eml[x,1]]"
Joshua,18870,1623,0.001,5.427396685704846,5.436479635974086,5.434361848302046,-0.009082950269240442,-0.0069651625972007025,-0.004585096320592952,0,"eml[sub[x,1],eml[x,1]]"
Judges,19010,1669,0.003,5.576822706867181,5.582245220010932,5.579703062910808,-0.005422513143750862,-0.0028803560436276854,-0.0036012583621450878,0,"eml[sub[x,1],eml[x,1]]"
Ruth,2587,517,0.0003,5.355969871982672,5.352185822489171,5.354843787566354,0.0037840494935004187,0.0011260844163176742,-0.007192235559045995,0,"eml[sub[x,1],eml[x,1]]"
1 Samuel,25158,1889,0.003,5.5691204753267884,5.580084805834412,5.572934446250491,-0.010964330507623465,-0.003813970923702392,-0.0030160483648101477,0,"eml[sub[x,1],eml[x,1]]"
2 Samuel,20730,1879,0.003,5.643721245744209,5.654450357448834,5.649723902139447,-0.01072911170462465,-0.006002656395238226,-0.0033511236590785254,0,"eml[sub[x,1],eml[x,1]]"
1 Kings,24600,1863,0.001,5.575069199237335,5.582175895923584,5.577533700642038,-0.007106696686248526,-0.002464501404702446,-0.0025503763542377433,0,"eml[sub[x,1],eml[x,1]]"
2 Kings,23603,1776,0.0003,5.4850566552809985,5.489673589372857,5.487223154287071,-0.004616934091858482,-0.0021664990060727973,-0.004214553939004384,0,"eml[sub[x,1],eml[x,1]]"
1 Chronicles,20420,2492,0.0003,5.63022704761504,5.629684701845143,5.631513668699224,0.000542345769896535,-0.001286621084184425,-0.003842785905353502,0,"eml[sub[x,1],eml[x,1]]"
2 Chronicles,26128,2034,0.0003,5.532261386881553,5.534978908844924,5.534159484227783,-0.0027175219633717163,-0.0018980973462303652,-0.0036295214412863652,0,"eml[sub[x,1],eml[x,1]]"
Ezra,7454,1088,0.003,5.261417463812579,5.257328519877068,5.259415480977961,0.004088943935511402,0.0020019828346180546,-0.006161878443447288,0,"eml[sub[x,1],eml[x,1]]"
Nehemiah,10501,1467,0.003,5.510245475795632,5.509644684955218,5.511336063037673,0.0006007908404139783,-0.0010905872420412521,-0.005348180200325403,0,"eml[sub[x,1],eml[x,1]]"
Esther,5718,785,0.0001,5.3911900657231255,5.3862126966816035,5.386361608413869,0.004977369041522017,0.004828457309256962,-0.005436442519017759,0,"eml[sub[x,1],eml[x,1]]"
Job,18128,2232,0.0003,5.945106954417787,5.943563433012467,5.9508978243932305,0.0015435214053196589,-0.005790869975443869,-0.0031249605187256835,0,"eml[sub[x,1],eml[x,1]]"
Psalms,42734,2883,0.01,5.8296539240934155,5.828196315460887,5.82950548368922,0.0014576086325286397,0.00014844040419514926,-0.002706826955559072,0,"eml[sub[x,1],eml[x,1]]"
Proverbs,15079,1839,0.001,5.744970608493589,5.730132329103136,5.737752685656258,0.014838279390453124,0.0072179228373308035,-0.0014457743710055149,0,"sub[pow[x,x],sqrt[x]]"
Ecclesiastes,5594,888,0.001,5.526185123955764,5.519310232441628,5.52896089159555,0.006874891514136117,-0.002775767639786153,0.000761377162757787,1,"sub[pow[x,x],sqrt[x]]"
Song of Solomon,2672,655,0.01,5.557157220910121,5.520094647042757,5.53675786155518,0.037062573867364,0.020399359354941637,-0.0009230299295638622,0,"sub[pow[x,x],sqrt[x]]"
Isaiah,37084,3097,0.0001,5.85161216722311,5.853205145747151,5.853342299849834,-0.0015929785240409444,-0.0017301326267240569,-0.0014509250855367917,0,"eml[sub[x,1],eml[x,1]]"
Jeremiah,42733,2594,0.001,5.636151344525977,5.648079938227701,5.639570068270545,-0.0119285937017235,-0.003418723744567309,-0.0019384151233506897,0,"eml[sub[x,1],eml[x,1]]"
Lamentations,3417,808,0.03,5.613162436491862,5.626350195500106,5.635313580028498,-0.013187759008244093,-0.022151143536635942,-0.0053278398716944675,0,"eml[sub[x,1],eml[x,1]]"
Ezekiel,39447,2317,0.0003,5.571848059665847,5.5833038532943595,5.57468618751718,-0.0114557936285129,-0.0028381278513336383,-0.002173335019347633,0,"eml[sub[x,1],eml[x,1]]"
