metric_name,value,display_format,notes
books_analyzed,66,integer,Table 5 row: Books analyzed.
per_book_step2_help_count,6,X/66 ratio,Table 5 row: Per-book step-2 helps.
per_book_softk_beats_zm_count,33,X/66 ratio,Table 5 row: Per-book soft-k beats ZM.
per_book_softk_beats_moe_count,45,X/66 ratio,Table 5 row: Per-book soft-k beats MOE.
median_per_book_softk_minus_zm,-0.00013339837693404633,signed decimal,Table 5 row: Median per-book soft-k minus ZM.
median_per_book_softk_minus_moe,-0.0028037828229647843,signed decimal,Table 5 row: Median per-book soft-k minus MOE.
median_per_book_step2_gain,-0.0036131801096206256,signed decimal,Table 5 row: Median per-book step-2 gain.
whole_bible_singlefit_softk_nll,6.016015736044842,average NLL,Table 5 row: Whole-Bible single-fit soft-k held-out NLL.
aggregate_per_book_softk_nll,5.604219509298761,average NLL,Table 5 row: Aggregate per-book soft-k held-out NLL.
improvement_from_decomposition,0.4117962267460813,average NLL delta,Table 5 row: Whole-fit minus aggregate per-book NLL.
per_book_step2_nonhelp_count,60,X/66 ratio,Table 5 row: Per-book step-2 non-help count.
whole_bible_step2_gain,0.0894896871269378,signed decimal,Table 5 row: Whole-Bible soft-k step-2 gain.
median_other24_softk_step2_gain,-0.0013483930874468725,signed decimal,Table 5 row: Median soft-k step-2 gain across other 24 English corpora.
