book,heading,token_count,vocabulary_size,test_token_count,softk_lambda,zipf_test_avg_nll,zm_test_avg_nll,moe_test_avg_nll,softk_test_avg_nll,softk_minus_zm,softk_minus_moe,step2_gain,step2_helps,step2_expression,softk_rmse
Genesis,The First Book of Moses: Called Genesis,38522,2451,7601,0.003,5.721995246522741,5.704662562515396,5.6916170708983165,5.681545531728315,-0.023117030787081383,-0.01007153917000192,-0.002529497627911048,False,"eml[sub[x,1],eml[x,1]]",0.16128336842258945
Exodus,The Second Book of Moses: Called Exodus,32775,2025,6788,0.0001,5.546038759364121,5.535140252076628,5.529601322418955,5.528365500395107,-0.006774751681521529,-0.0012358220238484208,-0.002600605493251862,False,"eml[sub[x,1],eml[x,1]]",0.15701392012421211
Leviticus,The Third Book of Moses: Called Leviticus,24628,1414,5049,0.0001,5.355545289098998,5.332463027364903,5.324296261194898,5.321737568050617,-0.010725459314286034,-0.0025586931442811434,-0.0037147724986157926,False,"eml[sub[x,1],eml[x,1]]",0.15537864085170866
Numbers,The Fourth Book of Moses: Called Numbers,32949,2068,6637,0.0003,5.529589642751235,5.5193178183479406,5.51018739053061,5.501288346454823,-0.018029471893117766,-0.00889904407578701,-0.0038674451731150333,False,"eml[sub[x,1],eml[x,1]]",0.12325662442258596
Deuteronomy,The Fifth Book of Moses: Called Deuteronomy,28409,2040,5647,0.0001,5.622435874227466,5.586215701342274,5.584031747271046,5.582105449568856,-0.00411025177341795,-0.001926297702190105,-0.0018047604993483846,False,"eml[sub[x,1],eml[x,1]]",0.16314732072865673
Joshua,The Book of Joshua,18870,1623,3706,0.001,5.4384908996678565,5.436479635974086,5.434361848302046,5.427396685704846,-0.009082950269240442,-0.0069651625972007025,-0.004585096320592952,False,"eml[sub[x,1],eml[x,1]]",0.12013256678114871
Judges,The Book of Judges,19010,1669,3806,0.003,5.589023574817736,5.582245220010932,5.579703062910808,5.576822706867181,-0.005422513143750862,-0.0028803560436276854,-0.0036012583621450878,False,"eml[sub[x,1],eml[x,1]]",0.1440171506513524
Ruth,The Book of Ruth,2587,517,532,0.0003,5.352546893483613,5.352185822489171,5.354843787566354,5.355969871982672,0.0037840494935004187,0.0011260844163176742,-0.007192235559045995,False,"eml[sub[x,1],eml[x,1]]",0.12668870618492223
1 Samuel,The First Book of Samuel,25158,1889,4828,0.003,5.604433514338492,5.580084805834412,5.572934446250491,5.5691204753267884,-0.010964330507623465,-0.003813970923702392,-0.0030160483648101477,False,"eml[sub[x,1],eml[x,1]]",0.14689268161228544
2 Samuel,The Second Book of Samuel,20730,1879,4152,0.003,5.675186553785224,5.654450357448834,5.649723902139447,5.643721245744209,-0.01072911170462465,-0.006002656395238226,-0.0033511236590785254,False,"eml[sub[x,1],eml[x,1]]",0.13831855195548365
1 Kings,The First Book of the Kings,24600,1863,4873,0.001,5.5917320689775,5.582175895923584,5.577533700642038,5.575069199237335,-0.007106696686248526,-0.002464501404702446,-0.0025503763542377433,False,"eml[sub[x,1],eml[x,1]]",0.15791608082780104
2 Kings,The Second Book of the Kings,23603,1776,4769,0.0003,5.499544815230208,5.489673589372857,5.487223154287071,5.4850566552809985,-0.004616934091858482,-0.0021664990060727973,-0.004214553939004384,False,"eml[sub[x,1],eml[x,1]]",0.11771320175094852
1 Chronicles,The First Book of the Chronicles,20420,2492,4112,0.0003,5.630608128288037,5.629684701845143,5.631513668699224,5.63022704761504,0.000542345769896535,-0.001286621084184425,-0.003842785905353502,False,"eml[sub[x,1],eml[x,1]]",0.11861378208107756
2 Chronicles,The Second Book of the Chronicles,26128,2034,5135,0.0003,5.538146540924285,5.534978908844924,5.534159484227783,5.532261386881553,-0.0027175219633717163,-0.0018980973462303652,-0.0036295214412863652,False,"eml[sub[x,1],eml[x,1]]",0.12611239363608232
Ezra,Ezra,7454,1088,1454,0.003,5.257555753924828,5.257328519877068,5.259415480977961,5.261417463812579,0.004088943935511402,0.0020019828346180546,-0.006161878443447288,False,"eml[sub[x,1],eml[x,1]]",0.1190140064909756
Nehemiah,The Book of Nehemiah,10501,1467,2152,0.003,5.509275779593133,5.509644684955218,5.511336063037673,5.510245475795632,0.0006007908404139783,-0.0010905872420412521,-0.005348180200325403,False,"eml[sub[x,1],eml[x,1]]",0.12088014435400357
Esther,The Book of Esther,5718,785,1118,0.0001,5.386585671781997,5.3862126966816035,5.386361608413869,5.3911900657231255,0.004977369041522017,0.004828457309256962,-0.005436442519017759,False,"eml[sub[x,1],eml[x,1]]",0.13354184400529992
Job,The Book of Job,18128,2232,3542,0.0003,5.9615438246135355,5.943563433012467,5.9508978243932305,5.945106954417787,0.0015435214053196589,-0.005790869975443869,-0.0031249605187256835,False,"eml[sub[x,1],eml[x,1]]",0.12744664743978026
Psalms,The Book of Psalms,42734,2883,8349,0.01,5.879984077409567,5.828196315460887,5.82950548368922,5.8296539240934155,0.0014576086325286397,0.00014844040419514926,-0.002706826955559072,False,"eml[sub[x,1],eml[x,1]]",0.1545803957163355
Proverbs,The Proverbs,15079,1839,3079,0.001,5.748859135364701,5.730132329103136,5.737752685656258,5.744970608493589,0.014838279390453124,0.0072179228373308035,-0.0014457743710055149,False,"sub[pow[x,x],sqrt[x]]",0.16317392762403876
Ecclesiastes,Ecclesiastes,5594,888,1082,0.001,5.539265033222367,5.519310232441628,5.52896089159555,5.526185123955764,0.006874891514136117,-0.002775767639786153,0.000761377162757787,True,"sub[pow[x,x],sqrt[x]]",0.1852695156338878
Song of Solomon,The Song of Solomon,2672,655,578,0.01,5.509883879531341,5.520094647042757,5.53675786155518,5.557157220910121,0.037062573867364,0.020399359354941637,-0.0009230299295638622,False,"sub[pow[x,x],sqrt[x]]",0.16992081951448493
Isaiah,The Book of the Prophet Isaiah,37084,3097,7416,0.0001,5.866750776261713,5.853205145747151,5.853342299849834,5.85161216722311,-0.0015929785240409444,-0.0017301326267240569,-0.0014509250855367917,False,"eml[sub[x,1],eml[x,1]]",0.16153941047305614
Jeremiah,The Book of the Prophet Jeremiah,42733,2594,8527,0.001,5.670244964641156,5.648079938227701,5.639570068270545,5.636151344525977,-0.0119285937017235,-0.003418723744567309,-0.0019384151233506897,False,"eml[sub[x,1],eml[x,1]]",0.16703491649946994
Lamentations,The Lamentations of Jeremiah,3417,808,692,0.03,5.610913678605711,5.626350195500106,5.635313580028498,5.613162436491862,-0.013187759008244093,-0.022151143536635942,-0.0053278398716944675,False,"eml[sub[x,1],eml[x,1]]",0.12845176989520704
Ezekiel,The Book of the Prophet Ezekiel,39447,2317,7644,0.0003,5.60579889007326,5.5833038532943595,5.57468618751718,5.571848059665847,-0.0114557936285129,-0.0028381278513336383,-0.002173335019347633,False,"eml[sub[x,1],eml[x,1]]",0.15732854104367613
Daniel,The Book of Daniel,11635,1278,2262,0.0001,5.535398339253319,5.536861642615849,5.539643367726936,5.553038252988442,0.016176610372593103,0.013394885261505785,-0.003584310971030208,False,"sub[pow[x,x],sqrt[x]]",0.15605929544813385
Hosea,Hosea,5176,963,1018,0.01,5.375666896527448,5.3612652564844865,5.369732432884064,5.350554390129474,-0.010710866355012172,-0.01917804275458934,-0.0012432973023355776,False,"sub[pow[x,x],sqrt[x]]",0.16259040735469724
Joel,Joel,2035,531,420,0.003,5.223760715869183,5.226602629917978,5.232451712529818,5.233327742379648,0.0067251124616696245,0.0008760298498291519,-0.007309673814941575,False,"eml[sub[x,1],eml[x,1]]",0.12936204825501105
Amos,Amos,4222,831,872,0.003,5.401981110059151,5.408075231333744,5.4146034211839815,5.410191419477302,0.002116188143557629,-0.004412001706679547,-0.005661545942171414,False,"eml[sub[x,1],eml[x,1]]",0.12226056211121852
Obadiah,Obadiah,671,246,141,0.003,4.892781699861794,4.898766998414471,4.907369937294277,4.899016915136868,0.0002499167223968257,-0.008353022157408851,-0.012499361259982938,False,"eml[sub[x,1],eml[x,1]]",0.10585513371913072
Jonah,Jonah,1324,366,247,0.03,5.163084669458225,5.166125790121375,5.1791200297747455,5.210281802471158,0.0441560123497835,0.031161772696412626,-0.009882894719549326,False,"eml[sub[x,1],eml[x,1]]",0.11851397754763789
Micah,Micah,3156,738,643,0.03,5.372195828245745,5.373115197794494,5.378223986950899,5.3635162981468,-0.00959889964769367,-0.014707688804098673,-0.007010332868400609,False,"eml[sub[x,1],eml[x,1]]",0.11395029373507203
Nahum,Nahum,1286,468,250,0.01,5.12494102898639,5.1249410218323534,5.125767646981652,5.145853943077879,0.02091292124552524,0.020086296096226697,-0.009174541930514674,False,"eml[sub[x,1],eml[x,1]]",0.10711879349345729
Habakkuk,Habakkuk,1479,505,309,0.01,5.376626609983724,5.376841064987053,5.383448687381059,5.4071240866491355,0.030283021662082632,0.02367539926807627,0.005711855997552695,True,"sub[pow[x,x],sqrt[x]]",0.2058857987964874
Zephaniah,Zephaniah,1622,466,331,0.001,5.214068418279179,5.214294158885303,5.2238874698098225,5.218386011267635,0.004091852382331673,-0.005501458542187976,-0.007624812668968445,False,"eml[sub[x,1],eml[x,1]]",0.1213358420343969
Haggai,Haggai,1135,288,210,0.001,4.860133404224725,4.861697517802851,4.865957009628944,4.874370729250888,0.012673211448037236,0.00841371962194426,-0.010643192020634962,False,"eml[sub[x,1],eml[x,1]]",0.11635596402229245
