slug,name,variant,test_avg_nll,bic,rmse,step2_gain,step2_help
shakespeare,Complete Works of Shakespeare,nested,6.881303932203246,13578568.159618517,0.17507064896614577,-0.0005160281639211839,0
shakespeare,Complete Works of Shakespeare,three_regime,6.881593942949375,13577691.123631336,0.16219747563386674,-0.0007758256375981487,0
war_and_peace,War and Peace,nested,6.67780034644499,7767099.094234726,0.18842625509862562,-0.0005287156854260344,0
war_and_peace,War and Peace,three_regime,6.677067746413472,7766783.260605305,0.18875075582062223,-0.00046216765972853513,0
moby_dick,Moby Dick,nested,6.945528285307001,3019293.7000931893,0.16149191298545323,-0.0010560475171088324,0
moby_dick,Moby Dick,three_regime,6.945861328053671,3019458.6885955874,0.16323645022955763,-0.0009455907214100945,0
king_james_bible,King James Bible,nested,6.0055525542958765,9512789.929784076,0.4245718309947707,0.15113629705736553,1
king_james_bible,King James Bible,three_regime,6.008871648032749,9516083.600607393,0.33877853959472726,0.10751138968275481,1
federalist_papers,Federalist Papers,nested,6.198651249932286,2372542.0428324807,0.1533752926815233,-0.0015807440400734951,0
federalist_papers,Federalist Papers,three_regime,6.1971681479472265,2372669.182133047,0.18171095138271579,-0.0008350510866369232,0
grimms_fairy_tales,Grimm's Fairy Tales,nested,6.07434715725743,1233830.6249403472,0.23326750436750726,0.022227615522600747,1
grimms_fairy_tales,Grimm's Fairy Tales,three_regime,6.088981013293337,1233698.4391250275,0.1555103533998156,-0.00202065958930861,0
don_quixote,Don Quixote,nested,6.494916239304502,5605888.429884717,0.15899725875761817,0.003001296422675326,1
don_quixote,Don Quixote,three_regime,6.494708982711218,5605736.086398025,0.17730784694380697,0.001085987410086392,1
pride_and_prejudice,Pride and Prejudice,nested,6.338062207621781,1624407.3700233796,0.16046379659483312,-0.001201096776798527,0
pride_and_prejudice,Pride and Prejudice,three_regime,6.337304136125786,1624657.678446104,0.16045426747576189,-0.0016796570603208882,0
canterbury_tales,Canterbury Tales,nested,6.808673762683147,3810549.6962464214,0.17701454667246047,0.0007442985162577354,1
canterbury_tales,Canterbury Tales,three_regime,6.808002670523141,3810667.559292578,0.16897992058187752,-0.0002904580292803771,0
arabian_nights_vol1,Arabian Nights (Vol 1),nested,6.68278199486911,2337251.7761536962,0.1847119176789573,0.0014707384055907824,1
arabian_nights_vol1,Arabian Nights (Vol 1),three_regime,6.683443333294793,2337910.9582028487,0.18407718179572113,0.0010201075362455403,1
aesops_fables,Aesop's Fables,nested,6.2235261618351005,508788.74758096045,0.16774539319821918,-0.001386099427805959,0
aesops_fables,Aesop's Fables,three_regime,6.223458945359848,508799.25751757325,0.16800162617553804,-0.0016934098894524907,0
complete_sherlock_holmes,Complete Sherlock Holmes,nested,6.4572674140522315,1352744.8823344414,0.1702076923393422,-0.001140797181327785,0
complete_sherlock_holmes,Complete Sherlock Holmes,three_regime,6.456325805955777,1352976.910092849,0.1745554677277306,-0.0009041077793726926,0
jane_eyre,Jane Eyre,nested,6.643698743523135,2516193.6879760907,0.1551994616505936,-0.0014127058250292535,0
jane_eyre,Jane Eyre,three_regime,6.645545828877641,2516593.92733361,0.1740199759262857,-0.0004546656116472536,0
dubliners,Dubliners,nested,6.5162941641025025,896377.0687051271,0.18165992012674462,0.002350640592530262,1
dubliners,Dubliners,three_regime,6.516261662488576,896316.4284190141,0.184944641475401,0.00207771020611508,1
the_iliad,The Iliad,nested,6.887229073541098,2679799.764684396,0.17784449232040192,-0.0007083464329536437,0
the_iliad,The Iliad,three_regime,6.880239132760682,2677605.077176679,0.1878786030866534,-9.563207767071535e-05,0
democracy_in_america,Democracy in America,nested,6.311073358392534,2354190.0364095317,0.23445368825629084,0.004945985292669597,1
democracy_in_america,Democracy in America,three_regime,6.312922212170155,2354636.002288694,0.3098736448174607,0.08477798981766316,1
origin_of_species,Origin of Species,nested,6.372600270937267,1982658.1667883052,0.20043365549379427,-0.000614690962884773,0
origin_of_species,Origin of Species,three_regime,6.375133434653076,1984457.5340807242,0.2470906163130199,0.026364694541916034,1
wealth_of_nations,Wealth of Nations,nested,6.154334188995149,4672794.127042075,0.18148362599455015,-0.0008768021509213408,0
wealth_of_nations,Wealth of Nations,three_regime,6.158828346859471,4676548.274062752,0.3550219119444664,0.12164704063464735,1
les_miserables,Les Miserables,nested,6.799056266974928,7801838.574122019,0.3983941896292147,0.1539317334952047,1
les_miserables,Les Miserables,three_regime,6.799931050528655,7798844.470468634,0.3057321174512062,0.10161073171816379,1
decline_and_fall_vol1,Decline and Fall Vol 1,nested,6.716004567082809,3508912.0233189566,0.18766968511904836,0.0011957365261063835,1
decline_and_fall_vol1,Decline and Fall Vol 1,three_regime,6.720979897237765,3512019.3049078183,0.3774507429536337,0.1243205040915909,1
emile,Emile,nested,6.489510621894114,3260290.7460135086,0.18186782455244951,0.0008384687961817405,1
emile,Emile,three_regime,6.487886253614171,3261199.3252121443,0.19703230097652447,-0.0003715378332498076,0
ulysses,Ulysses,nested,7.353031479273071,3927908.2504374185,0.18765056836568772,0.0026047298751044334,1
ulysses,Ulysses,three_regime,7.353292952524696,3927904.7186510474,0.18800497181395423,0.0021709212251762033,1
collected_poe,Collected Poe,nested,6.665699194183182,1216065.111782414,0.1828856804235437,-0.00033751049954788837,0
collected_poe,Collected Poe,three_regime,6.672160455158952,1216076.3426052448,0.17344745976136466,-0.0008754526227467141,0
principia_ethica,Principia Ethica,nested,5.91186774105431,1161530.7541251956,0.18802631543495935,-0.0008150733690688305,0
principia_ethica,Principia Ethica,three_regime,5.911341112777018,1161615.863379087,0.16570323829143646,-0.00012671383752640986,0
critique_of_pure_reason,Critique of Pure Reason,nested,5.952059874824002,2473831.82785946,0.18258556022890382,-0.00030620101585129844,0
critique_of_pure_reason,Critique of Pure Reason,three_regime,5.953013891458755,2474022.018257191,0.2081320818304199,0.003256465549492854,1
