slug,name,lambda,k,w,top100_hybrid,top100_moe,top100_softk,full_hybrid,full_moe,full_softk,full_step2_help,full_step2_gain
shakespeare,Complete Works of Shakespeare,0.003,100.84877108709779,1.1609077739126556,4.895062917237988,4.907014126684411,4.8782026584963,6.8819573225471276,6.885901469512454,6.882154461847067,1,0.002213244238036538
war_and_peace,War and Peace,0.003,76.1593478221288,1.1479765491728544,4.640378491519085,4.631805028997445,4.64030786220721,6.6777693875196755,6.678027667860953,6.678678865152861,0,-0.0011549522758455
moby_dick,Moby Dick,0.0003,160.42054504898175,3.5405186185892603,4.667281306663952,4.677216267807484,4.680034866071619,6.9463724823663995,6.94910570072398,6.948129203324875,0,-0.0007161266297429081
king_james_bible,King James Bible,0.0003,58.22834961228874,0.7756586739616045,4.432920455478925,4.420783044964394,4.448872099595951,6.013060144735561,6.017965050637185,6.016425262838996,1,0.10868980546889867
federalist_papers,Federalist Papers,0.001,113.05862530305733,1.9484536618896693,4.315933245281401,4.2920872626111235,4.318818195630321,6.197496760172889,6.196934223897512,6.199844992900314,0,-0.0005136686368169274
grimms_fairy_tales,Grimm's Fairy Tales,0.003,105.62567522156733,1.2237583995487253,4.544968350031409,4.548900496877882,4.557413079365721,6.073248580043454,6.077646160664019,6.077603811556091,0,-0.0009416000894990617
don_quixote,Don Quixote,0.001,70.49008823869741,1.134331294315995,4.631806265082679,4.64031125966066,4.622130935768978,6.494656755289804,6.49630277625205,6.496925073059477,0,-0.000531447674768537
pride_and_prejudice,Pride and Prejudice,0.03,101.35737445537397,1.2441272031625092,4.710099315487704,4.722742261909364,4.704670236458209,6.334130484096475,6.338649310626814,6.336783021894429,0,-0.001286489275031305
canterbury_tales,Canterbury Tales,0.003,163.8271346203903,1.0001812424452872,4.692010580976977,4.718763879693407,4.690907545644896,6.80553766782978,6.812278605191087,6.806097442244247,0,-0.00011592586961600704
arabian_nights_vol1,Arabian Nights (Vol 1),0.0001,144.5407051596237,3.0517662866880637,4.576162215028725,4.580145016806261,4.580894323970699,6.686076781564693,6.68667142363636,6.687754725961309,1,0.001157123982432784
aesops_fables,Aesop's Fables,0.0001,79.32932724327326,2.479644218564791,4.459032368797521,4.456116010054979,4.456033976757518,6.224764153975742,6.22365870317628,6.22074737680541,0,-0.001583369099316695
complete_sherlock_holmes,Complete Sherlock Holmes,0.01,107.1394080489091,1.0211295761195998,4.6351057802144275,4.654490528149713,4.629554399589969,6.45021444511238,6.456988589888799,6.453747597117771,0,-0.0009967345139468842
jane_eyre,Jane Eyre,0.001,82.70726951886354,1.3832733990790604,4.6424024039578144,4.669424099716036,4.638581328098644,6.640389852546312,6.649150527735459,6.642788574812209,0,-0.001040846646461313
dubliners,Dubliners,0.0001,102.30421442745855,0.4271955929270699,4.617019498102853,4.625485768788617,4.614098915499791,6.518753805900212,6.521278476962053,6.517051665375395,1,0.0021311952534462664
the_iliad,The Iliad,0.01,137.12031195836929,1.3625376191322403,4.613918033533492,4.562007881982552,4.610615437205321,6.879237846843119,6.883404881675385,6.879693438081945,1,0.000262420340769981
democracy_in_america,Democracy in America,0.03,117.78244278636056,1.8809437504158595,4.319352837192868,4.291246323009308,4.325092625120179,6.311102048600023,6.311806433399232,6.311611212604429,0,-0.0004935939836157588
origin_of_species,Origin of Species,0.03,102.0826946619062,1.6527464662212683,4.581365525004404,4.553332597779077,4.5843649377945646,6.374192218717613,6.374942420183649,6.375321709061686,0,-0.0006847980054114633
wealth_of_nations,Wealth of Nations,0.0001,57.48681003893941,0.8592411210024319,4.418185903611634,4.3883940173803495,4.428306871769982,6.154172801848215,6.161544629142846,6.155611767747408,0,-0.0010694749723125507
les_miserables,Les Miserables,0.0003,44.28003762525759,1.9497370999129637,4.5688188733125035,4.570927291317201,4.566397708240042,6.800545450851442,6.800381977779332,6.801859574689947,0,-0.0007070062437777858
decline_and_fall_vol1,Decline and Fall Vol 1,0.03,155.824096193284,1.7521795387746792,4.253579210798779,4.207124908003498,4.245989250825304,6.716130962295418,6.721115289041511,6.717869269968219,1,0.0012034190640928533
emile,Emile,0.0001,129.07567030771418,2.5990385939294307,4.696424363203318,4.703626031731037,4.686633683866927,6.4874511909906785,6.489192155925541,6.489722409140335,0,-0.0002840586043198756
ulysses,Ulysses,0.001,212.18577848607592,0.9847696946724198,4.73599364214098,4.763646609696205,4.732321679565584,7.354968757950881,7.360040275685457,7.353701494174882,1,0.002936166820564995
collected_poe,Collected Poe,0.01,117.37906397612282,2.281675162696095,4.506008497728883,4.505934752337151,4.512733457779536,6.6665368211656375,6.666311949576639,6.671484550103681,0,-0.0010292932221934725
principia_ethica,Principia Ethica,0.003,73.25192658891596,0.6953917425448445,4.511806376096271,4.491174500901497,4.515502094982316,5.908936527697397,5.913923711681961,5.91068217315341,1,0.0006198575931893047
critique_of_pure_reason,Critique of Pure Reason,0.03,97.98990621237157,1.2889558426374523,4.406234061400206,4.377708135854066,4.406737516984039,5.952708387338326,5.9564279569814556,5.952965161503562,1,0.001099316756863311
