slug,name,lambda_mech,test_avg_nll,train_step2_gain,heldout_step2_gain,heldout_step2_help,k,w,alpha_tail,beta_tail
shakespeare,Complete Works of Shakespeare,0.01,6.881800823831108,-0.0004587538164613769,0.32288127495369134,1,100.93449990596228,1.1532726304787502,1.8263437449597508,3.083415549778909
shakespeare,Complete Works of Shakespeare,0.1,6.881797013594952,-0.00018735724243781893,0.32207112670401294,1,101.03044292911106,1.1507056865712753,1.826824596713501,3.079527107375584
shakespeare,Complete Works of Shakespeare,1.0,6.881815035404264,-0.00023541822729514217,0.32274505694904054,1,101.0684697880272,1.1480577190456218,1.82792143114982,3.0753067371170064
shakespeare,Complete Works of Shakespeare,10.0,6.881838292197187,-0.0004211340341660208,0.3239671895343732,1,101.04110014862596,1.145763117434522,1.8291527941897734,3.0722256451821046
shakespeare,Complete Works of Shakespeare,100.0,7.051146399289194,0.010137306354539355,0.2931819874657652,1,101.75953961674917,1.3602971548439995,1.8262294831785488,28.181972183129222
war_and_peace,War and Peace,0.01,6.677652213903539,-0.0013681660202465307,0.3277894660193318,1,76.7898410696455,1.145343718815435,1.738783590330294,1.4671328194801818
war_and_peace,War and Peace,0.1,6.677625801443172,-0.0013730441595187215,0.3261499987241647,1,77.02283613765864,1.1436220689877419,1.7409519715014545,1.4758235786610112
war_and_peace,War and Peace,1.0,6.677634014991969,-0.0013830488053160894,0.3258118930639835,1,77.22562341427425,1.1415821296653046,1.7439702043418799,1.4819923300698374
war_and_peace,War and Peace,10.0,6.677656993685842,-0.0013903449404388812,0.3261225257747058,1,77.41560975013623,1.1392254868517966,1.7472641366499262,1.4874671681150804
war_and_peace,War and Peace,100.0,6.8362069560294785,0.011760981134191856,0.2817669984711787,1,78.60974823931653,1.3772599794654985,1.7389240255679421,13.195231817116557
moby_dick,Moby Dick,0.01,6.946298447717541,0.0028183941360479525,0.47829509345309784,1,150.63768419573668,3.5721418226379256,1.527752553128939,6.882958523523055
moby_dick,Moby Dick,0.1,6.946319595910065,0.0021089733986680848,0.4770955084911833,1,155.8114243055929,3.5184221259287076,1.5264006571077797,6.8458349665331895
moby_dick,Moby Dick,1.0,6.946304544699682,0.0017730257337426059,0.47651283627916463,1,161.77481613177662,3.496334339400797,1.5253635205656375,6.795445213567815
moby_dick,Moby Dick,10.0,6.9461579243210565,0.0006960184925134671,0.47441554534770614,1,166.29332565086582,3.4991147677904646,1.5251113331346253,6.747897024385327
moby_dick,Moby Dick,100.0,6.9869558406070045,0.007410133193680946,0.49491243626209935,1,566.1495445990068,2.14558664892989,5.9995745694828795,0.001596080137793443
king_james_bible,King James Bible,0.01,6.0073298237638335,0.05982420374669617,0.21464173636600548,1,140.216744210968,1.6895400584360396,4.2730370247541405,12.881280482109712
king_james_bible,King James Bible,0.1,6.00747250930924,0.029972906523791032,0.24127125752200723,1,138.3442987505464,1.6852726552324195,4.278708970701995,12.931541569732135
king_james_bible,King James Bible,1.0,6.007686242046982,0.004693244530042939,0.26185089346061385,1,136.1565635410655,1.6842083479547576,4.290561703548471,13.043349126637175
king_james_bible,King James Bible,10.0,6.007715007449986,0.002234996968295294,0.26391166477275385,1,136.15626194331742,1.684091558745913,4.290572727759048,13.045025449116423
king_james_bible,King James Bible,100.0,6.007715230808295,0.0022416124162789874,0.26391288170637994,1,136.15583527049196,1.6840024883285476,4.290588868046156,13.044438589347541
federalist_papers,Federalist Papers,0.01,6.196436699604738,0.00040277747066699843,0.3332983393357257,1,112.73743253042488,0.8134189107532729,1.4255594518367474,8.00469662191702
federalist_papers,Federalist Papers,0.1,6.207993331239222,0.09633633037465378,0.42194701008167157,1,4999.999422065436,0.4022437838996553,5.999526988726273,0.0015960801377943312
federalist_papers,Federalist Papers,1.0,6.202193375616794,0.0023402252267064327,0.39031660150885394,1,4222.974951730758,0.4568550974749356,1.0022665188158202,0.001631144584691829
federalist_papers,Federalist Papers,10.0,6.198613891678437,-0.0018242372110426897,0.3629053533192733,1,3371.766091892712,0.4177199038227633,1.000673844270055,0.001980932705874086
federalist_papers,Federalist Papers,100.0,6.199229425793617,0.00040136048084501996,0.3747685887871657,1,3313.089862442113,0.4126405669960378,1.0005330178493022,0.0014251332514395752
grimms_fairy_tales,Grimm's Fairy Tales,0.01,6.073250060002232,-0.0008476800456478917,0.3789847038140367,1,105.57255816986107,1.2243108154477746,5.932122528069057,25.89426564635623
grimms_fairy_tales,Grimm's Fairy Tales,0.1,6.073250306594582,-0.0008434420025887623,0.37901918161068504,1,105.61121649378303,1.224408848244322,5.933426444489619,25.893957515125617
grimms_fairy_tales,Grimm's Fairy Tales,1.0,6.073250602108432,-0.0008308568769282432,0.3790618906193024,1,105.64789848590966,1.2245165538042195,5.933408940030911,25.89453866091448
grimms_fairy_tales,Grimm's Fairy Tales,10.0,6.0732506888218065,-0.000819435939658858,0.37908928718440527,1,105.67151263352562,1.2242556542140146,5.933402669647901,25.892762293740383
grimms_fairy_tales,Grimm's Fairy Tales,100.0,6.073247978878372,-0.000842039910402409,0.3790018671392825,1,105.68031555906558,1.2244418675976905,5.933605804980413,25.895004625009594
don_quixote,Don Quixote,0.01,6.494384302821047,-0.0003832101921354414,0.3741872531358913,1,70.26854857096068,1.1263052223803105,1.7732249993734701,1.9035578939871203
don_quixote,Don Quixote,0.1,6.494369246986996,-0.0004195451162988528,0.3731814796666767,1,70.29175718005985,1.1228791975048356,1.7725965336901526,1.8985193166819996
don_quixote,Don Quixote,1.0,6.49439763987248,-0.0004718743891027888,0.37350868553830274,1,70.32814393712637,1.1193421067784035,1.7734918118306808,1.8920184380342642
don_quixote,Don Quixote,10.0,6.494444212551711,-0.000526289718922629,0.374319501319472,1,70.36537380141343,1.1159685360074083,1.7748749942964532,1.8853883315020026
don_quixote,Don Quixote,100.0,6.691530092846797,0.014084147631280325,0.3438199879944651,1,70.62345978792315,1.3078072807127124,1.7733176982770493,16.952897152327044
pride_and_prejudice,Pride and Prejudice,0.01,6.334699665064615,-0.0014574965133864193,0.4075358009757861,1,121.31025428025825,4.9995087869936885,1.753103893582824,96.30153950583427
pride_and_prejudice,Pride and Prejudice,0.1,6.334735475946774,-0.0014467850758133616,0.40811655080488773,1,117.45524681012816,4.9994533183658705,1.7540965556691346,96.51550600751344
pride_and_prejudice,Pride and Prejudice,1.0,6.334759960929823,-0.0014390524918285186,0.4085096540242029,1,114.82188470079052,4.999412825388092,1.7547251240037918,96.62112949422604
pride_and_prejudice,Pride and Prejudice,10.0,6.644899149169561,1.8097889693166296,2.0296701310963843,1,4999.999380121156,3.1733032012999445,5.999468045160316,0.0015960801378014366
pride_and_prejudice,Pride and Prejudice,100.0,6.35329388289429,0.001443777831773435,0.42543972344173087,1,4999.999378560455,1.0008442875928028,5.9994943182000995,0.001596080137793927
canterbury_tales,Canterbury Tales,0.01,6.804524656867,0.0003776050460680691,0.4654297537028699,1,155.72904963136054,4.999434660571547,1.3790516613579922,9.94456121834959
canterbury_tales,Canterbury Tales,0.1,6.804374136300444,0.0003309387991146384,0.4647378494532266,1,156.7715590200698,4.999438830704367,1.3838434884316555,10.297690795381262
canterbury_tales,Canterbury Tales,1.0,6.866652706126655,0.4608551249616346,0.9561965510838687,1,4999.999379576358,2.779238960340823,5.999527607634161,0.0015960801377943312
canterbury_tales,Canterbury Tales,10.0,6.8173069194150075,0.010267874440062497,0.5365846319273717,1,2172.397233724181,2.1067663255644486,5.0484624543663035,0.7091771384389668
canterbury_tales,Canterbury Tales,100.0,7.064356245166557,0.06951171684181973,0.6213751096379123,1,216.44489244716272,4.103139851266488,5.999663436187446,0.0012614247229001208
arabian_nights_vol1,Arabian Nights (Vol 1),0.01,6.685583959951384,-0.0005820714423601936,0.535065530777627,1,135.0083705581321,3.9355598829946925,1.4259113632434592,5.87364333924626
arabian_nights_vol1,Arabian Nights (Vol 1),0.1,6.685634438969337,-0.0007088022539383509,0.5325831971549014,1,138.15478673444878,3.7579473038222524,1.423090495479619,5.854013791073075
arabian_nights_vol1,Arabian Nights (Vol 1),1.0,6.685684933730621,-0.0007460366532265894,0.5325862594409919,1,142.51412631582724,3.6396085883805966,1.42086313795057,5.833353600611474
arabian_nights_vol1,Arabian Nights (Vol 1),10.0,6.689140202294788,0.001425168623880757,0.5852883125928587,1,4999.999379862467,1.4979186316875177,5.999471381050899,4.672195838375713
arabian_nights_vol1,Arabian Nights (Vol 1),100.0,6.686817036769962,-0.0007114242690628436,0.5534320558893352,1,4254.6470296645,1.7607323232678684,3.869460050451324,14.037574686113489
aesops_fables,Aesop's Fables,0.01,6.223545777120492,0.001911340737952294,0.6279265771874389,1,64.86252525131906,4.135808191275837,1.497793619113623,7.457480175089526
aesops_fables,Aesop's Fables,0.1,6.223672521709564,0.0008530388300799219,0.6231293674103747,1,67.66368655193054,3.7818468473994913,1.4935168777842296,7.425022759110032
aesops_fables,Aesop's Fables,1.0,6.223736768379895,0.0004161018815234119,0.6211587276849201,1,72.21286403284567,3.621744578874847,1.4907307891223185,7.374263293202964
aesops_fables,Aesop's Fables,10.0,6.224407476713551,0.010524845877951577,0.4803865765752482,1,4393.999496255145,1.5560103649463075,5.608484112859124,6.589895285306677
aesops_fables,Aesop's Fables,100.0,6.227058449360711,0.0001586160100709999,0.6378661590703807,1,2070.062075905286,1.459879271674387,2.074039487743763,23.012081931570926
complete_sherlock_holmes,Complete Sherlock Holmes,0.01,6.448903914060531,-0.0006885942178437299,0.474305616598103,1,106.5906362794159,4.999359334611504,1.4654994318098895,15.139200006684971
complete_sherlock_holmes,Complete Sherlock Holmes,0.1,6.448979680747697,-0.0007225600870689186,0.475811972429653,1,106.63895430713255,4.999338690049333,1.467669526074604,15.26555351224729
complete_sherlock_holmes,Complete Sherlock Holmes,1.0,6.580277809232136,0.8982917915364773,1.4048785462440978,1,4999.999380424595,2.7190763053345735,5.999468049360332,9.10555647153462
complete_sherlock_holmes,Complete Sherlock Holmes,10.0,6.449117286661417,0.00048744348135404403,0.47898249347536015,1,107.83737851260325,2.607238045962429,1.6434860119654713,3.727044643726484
complete_sherlock_holmes,Complete Sherlock Holmes,100.0,6.449045255221423,2.132924288553162e-05,0.47534766147425767,1,107.78818203884008,2.6102695619191025,1.6429604960128132,3.743608597146222
jane_eyre,Jane Eyre,0.01,6.640138072832315,-0.0008761692350548189,0.4426656073170723,1,83.09476585207187,1.332008145465201,1.878470447187355,3.3437735657626546
jane_eyre,Jane Eyre,0.1,6.640207647330734,-0.0009059554282722093,0.44261279200977544,1,82.93346479906769,1.3283356436654548,1.8781158502216477,3.346758608049007
jane_eyre,Jane Eyre,1.0,6.640298748131298,-0.00094001193215279,0.4427285287498549,1,82.80047186027295,1.3241933778429789,1.8781442773879322,3.3440373298869273
jane_eyre,Jane Eyre,10.0,6.930154007887527,0.07120019781100578,0.31511399464518886,1,94.86711943878534,1.8681525384219508,1.8785251368283629,53.69364701119213
jane_eyre,Jane Eyre,100.0,6.682442126223957,0.0013756232276477265,0.4417970354995213,1,117.98299434304242,1.5873413364631999,2.8017698456316085,26.128866531151647
dubliners,Dubliners,0.01,6.517220601713122,-0.0012939269524014918,0.6312901040212743,1,102.56715300908586,0.3186230189691567,1.3830745841804324,7.684213980520352
dubliners,Dubliners,0.1,6.517312160735382,-0.0013285012404734842,0.6323145514496633,1,102.38967146189331,0.3286614121003644,1.3856678091526002,7.776523610019483
dubliners,Dubliners,1.0,6.517381512802062,-0.00135016210694211,0.6330038485834617,1,102.46677379840497,0.33348285330882327,1.3877543988326295,7.862434474639033
dubliners,Dubliners,10.0,6.517437408351043,-0.001364899097528044,0.6335448176513673,1,102.53668720904344,0.3369053604484712,1.3895270558212143,7.941954877517661
dubliners,Dubliners,100.0,6.5174894421934875,-0.0013776380380637332,0.6340263395275416,1,102.60456405638918,0.340311901143968,1.3911918760486313,8.019294275632834
the_iliad,The Iliad,0.01,6.8804239183336975,0.041475640420214926,0.3550633366601156,1,135.17903528953306,0.050000000254746796,1.366441854166466,8.837598562768761
the_iliad,The Iliad,0.1,6.87809158265459,0.00038185232342388686,0.37426737489109707,1,144.96720059161447,0.4520555613214515,1.4225607499485664,10.537251939248678
the_iliad,The Iliad,1.0,6.878081399898542,0.0003141763127353092,0.3758586486448907,1,145.65732890530788,0.4671214206540302,1.429434388648647,10.986600564198344
the_iliad,The Iliad,10.0,6.878062466944764,0.0002743432542522406,0.37681135915383257,1,145.67078264648174,0.485391126931261,1.4351965086135294,11.432783786699467
the_iliad,The Iliad,100.0,6.878055161643667,0.00020385185414736884,0.37666989135302553,1,145.61621135198612,0.4978487940874696,1.4395394593636315,11.812625290932381
democracy_in_america,Democracy in America,0.01,6.310539469479433,0.0004316605257476125,0.3508612920041408,1,117.98740232720965,1.039135249550734,1.3805759739923897,6.032103679433636
democracy_in_america,Democracy in America,0.1,6.348338698594432,0.22840618734048337,0.650016932237937,1,1184.6074787868351,1.8204167626054115,5.9995712938316075,0.001596080137793443
democracy_in_america,Democracy in America,1.0,6.312225320061417,0.0010973269895051263,0.3536511469562301,1,120.30670833114331,1.8008383189805885,1.0014011676303292,0.0016311445841717396
democracy_in_america,Democracy in America,10.0,6.311823221136617,0.0008120852405388568,0.34419159473548055,1,117.0365412740175,1.8137722958947158,1.0014011676303292,0.0018691411403732243
democracy_in_america,Democracy in America,100.0,6.330574119788491,0.004197634139942064,0.3749374233910905,1,193.78587514243873,1.7281255526255639,5.999607675873522,0.0016257717585986917
origin_of_species,Origin of Species,0.01,6.373698730785917,-5.556200972622882e-05,0.31006688371604096,1,101.34861757811832,1.1356590094525723,1.5368615770861696,13.531064524390725
