slug,name,V,token_count,zm_c,hybrid_full_nll,softk_full_nll,delta_hybrid_minus_softk,winner,head_bregman_winner,anthology_like,softk_lambda,softk_transition_fraction,hybrid_transition_fraction,hybrid_step2_help,softk_step2_help,moe_full_nll,zm_full_nll
aesops_fables,Aesop's Fables,4394,41594,1.1777343713253736,6.224764153975742,6.2105248148329,0.0142393391428417,softk,exp,1,0.0003,0.382776849396092,0.5213892875989103,0,0,6.22365870317628,6.221750903154405
arabian_nights_vol1,Arabian Nights (Vol 1),13883,176048,2.0320623317882442,6.686076781564693,6.687238852603511,-0.0011620710388182687,hybrid,exp,1,0.001,0.5161286627925517,0.5214217199336368,1,1,6.68667142363636,6.685473211034842
canterbury_tales,Canterbury Tales,17653,281189,4.098414538954239,6.80553766782978,6.804511087275841,0.0010265805539386719,softk,exp,0,0.001,0.5215077977805214,0.521422291276715,0,0,6.812278605191087,6.803568686885705
collected_poe,Collected Poe,9312,91801,0.9068177495613967,6.6665368211656375,6.666897859265657,-0.0003610381000198615,hybrid,exp,1,0.01,0.5214406229533761,0.5214478173519048,0,0,6.666311949576639,6.664039209234085
complete_sherlock_holmes,Complete Sherlock Holmes,7817,105863,4.42103330500436,6.45021444511238,6.4503320624436045,-0.00011761733122472862,hybrid,exp,0,0.003,0.522021870053256,0.5213096153322969,0,1,6.456988589888799,6.447377412310836
critique_of_pure_reason,Critique of Pure Reason,6537,209795,3.093905245724229,5.952708387338326,5.952624798417938,8.358892038806687e-05,softk,exp,0,0.0003,0.49097770316874606,0.5217551597318995,1,0,5.9564279569814556,5.967962608254694
decline_and_fall_vol1,Decline and Fall Vol 1,15983,262698,0.016783796087294297,6.716130962295418,6.716133732250165,-2.7699547464621332e-06,hybrid,IS,0,0.003,0.5318233654950671,0.5215896688817686,1,0,6.721115289041511,6.7211701084082005
democracy_in_america,Democracy in America,9301,187753,0.56276759446838,6.311102048600023,6.31167466037483,-0.0005726117748077186,hybrid,IS,0,0.001,0.5216183712582434,0.5216436066844128,0,0,6.311806433399232,6.314583858753442
don_quixote,Don Quixote,15574,433304,4.877938350160374,6.494656755289804,6.496682959118088,-0.00202620382828389,hybrid,exp,0,0.0003,0.58510176710674,0.4408290169202866,0,0,6.49630277625205,6.496279797495423
dubliners,Dubliners,7157,69264,2.8492425466578837,6.517973353962186,6.513706937661755,0.0042664163004308975,softk,exp,0,0.001,0.521368464841855,0.5214046541436823,1,1,6.521278476962053,6.5140093492139535
emile,Emile,11174,252843,5.4056284417734535,6.4874511909906785,6.4877557203517835,-0.0003045293611050326,hybrid,exp,0,0.01,0.5241020331994042,0.5214334385094476,0,0,6.489192155925541,6.487121711325544
federalist_papers,Federalist Papers,8617,192302,0.8724450350813867,6.197496760172889,6.199436509041867,-0.001939748868977631,hybrid,IS,1,0.003,0.5383979234168087,0.5216897152469673,0,0,6.196934223897512,6.199416070500408
grimms_fairy_tales,Grimm's Fairy Tales,4746,102114,4.423356622877675,6.073248580043454,6.076975692836733,-0.003727112793279197,hybrid,exp,1,0.0001,0.3196067353506597,0.5504875765704536,0,0,6.077646160664019,6.088523680073925
jane_eyre,Jane Eyre,12541,189604,3.7491110928725306,6.640389852546312,6.642804462880847,-0.002414610334535716,hybrid,exp,0,0.0003,0.5153942825477097,0.46790360632170364,0,0,6.649150527735459,6.639198902037371
king_james_bible,King James Bible,12555,792180,3.4237734057117954,6.013060144735561,6.01575483800521,-0.0026946932696496617,hybrid,IS,1,0.0003,0.37838726941702666,0.5238231642882893,1,1,6.017965050637185,6.0351662551816245
les_miserables,Les Miserables,22677,575614,2.249583725382881,6.800545450851442,6.801479225051979,-0.0009337742005373073,hybrid,IS,0,0.03,0.5225604883161357,0.37797416164105513,0,0,6.800381977779332,6.802444035183806
moby_dick,Moby Dick,16956,219054,2.143819142211084,6.9463724823663995,6.944063683425718,0.002308798940681811,softk,exp,0,0.0001,0.4109874960110488,0.5214222093888482,0,0,6.94910570072398,6.947351041367365
origin_of_species,Origin of Species,6887,156024,2.386450227071779,6.374192218717613,6.374469518753799,-0.0002773000361866451,hybrid,IS,0,0.003,0.5215982229241684,0.52310454063022,0,0,6.374942420183649,6.383434243183849
pride_and_prejudice,Pride and Prejudice,6729,128565,8.00033161540053,6.33424807693846,6.330049079116456,0.004198997822003392,softk,exp,0,0.0003,0.40801666558435146,0.5496765546156401,0,0,6.338649310626814,6.332858287664597
principia_ethica,Principia Ethica,3814,98676,5.501829146601429,5.908940877212676,5.9103424858319995,-0.001401608619323369,hybrid,IS,0,0.0003,0.4722342357139657,0.5193146193176573,1,0,5.913923711681961,5.917476589984626
shakespeare,Complete Works of Shakespeare,24458,988670,9.642911608817114,6.8819573225471276,6.881957122269535,2.0027759273233414e-07,softk,IS,0,0.0001,0.5380944862566106,0.45658508721633645,1,0,6.885901469512454,6.886706263261564
the_iliad,The Iliad,12300,194969,0.7287829686158407,6.879237846843119,6.878816219173085,0.00042162767003439683,softk,IS,0,0.001,0.5358059582241687,0.5223560775098108,1,0,6.883404881675385,6.890807298983179
ulysses,Ulysses,28990,268854,1.743818125868228,7.354968757950881,7.335024268866188,0.019944489084693373,softk,exp,0,0.0001,0.7849857546133291,0.5214364833327407,1,0,7.360040275685457,7.351230348257138
war_and_peace,War and Peace,17445,583368,3.788778837227989,6.6777693875196755,6.678553838755405,-0.0007844512357291222,hybrid,IS,0,0.03,0.5221226664131904,0.44364222925298935,0,0,6.678027667860953,6.685806986839008
wealth_of_nations,Wealth of Nations,9478,380080,1.785084122060589,6.154172801848215,6.155519635105786,-0.0013468332575703457,hybrid,IS,0,0.0001,0.37462937662274515,0.44322703214183956,0,0,6.161544629142846,6.175560092867926
