slug,corpus,token_count,vocabulary_size,selected_lambda,k,w,top100_hybrid,top100_moe,top100_softk,full_zipf,full_zm,full_moe,full_softk,full_hybrid,hybrid_minus_moe,hybrid_minus_zm,hybrid_minus_softk,hybrid_minus_zipf,canonical_hybrid_vs_softk_winner,full_step2_help,full_step2_gain,full_step2_expression,canonical_source
shakespeare,Complete Works of Shakespeare,988670,24458,0.003,100.84877108709779,1.1609077739126556,4.895062917237988,4.907014126684411,4.8782026584963,6.987294124701005,6.886706263261564,6.885901469512454,6.882154461847067,6.8819573225471276,-0.003944146965326745,-0.004748940714436323,-0.000197139299939586,-0.10533680215387786,hybrid,True,0.002213244238036538,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
war_and_peace,War and Peace,583368,17445,0.003,76.1593478221288,1.1479765491728544,4.640378491519085,4.631805028997445,4.64030786220721,6.728314623077691,6.685806986839008,6.678027667860953,6.678678865152861,6.6777693875196755,-0.00025828034127783894,-0.008037599319332678,-0.0009094776331854959,-0.05054523555801538,hybrid,False,-0.0011549522758455,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
moby_dick,Moby Dick,219054,16956,0.0003,160.42054504898175,3.5405186185892603,4.667281306663952,4.677216267807484,4.680034866071619,6.963919141212996,6.947351041367365,6.94910570072398,6.948129203324875,6.9463724823663995,-0.002733218357580114,-0.00097855900096544,-0.001756720958475455,-0.01754665884659623,hybrid,False,-0.0007161266297429081,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,0.0003,58.22834961228874,0.7756586739616045,4.432920455478925,4.420783044964394,4.448872099595951,6.080495234984778,6.0351662551816245,6.017965050637185,6.016425262838996,6.013060144735561,-0.004904905901624623,-0.02210611044606381,-0.003365118103435094,-0.06743509024921757,hybrid,True,0.10868980546889867,"eml[neg[x],add[x,x]]",results/zipf_hybrid_headtail_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,0.001,113.05862530305733,1.9484536618896693,4.315933245281401,4.2920872626111235,4.318818195630321,6.207760950769132,6.199416070500408,6.196934223897512,6.199844992900314,6.197496760172889,0.0005625362753773899,-0.0019193103275192414,-0.0023482327274244597,-0.010264190596243061,hybrid,False,-0.0005136686368169274,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,0.003,105.62567522156733,1.2237583995487253,4.544968350031409,4.548900496877882,4.557413079365721,6.128784795037904,6.088523680073925,6.077646160664019,6.077603811556091,6.073248580043454,-0.004397580620564945,-0.015275100030470945,-0.004355231512636948,-0.05553621499445072,hybrid,False,-0.0009416000894990617,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
don_quixote,Don Quixote,433304,15574,0.001,70.49008823869741,1.134331294315995,4.631806265082679,4.64031125966066,4.622130935768978,6.5561671213110975,6.496279797495423,6.49630277625205,6.496925073059477,6.494656755289804,-0.0016460209622461974,-0.0016230422056189298,-0.002268317769672734,-0.06151036602129345,hybrid,False,-0.000531447674768537,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,0.03,101.35737445537397,1.2441272031625092,4.710099315487704,4.722742261909364,4.704670236458209,6.413204348135392,6.332858287664597,6.338649310626814,6.336783021894429,6.334130484096475,-0.004518826530339304,0.0012721964318780365,-0.0026525377979540465,-0.07907386403891703,hybrid,False,-0.001286489275031305,"eml[sub[x,1],eml[x,1]]",results/zipf_hybrid_headtail_splitfit/summary.json
canterbury_tales,Canterbury Tales,281189,17653,0.003,163.8271346203903,1.0001812424452872,4.692010580976977,4.718763879693407,4.690907545644896,6.850582452091423,6.803568686885705,6.812278605191087,6.806097442244247,6.80553766782978,-0.006740937361306543,0.0019689809440750494,-0.0005597744144667516,-0.045044784261643045,hybrid,False,-0.00011592586961600704,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,0.0001,144.5407051596237,3.0517662866880637,4.576162215028725,4.580145016806261,4.580894323970699,6.706085717676725,6.685473211034842,6.68667142363636,6.687754725961309,6.686076781564693,-0.0005946420716673728,0.0006035705298508276,-0.001677944396615949,-0.02000893611203214,hybrid,True,0.001157123982432784,"sub[pow[x,x],sqrt[x]]",results/zipf_hybrid_headtail_splitfit/summary.json
