slug,corpus,canonical_hybrid_full_nll,canonical_softk_full_nll,canonical_delta_hybrid_minus_softk,canonical_winner,analysis_hybrid_full_nll,analysis_softk_full_nll,analysis_delta_hybrid_minus_softk,analysis_winner,softk_comparator_delta_analysis_minus_canonical,analysis_softk_matched_source_group,analysis_source_verdict,canonical_softk_generation,analysis_softk_generation,notes
aesops_fables,Aesop's Fables,6.224764153975742,6.22074737680541,0.004016777170331665,softk,6.224764153975742,6.2105248148329,0.0142393391428417,softk,-0.010222561972510036,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
arabian_nights_vol1,Arabian Nights (Vol 1),6.686076781564693,6.687754725961309,-0.001677944396615949,hybrid,6.686076781564693,6.687238852603511,-0.0011620710388182687,hybrid,-0.0005158733577976804,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
canterbury_tales,Canterbury Tales,6.80553766782978,6.806097442244247,-0.0005597744144667516,hybrid,6.80553766782978,6.804511087275841,0.0010265805539386719,softk,-0.0015863549684054234,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
collected_poe,Collected Poe,6.6665368211656375,6.671484550103681,-0.004947728938043738,hybrid,6.6665368211656375,6.666897859265657,-0.0003610381000198615,hybrid,-0.004586690838023877,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
complete_sherlock_holmes,Complete Sherlock Holmes,6.45021444511238,6.453747597117771,-0.0035331520053913934,hybrid,6.45021444511238,6.4503320624436045,-0.00011761733122472862,hybrid,-0.003415534674166665,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
critique_of_pure_reason,Critique of Pure Reason,5.952708387338326,5.952965161503562,-0.00025677416523617325,hybrid,5.952708387338326,5.952624798417938,8.358892038806687e-05,softk,-0.0003403630856242401,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
decline_and_fall_vol1,Decline and Fall Vol 1,6.716130962295418,6.717869269968219,-0.0017383076728005875,hybrid,6.716130962295418,6.716133732250165,-2.7699547464621332e-06,hybrid,-0.0017355377180541254,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
democracy_in_america,Democracy in America,6.311102048600023,6.311611212604429,-0.0005091640044065926,hybrid,6.311102048600023,6.31167466037483,-0.0005726117748077186,hybrid,6.344777040112604e-05,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
don_quixote,Don Quixote,6.494656755289804,6.496925073059477,-0.002268317769672734,hybrid,6.494656755289804,6.496682959118088,-0.00202620382828389,hybrid,-0.000242113941388844,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
dubliners,Dubliners,6.518753805900212,6.517051665375395,0.0017021405248165422,softk,6.517973353962186,6.513706937661755,0.0042664163004308975,softk,-0.0033447277136398057,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
emile,Emile,6.4874511909906785,6.489722409140335,-0.0022712181496569173,hybrid,6.4874511909906785,6.4877557203517835,-0.0003045293611050326,hybrid,-0.0019666887885518847,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
federalist_papers,Federalist Papers,6.197496760172889,6.199844992900314,-0.0023482327274244597,hybrid,6.197496760172889,6.199436509041867,-0.001939748868977631,hybrid,-0.00040848385844682866,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
grimms_fairy_tales,Grimm's Fairy Tales,6.073248580043454,6.077603811556091,-0.004355231512636948,hybrid,6.073248580043454,6.076975692836733,-0.003727112793279197,hybrid,-0.0006281187193577509,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
jane_eyre,Jane Eyre,6.640389852546312,6.642788574812209,-0.002398722265897213,hybrid,6.640389852546312,6.642804462880847,-0.002414610334535716,hybrid,1.5888068638503228e-05,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
king_james_bible,King James Bible,6.013060144735561,6.016425262838996,-0.003365118103435094,hybrid,6.013060144735561,6.01575483800521,-0.0026946932696496617,hybrid,-0.0006704248337854324,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
les_miserables,Les Miserables,6.800545450851442,6.801859574689947,-0.0013141238385045995,hybrid,6.800545450851442,6.801479225051979,-0.0009337742005373073,hybrid,-0.00038034963796729215,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
moby_dick,Moby Dick,6.9463724823663995,6.948129203324875,-0.001756720958475455,hybrid,6.9463724823663995,6.944063683425718,0.002308798940681811,softk,-0.004065519899157266,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
origin_of_species,Origin of Species,6.374192218717613,6.375321709061686,-0.0011294903440735027,hybrid,6.374192218717613,6.374469518753799,-0.0002773000361866451,hybrid,-0.0008521903078868576,legacy_derivative_branch,known_legacy_pre_splitfit_comparator,splitfit_current,legacy_pre_splitfit_derivative_branch,Different comparator generations explain the 22/25 canonical versus 16/25 legacy hybrid-win counts.
