slug,analysis_softk_full_nll,matched_source_group,current_7a_v4_softk,softk_splitfit,softkw_repeated_softk,legacy_hybrid_headtail_softk,delta_analysis_minus_current_7a,delta_analysis_minus_splitfit,verdict
aesops_fables,6.2105248148329,legacy_derivative_branch,6.22074737680541,6.22074737680541,6.22074737680541,6.2105248148329,-0.01022256197251,-0.01022256197251,known_legacy_pre_splitfit_comparator
arabian_nights_vol1,6.68723885260351,legacy_derivative_branch,6.68775472596131,6.68775472596131,6.68775472596131,6.68723885260351,-0.00051587335779768,-0.00051587335779768,known_legacy_pre_splitfit_comparator
canterbury_tales,6.80451108727584,legacy_derivative_branch,6.80609744224425,6.80609744224425,6.80609744224425,6.80451108727584,-0.00158635496840542,-0.00158635496840542,known_legacy_pre_splitfit_comparator
collected_poe,6.66689785926566,legacy_derivative_branch,6.67148455010368,6.67148455010368,6.67148455010368,6.66689785926566,-0.00458669083802,-0.00458669083802,known_legacy_pre_splitfit_comparator
complete_sherlock_holmes,6.45033206244360,legacy_derivative_branch,6.45374759711777,6.45374759711777,6.45374759711777,6.45033206244360,-0.00341553467417,-0.00341553467417,known_legacy_pre_splitfit_comparator
critique_of_pure_reason,5.95262479841794,legacy_derivative_branch,5.95290862285357,5.95296516150356,5.95290862285357,5.95262479841794,-0.000283824435631,-0.000340363085624,known_legacy_pre_splitfit_comparator
decline_and_fall_vol1,6.71613373225016,legacy_derivative_branch,6.71786926996822,6.71786926996822,6.71786926996822,6.71613373225016,-0.00173553771805,-0.00173553771805,known_legacy_pre_splitfit_comparator
democracy_in_america,6.31167466037483,legacy_derivative_branch,6.31161121260443,6.31161121260443,6.31161121260443,6.31167466037483,0.0000634477704011,0.0000634477704011,known_legacy_pre_splitfit_comparator
don_quixote,6.49668295911809,legacy_derivative_branch,6.49692507305948,6.49692507305948,6.49692507305948,6.49668295911809,-0.000242113941389,-0.000242113941389,known_legacy_pre_splitfit_comparator
dubliners,6.51370693766176,legacy_derivative_branch,6.51705166537540,6.51705166537540,6.51705166537540,6.51370693766176,-0.00334472771364,-0.00334472771364,known_legacy_pre_splitfit_comparator
emile,6.48775572035178,legacy_derivative_branch,6.48972240914034,6.48972240914034,6.48972240914034,6.48775572035178,-0.00196668878855,-0.00196668878855,known_legacy_pre_splitfit_comparator
federalist_papers,6.19943650904187,legacy_derivative_branch,6.19984499290031,6.19984499290031,6.19984499290031,6.19943650904187,-0.000408483858447,-0.000408483858447,known_legacy_pre_splitfit_comparator
grimms_fairy_tales,6.07697569283673,legacy_derivative_branch,6.07760381155609,6.07760381155609,6.07760381155609,6.07697569283673,-0.000628118719358,-0.000628118719358,known_legacy_pre_splitfit_comparator
jane_eyre,6.64280446288085,legacy_derivative_branch,6.64343323476121,6.64278857481221,6.64343323476121,6.64280446288085,-0.000628771880368,0.0000158880686385,known_legacy_pre_splitfit_comparator
king_james_bible,6.01575483800521,legacy_derivative_branch,6.01601573604484,6.01642526283900,6.01601573604484,6.01575483800521,-0.000260898039632,-0.000670424833785,known_legacy_pre_splitfit_comparator
les_miserables,6.80147922505198,legacy_derivative_branch,6.80185957468995,6.80185957468995,6.80185957468995,6.80147922505198,-0.000380349637967,-0.000380349637967,known_legacy_pre_splitfit_comparator
moby_dick,6.94406368342572,legacy_derivative_branch,6.94812920332487,6.94812920332487,6.94812920332487,6.94406368342572,-0.00406551989916,-0.00406551989916,known_legacy_pre_splitfit_comparator
origin_of_species,6.37446951875380,legacy_derivative_branch,6.37532170906169,6.37532170906169,6.37532170906169,6.37446951875380,-0.000852190307887,-0.000852190307887,known_legacy_pre_splitfit_comparator
pride_and_prejudice,6.33004907911646,legacy_derivative_branch,6.33678302189443,6.33678302189443,6.33678302189443,6.33004907911646,-0.00673394277797,-0.00673394277797,known_legacy_pre_splitfit_comparator
principia_ethica,5.91034248583200,legacy_derivative_branch,5.91068217315341,5.91068217315341,5.91068217315341,5.91034248583200,-0.000339687321411,-0.000339687321411,known_legacy_pre_splitfit_comparator
shakespeare,6.88195712226953,legacy_derivative_branch,6.88215446184707,6.88215446184707,6.88215446184707,6.88195712226953,-0.000197339577532,-0.000197339577532,known_legacy_pre_splitfit_comparator
the_iliad,6.87881621917308,legacy_derivative_branch,6.87969343808194,6.87969343808194,6.87969343808194,6.87881621917308,-0.000877218908860,-0.000877218908860,known_legacy_pre_splitfit_comparator
ulysses,7.33502426886619,legacy_derivative_branch,7.35370149417488,7.35370149417488,7.35370149417488,7.33502426886619,-0.0186772253087,-0.0186772253087,known_legacy_pre_splitfit_comparator
war_and_peace,6.67855383875540,legacy_derivative_branch,6.67867886515286,6.67867886515286,6.67867886515286,6.67855383875540,-0.000125026397456,-0.000125026397456,known_legacy_pre_splitfit_comparator
wealth_of_nations,6.15551963510579,legacy_derivative_branch,6.15561176774741,6.15561176774741,6.15561176774741,6.15551963510579,-0.0000921326416226,-0.0000921326416226,known_legacy_pre_splitfit_comparator
