corpus,V,n_labels,coverage_R,k_lab,w_lab,labfit_rmse,k_gate,w_gate,gate_vs_pi_rmse,log_k_ratio,w_ratio,k_pos,n_closed_types,winner_full,helps_full,rmse_full,winner_content,helps_content,rmse_content,winner_closed,helps_closed,rmse_closed
Aesop's Fables,4394,1000,1176,66.93562470953049,1.9555997776191483,0.029022459316535982,209.23104367329384,0.7344009526763349,0.19822505869826218,1.1397077812298477,0.37553744947262874,167.0,159,exp,False,0.16735322718798457,exp,False,0.16974753790477082,xpow,True,0.1628820559074791
Collected Poe,9312,997,1172,78.81799221768054,1.390547665176402,0.024586937418306982,109.44873159574392,3.2394745644414864,0.18677676101551832,0.32831493657289057,2.3296393540242533,197.0,139,exp,False,0.17261850340407905,exp,False,0.17041658889674174,xpow,True,0.20146981653273027
Complete Sherlock Holmes,7817,1000,1176,73.95659497695954,1.6823943223202111,0.02952958585342428,147.95301378220583,2.90161588550484,0.1947298390807896,0.6934163821654303,1.7246942925384967,179.0,150,exp,False,0.16734915381810556,exp,False,0.1691360886141615,xpow,True,0.13083988441404124
Critique of Pure Reason,6537,1000,1176,50.75974705668752,2.0846756600423877,0.02787791480784499,339.9821387997656,0.764383098962179,0.32826124391650513,1.9017894235774502,0.36666763737560826,137.0,132,exp,False,0.17572939276768532,exp,False,0.1669449389666776,xpow,True,0.1959497413226124
Democracy in America,9301,1000,1176,61.32327728717205,1.7809163162864763,0.03379592390149628,202.443523167002,3.1984308930826675,0.2698974625687171,1.1943014514825556,1.7959467628169965,145.0,132,is,True,0.1923744857913583,is,True,0.16987350351979874,xpow,True,0.2146360880704455
Dubliners,7157,999,1175,60.942865603906135,1.9955627145564008,0.03271641240205121,522.3604258171179,0.4255221097116447,0.47228688372815253,2.1484210247135813,0.21323414524019868,153.0,152,exp,False,0.17478334459202066,exp,False,0.1714838135129788,xpow,True,0.13991881936852016
Emile,11174,1000,1176,79.4788857576184,1.432908066595039,0.025696327500418874,292.5062061672901,2.6198479785059336,0.30914140402060364,1.3029944856816946,1.8283433805571152,197.0,139,exp,False,0.17876762956853362,is,True,0.17214868480359563,xpow,True,0.18894586430935714
Federalist Papers,8617,1000,1176,67.73132319561329,1.4515576464513658,0.03056450402989847,208.760943341056,3.0844813201684413,0.27724984751572496,1.1256410361818843,2.124945797164237,173.0,128,is,True,0.19477728221189017,is,True,0.16797626692520223,xpow,True,0.24720646270706273
Grimm's Fairy Tales,4746,1000,1176,53.18844804825693,2.075374256877122,0.026892311742924273,94.19115163606668,3.7772873911919547,0.17959443344189283,0.5714850146750722,1.8200511925380403,143.0,144,exp,False,0.16399012283893097,exp,False,0.1597086551435128,xpow,True,0.14892347614347504
Principia Ethica,3814,1000,1176,51.16081230631907,1.941381312900004,0.01974395364545868,45.43134641098472,3.382917578427281,0.09586219926617616,-0.11877153796907582,1.7425312358518243,123.0,125,is,True,0.1855314266240388,is,True,0.17356619831542094,xpow,True,0.21224618979274754
