corpus,year,translated,s_over_V,w_gate,zm_c,zm_b,hapax
Canterbury Tales,1400,False,0.011256637008939212,3.1733354287062143,15.250535352832612,1.2564799906856905,0.445759927491078
Complete Works of Shakespeare,1600,False,0.012448276755118351,2.646616716431199,244.84484777363113,1.7243760149010967,0.3593916101071224
King James Bible,1611,False,0.013005557905381415,2.5297298828594363,171.38167664978175,1.8964020832729542,0.3131819992035046
Wealth of Nations,1776,False,0.013123511782309385,3.469857816519729,180.40850551892163,1.8631975930125027,0.3144123232749525
Decline and Fall Vol 1,1776,False,0.011350698184359548,2.8939944200648204,211.07196916272378,1.4811860545491393,0.4257023087029969
Federalist Papers,1788,False,0.012725794000236691,3.0844813201684413,109.04140681413556,1.5546985994629223,0.34223047464314726
Pride and Prejudice,1813,False,0.011769483315127512,3.0555412059880673,34.11942084275591,1.455508538793374,0.3860900579580918
Democracy in America,1838,True,0.012481270353385178,3.1984308930826675,110.90450314378926,1.520609707592779,0.3601763251263305
Collected Poe,1845,False,0.010841597459150119,3.2394745644414864,6.957528471368607,1.1335308814516538,0.46713917525773196
Jane Eyre,1847,False,0.01182576381331139,2.977627963891344,16.307585257849095,1.2575444714931578,0.4123275655848816
Moby Dick,1851,False,0.011360842206701159,2.3984910164998943,10.497932011426359,1.1821698837630732,0.43483132814343006
Origin of Species,1859,False,0.013028676073751346,3.8874895750020575,132.51415058330616,1.6889031865945188,0.3208944387977349
Critique of Pure Reason,1855,True,0.011122757599426665,0.764383098962179,57.9583035946641,1.6898662237513569,0.38442710723573503
Don Quixote,1885,True,0.012381746058363305,2.6603760597471293,65.66394188576379,1.484156070744384,0.3669577500963144
Grimm's Fairy Tales,1884,True,0.012218999606976817,3.7772873911919547,45.98251274197185,1.5802738767595033,0.3579856721449642
Les Miserables,1887,True,0.01222043061006782,2.693747136427065,182.47253316947916,1.525726032575081,0.3787538034131499
Complete Sherlock Holmes,1892,False,0.011009636827386296,2.90161588550484,10.294479612917323,1.25327413828657,0.44160163745682485
The Iliad,1898,True,0.01190747116085123,4.166268337515849,137.39605844225042,1.4879896207541863,0.4040650406504065
Arabian Nights (Vol 1),1898,True,0.010224837488600723,3.3231848346838904,6.42540318643635,1.1880559525379195,0.49701073255060146
Principia Ethica,1903,False,0.012101697343177965,3.382917578427281,78.7645572814913,1.8145813303243723,0.35841636077608807
War and Peace,1904,True,0.01302323248751495,2.7104365107531745,209.1315494553841,1.6808536990412744,0.33069647463456575
Emile,1911,True,0.011820222408638788,2.6198479785059336,51.48067915381241,1.4640963553063011,0.3884016466797924
Aesop's Fables,1912,True,0.009959976557894533,0.7344009526763349,3.68769267556447,1.1465094546222228,0.4710969503868912
Dubliners,1914,False,0.009134957513742449,0.4255221097116447,3.263282326595508,1.13717144659645,0.49741511806622885
Ulysses,1922,False,0.009453421894740634,1.996492101113144,0.6324152122192379,1.0451073572679233,0.5401517764746464
