corpus,heaps_beta,zm_b
Complete Works of Shakespeare,0.4303921625947586,1.7243760149010967
War and Peace,0.42828110913753425,1.6808536990412744
Moby Dick,0.5616271129398482,1.1821698837630732
King James Bible,0.3910611084918743,1.8964020832729542
Federalist Papers,0.45843755305800493,1.5546985994629223
Grimm's Fairy Tales,0.4659773669454661,1.5802738767595033
Don Quixote,0.4722333835269564,1.484156070744384
Pride and Prejudice,0.49031867295341186,1.455508538793374
Canterbury Tales,0.5445473646636357,1.2564799906856905
Arabian Nights (Vol 1),0.5706335439909423,1.1880559525379195
Aesop's Fables,0.5814871862738148,1.1465094546222228
Complete Sherlock Holmes,0.5485453984009508,1.25327413828657
Jane Eyre,0.5370943275070197,1.2575444714931578
Dubliners,0.5999302402949077,1.13717144659645
The Iliad,0.4879655872822615,1.4879896207541863
Democracy in America,0.4703248866371211,1.520609707592779
Origin of Species,0.4459655612652834,1.6889031865945188
Wealth of Nations,0.4063114426773277,1.8631975930125027
Les Miserables,0.47097005647926216,1.525726032575081
Decline and Fall Vol 1,0.49612788196951,1.4811860545491393
Emile,0.4758286173150172,1.4640963553063011
Ulysses,0.6261303780216331,1.0451073572679233
Collected Poe,0.577548371194249,1.1335308814516538
Principia Ethica,0.41683690079362773,1.8145813303243723
Critique of Pure Reason,0.4578034458037142,1.6898662237513569
