mixture,m,V,N_avg,rmse,k,w_gate,w_tail,s,s_over_V,k_over_Navg,k_hit_upper
critique_of_pure_reason,1,6537,6537.0,0.10291,339.97,0.7642,0.2139,72.71,0.01112,0.052,False
decline_and_fall_vol1,1,15983,15983.0,0.1093,294.06,2.894,0.6169,181.42,0.01135,0.0184,False
democracy_in_america,1,9301,9301.0,0.1124,202.4,3.1987,0.5736,116.09,0.01248,0.0218,False
don_quixote,1,15574,15574.0,0.11256,358.87,2.6603,0.5373,192.83,0.01238,0.023,False
emile,1,11174,11174.0,0.10817,292.48,2.6199,0.4516,132.08,0.01182,0.0262,False
jane_eyre,1,12541,12541.0,0.11482,221.77,2.9778,0.6687,148.31,0.01183,0.0177,False
les_miserables,1,22677,22677.0,0.1124,462.12,2.6938,0.5997,277.12,0.01222,0.0204,False
moby_dick,1,16956,16956.0,0.1161,423.38,2.3985,0.455,192.63,0.01136,0.025,False
origin_of_species,1,6887,6887.0,0.10936,132.34,3.8874,0.678,89.73,0.01303,0.0192,False
pride_and_prejudice,1,6729,6729.0,0.10812,188.74,3.0556,0.4196,79.2,0.01177,0.028,False
the_iliad,1,12300,12300.0,0.10842,88.4,4.1663,1.6569,146.46,0.01191,0.0072,False
ulysses,1,28990,28990.0,0.10796,613.93,1.9965,0.4464,274.05,0.00945,0.0212,False
war_and_peace,1,17445,17445.0,0.11595,399.29,2.7106,0.569,227.19,0.01302,0.0229,False
wealth_of_nations,1,9478,9478.0,0.10973,176.16,3.47,0.7061,124.38,0.01312,0.0186,False
mix2_a,2,11991,8015.0,0.11231,331.16,2.6642,0.4647,153.89,0.01283,0.0413,False
mix2_b,2,21412,14065.0,0.11453,556.23,2.3892,0.4663,259.36,0.01211,0.0395,False
mix2_c,2,25782,16077.5,0.11517,542.52,2.6258,0.6029,327.08,0.01269,0.0337,False
mix2_d,2,19683,11991.0,0.11593,396.68,2.8325,0.6532,259.13,0.01316,0.0331,False
mix2_e,2,34167,20645.0,0.10667,559.9,2.2524,0.6253,350.1,0.01025,0.0271,False
mix2_f,2,18418,11230.5,0.11195,429.25,2.6984,0.5518,236.88,0.01286,0.0382,False
mix2_g,2,22301,14262.0,0.11014,437.07,2.7196,0.5979,261.34,0.01172,0.0306,False
mix4_a,4,24665,11040.0,0.11587,601.4,2.5029,0.524,315.16,0.01278,0.0545,False
mix4_b,4,32785,14034.2,0.12126,670.52,2.6657,0.6418,430.37,0.01313,0.0478,False
mix4_c,4,40369,15937.8,0.10498,520.22,2.8789,0.8707,452.96,0.01122,0.0326,False
mix7_a,7,39282,13394.3,0.12333,864.71,2.5413,0.5987,517.7,0.01318,0.0646,False
mix7_b,7,49200,14116.0,0.10484,755.39,2.7002,0.7421,560.56,0.01139,0.0535,False
mix14_a,14,63541,13755.1,0.11212,1092.16,2.6073,0.6962,760.33,0.01197,0.0794,False
