corpus,rep,V_synth,rmse,k,w_gate,w_tail,s_synth,k_hit_upper
Aesop's Fables,0,4476,0.11342,2500.05,0.05,10.0,25000.52,False
Aesop's Fables,1,4330,0.11538,200.19,0.825,0.2261,45.26,False
Aesop's Fables,2,4302,0.11258,500.6,1.1001,0.0753,37.67,False
Arabian Nights (Vol 1),0,13826,0.11772,1519.1,0.9599,0.0834,126.69,False
Arabian Nights (Vol 1),1,13945,0.11819,1737.95,0.8827,0.0729,126.71,False
Arabian Nights (Vol 1),2,14098,0.11742,1668.23,0.914,0.0768,128.16,False
Canterbury Tales,0,17517,0.12341,1865.67,0.982,0.099,184.69,False
Canterbury Tales,1,17700,0.12176,1791.0,1.0185,0.1039,186.09,False
Canterbury Tales,2,17732,0.12149,1965.83,0.9584,0.0938,184.33,False
Collected Poe,0,9419,0.12605,365.65,2.2254,0.2967,108.5,False
Collected Poe,1,9393,0.12123,477.09,1.9369,0.2211,105.47,False
Collected Poe,2,9293,0.12608,516.52,1.7537,0.1983,102.45,False
Complete Sherlock Holmes,0,7879,0.11767,571.01,1.5213,0.1503,85.82,False
Complete Sherlock Holmes,1,7905,0.11731,483.93,1.6038,0.178,86.13,False
Complete Sherlock Holmes,2,7857,0.11646,513.43,1.635,0.1649,84.64,False
Complete Works of Shakespeare,0,24475,0.13049,1640.19,0.6001,2.8011,4594.34,False
Complete Works of Shakespeare,1,24437,0.12902,1546.17,0.6788,3.0403,4700.77,False
Complete Works of Shakespeare,2,24586,0.13095,1614.1,0.6035,2.8453,4592.61,False
Critique of Pure Reason,0,6547,0.09745,4572.38,0.05,9.8958,45247.44,False
Critique of Pure Reason,1,6657,0.09579,4640.92,0.05,9.8748,45828.22,False
Critique of Pure Reason,2,6559,0.09917,4542.73,0.05,10.0,45427.32,False
Decline and Fall Vol 1,0,15960,0.13023,2489.23,0.8049,0.0724,180.1,False
Decline and Fall Vol 1,1,15924,0.1287,2317.47,0.8464,0.0788,182.65,False
Decline and Fall Vol 1,2,16057,0.12914,2186.15,0.877,0.0843,184.29,False
Democracy in America,0,9331,0.12344,1403.7,0.8764,0.0742,104.17,False
Democracy in America,1,9309,0.12433,1384.68,0.8899,0.0771,106.7,False
Democracy in America,2,9257,0.12249,1258.72,0.9416,0.0835,105.13,False
Don Quixote,0,15512,0.12957,2123.05,0.9038,0.0879,186.64,False
Don Quixote,1,15555,0.13146,2350.45,0.8413,0.0785,184.51,False
Don Quixote,2,15493,0.13335,2254.7,0.8562,0.0815,183.73,False
Dubliners,0,7204,0.12333,80.61,1.2145,0.9647,77.77,False
Dubliners,1,7211,0.12087,75.96,1.0032,1.025,77.87,False
Dubliners,2,7113,0.12423,63.65,0.9208,1.2201,77.67,False
Emile,0,11129,0.12603,1722.59,0.8353,0.0707,121.76,False
Emile,1,11167,0.1343,5000.0,1.4653,0.191,955.11,True
Emile,2,11180,0.12523,1644.34,0.8613,0.076,124.97,False
Federalist Papers,0,8576,0.12273,5000.0,1.392,0.1326,662.97,True
Federalist Papers,1,8648,0.12457,5000.0,4.5273,0.1071,535.75,True
Federalist Papers,2,8705,0.12445,5000.0,1.7674,0.1577,788.53,True
Grimm's Fairy Tales,0,4797,0.11958,325.01,0.4854,0.1857,60.37,False
