corpus,nll,pi_h,mu_h,sd_h,mu_t,sd_t,n_total,pred_err
Complete Works of Shakespeare,73380.4413422328,0.044229886155241434,2.5114655511705815,2.281323745411813,-2.214615796743166,2.749589365030154,77256.38851766635,0.7598895870952866
Complete Works of Shakespeare,73463.92892256254,0.001,-4.887335599324909,0.05917777369549595,-5.387335599324909,4.02837017588958,191922.87895054402,0.3279097586246312
Complete Works of Shakespeare,73567.2118727621,0.001,-0.8645034309590697,0.050000000186527824,-1.4205435141738803,2.6156800464149055,64341.615147845536,0.5003993063497577
Complete Works of Shakespeare,73372.2226118764,0.03890525250834368,-2.463154632514506,0.05000000806537905,-2.963154632514506,3.350401837529645,100137.16623296596,0.3390965712950237
Complete Works of Shakespeare,73375.09707999403,0.044286719514292694,-2.054601779003774,0.05000000111362461,-2.554601780745812,3.1940459796107374,89624.83261159417,0.6276207462905398
Complete Works of Shakespeare,73378.46489702788,0.023504906262922037,-1.9629008247046693,0.7900343678931309,-2.608287402250341,3.195082969483147,89850.18730668772,0.3311688844607256
Complete Works of Shakespeare,73363.72175181757,0.28216757229055256,-1.9687167197097621,3.0560850798979375,-5.43089351757019,0.9055562918068488,247518.2017174634,0.5761932630382549
Complete Works of Shakespeare,73385.57621352263,0.022210638526991643,2.8505547118275074,2.2856751528833965,-2.2798377611997735,2.9048783417071027,79990.45119715585,0.392651489211561
Complete Works of Shakespeare,73396.2920228116,0.012530585359948842,-1.3737655745526944,4.57790835866532,-1.9862305123347168,2.9479907472830256,74602.1802908558,1.169493341293142
Complete Works of Shakespeare,73377.64686738863,0.001,-2.3756904869531486,3.2399262005938465,-2.880176164211939,3.2892578886417163,95988.10807430523,0.6516085186746253
Complete Works of Shakespeare,73368.20038258706,0.3,-0.11624366900712912,2.685663592334048,-3.5071677034382427,2.4501270673171254,91481.2967612536,0.767589695033715
Complete Works of Shakespeare,73373.8322726324,0.054011666714332066,-2.007953149670845,0.05000001781182453,-2.507953149670845,3.194832289140454,88623.73831563599,0.03857223752209246
Complete Works of Shakespeare,73370.20854144373,0.2999999996139723,0.08082456124817305,2.5378984311261306,-3.608238939575119,2.252503563926209,93945.47748897807,1.1414022501601226
Complete Works of Shakespeare,73383.44791621515,0.010263366328752788,0.9701729330988806,1.7042771867441973,-3.33747444322063,3.472293346485789,105523.83732707032,0.5348896067086433
Complete Works of Shakespeare,73364.26398354374,0.033037400067449804,1.19013298277648,1.8899302870050456,-5.343372775011517,3.907291860614606,168756.02986573067,0.9244840096158975
War and Peace,52475.759000218226,0.17457015876103446,0.09327643802867192,2.1374102865849895,-4.298951822344133,3.651245844806859,71853.90758200474,0.7383986353269966
Complete Works of Shakespeare,73384.56987878992,0.02518969358394598,2.718980673892688,2.2985998157844394,-2.32134500296235,2.903985273692201,80728.8189542028,0.8458317523715405
War and Peace,52480.37856722292,0.1189881212072685,-0.07988730922360432,2.0420115635789284,-2.1508466149221057,3.0584029417535414,50585.25055126137,0.44010142555892606
War and Peace,52571.30557746247,0.016495804707560305,5.1655223115515545,1.5063189046648158,-0.2069032052152367,2.058619849490625,31183.810251494502,0.3763969551895169
War and Peace,52488.60660151461,0.2999999464745189,0.1283925464144633,2.4709605161373633,-3.3036369809338315,2.703625825555107,57424.35580707911,1.3894649423782273
War and Peace,52483.08435714091,0.2999999996428716,-0.5134636918005175,2.2630241159436655,-3.0500787692567832,3.433047834861304,53825.365754903534,0.6419825455984897
War and Peace,52484.34276000874,0.299999997437869,-0.4686900292748901,2.3213462732813803,-4.600130811716317,3.8409379773798595,65953.1139147136,0.4506969027746369
War and Peace,52483.65062224561,0.10568284944293194,-0.20312436620174834,2.0567651319968263,-1.960925434853904,2.9927647732641733,49161.633102463464,0.9107826564719248
War and Peace,52485.92584450489,0.29999999990095094,-0.3160656284084604,2.531690813477978,-4.997851452253955,3.2170254112581427,75806.700280267,1.0802900553819175
War and Peace,52489.431388853845,0.0010000003303761696,6.3554514323189615,0.21225708423993905,-1.2459695370979493,2.6611423932933107,43046.78219740539,1.3711733584087633
War and Peace,52476.06253220349,0.2980433770705873,-0.45212574699142793,2.3225105220256923,-4.015328538377882,3.651423666751,61610.031395753955,0.7673364254397053
War and Peace,52484.17961413529,0.04345778964081212,2.454273683484495,2.283751835894751,-1.2973558794972848,2.4853115729291364,42256.93763713203,0.9526470547972634
War and Peace,52483.88693628302,0.1939944195346525,-0.06331848412849972,2.2223028077768596,-5.078647979128004,3.8409475384567484,79931.10935844321,0.46067288604155204
War and Peace,52488.36305920133,0.039510535295607954,-0.5139548268296431,0.05000000230422709,-1.0139548800723728,2.615987232286443,40103.06782368119,1.502541902879675
War and Peace,52483.6620464261,0.04558439806475143,2.4790388093696225,2.259491316874393,-1.3029589915641306,2.47245941254632,42255.1766914001,0.9571656276896772
War and Peace,52481.090169162875,0.008904067778493757,4.425513364870255,2.0433538310278183,-1.1750741704277234,2.551530074455664,41956.53229454734,0.37236584254915234
King James Bible,41155.72843983567,0.004719604927213777,3.577205095085676,0.514417879429394,-1.6862435815122256,3.0296671394566146,34213.37971690403,0.36196416203821935
King James Bible,41143.999410101795,0.01074427148935041,3.111612670601696,0.9609363214283063,-2.2887411787678484,3.2291062910535255,39795.665997553624,0.10029237157098164
King James Bible,41151.28895012639,0.090287043641472,-0.026987711111829293,3.241872261722826,-1.8726149326638957,3.015162381713267,34687.89060791472,0.8787298242113769
King James Bible,41159.27435497294,0.19471418417857347,1.7409873977092225,2.2787643966408386,-2.1572887498744877,2.3802080919790125,33157.889911593746,1.2727195365229298
King James Bible,41153.310500885076,0.002688727353453413,3.769144709967528,0.21758208156407566,-1.8121163426725466,3.106423865750972,35402.61645315614,0.2434131143072996
War and Peace,52652.00935152867,0.0010000000049074833,90.3590720624407,0.29575932991376064,-0.5231344703153051,2.3482501802725926,34801.904982306776,1.9141892367036655
King James Bible,41148.3115761263,0.0010011338734997887,-1.4952113923466914,3.0701322128866946,-11.628876568531417,0.22936759816850658,31636415.320544086,0.418071758830304
King James Bible,41183.534678173324,0.05725550486775675,4.02313013697968,1.6721152480738757,-1.0023383865775275,2.324416793223355,27258.07432768562,1.4798636757541757
King James Bible,41190.86891767791,0.14371080169996364,2.8524017286089656,1.855580772713565,-1.2793501964401381,2.064552869363768,27442.060621350007,1.1341228731297002
King James Bible,41162.31694010548,0.016894836117645563,4.878124751816591,1.968195006611291,-0.9882194819160419,2.6374626525067906,28042.703699855123,0.5163249341741051
Federalist Papers,24522.292759603242,0.19151228637262868,-0.89145673900682,2.439013136950037,-6.237114073580094,0.9988530412420735,97587.72516362606,2.1289809677529723
King James Bible,41156.03373385256,0.0010497197847880266,2.2849164610277253,4.263042741758695,-1.6880292604821352,3.0870131130253267,34271.37520406335,0.26045526721343776
King James Bible,41148.2390054249,0.005918098455844137,-0.7559559244100339,0.44643807618090015,-2.180235689489759,3.3159791435414223,38814.9975918678,0.28916696349480064
Federalist Papers,24514.789094041575,0.014302774031776301,2.351623684021732,0.6163964479996211,-1.56532879361212,2.620259536527533,23246.165960715152,1.3054875938934907
Federalist Papers,24510.74997191166,0.07130040875047416,1.239561510490664,1.386007256779784,-3.802735217008685,3.3272982622345104,37729.1802926522,0.3416264746682591
King James Bible,41146.65209177916,0.0010426449325919077,3.523627823860202,3.134168527168163,-1.9080107713136942,3.172861519822356,36311.96792610468,0.3306761472485863
King James Bible,41155.2942017494,0.015517740500048675,4.2637947109526415,2.403799109383233,-1.176005214569051,2.752516712363701,29541.173159755446,0.17716875737196314
Federalist Papers,24514.789094042004,0.01430280509943618,2.3516208435999872,0.6163962744311591,-1.5653270888324298,2.6202591294451034,23246.152364646176,1.3054875938934907
King James Bible,41177.45627232363,0.29999999997948823,-0.6511515374731807,2.416582847158505,-3.909980743040176,4.169826240756266,41889.710341036756,0.37842229020605184
Federalist Papers,24518.843295464863,0.021127049529867784,0.685148147398541,3.154335373232389,-1.0720447891803975,2.4071525913232255,20258.10170422161,0.792057893053695
Federalist Papers,24513.844297465235,0.06973081320889922,1.3634785346740808,1.4595597082268317,-4.320836958713154,3.3273735170485725,44152.881797394206,0.13471035694513012
Federalist Papers,24513.49755965447,0.021907490993892376,2.185171345670185,0.7897384709430197,-1.8445446689114742,2.7045727870612732,24959.945884882036,0.8102096717064001
Federalist Papers,24522.80954311635,0.29999999984436576,0.042059575663576654,2.2842171944767524,-2.419618687420909,2.6105799583205984,24114.373933566032,1.3370373491017444
Federalist Papers,24521.400992170475,0.001000244415850097,2.933045633520254,0.05000000114994693,-1.1700201844149758,2.49439852041413,21009.687652121396,0.8977021861062927
Federalist Papers,24611.006266171593,0.03840703228943845,4.018218044011195,1.7512553694567023,0.15500228102964603,1.6406242166062748,13431.657334376157,0.4991578422359426
King James Bible,41153.619760724694,0.2999999997716007,0.8430523693392327,2.625953255576324,-2.059621879946198,2.32947018858477,31178.603139983476,0.4437714378855406
Federalist Papers,24518.184739244538,0.0010004136291527738,7.278045530687997,1.1674775231392291,-1.0545392405734662,2.4416409895994744,20286.16382613868,0.8096959712493456
Federalist Papers,24519.168414950145,0.0013560509496462947,6.151657050272544,1.9083817562260244,-1.219653738284245,2.5064153387661663,21334.625781890678,0.5097511963794527
Federalist Papers,24513.49755965378,0.02190742783588664,2.1851708412109923,0.7897375698444414,-1.8445405342915673,2.7045717979896504,24959.917117839344,0.8102096717064001
Federalist Papers,24513.46046951806,0.07146865361080068,0.813139868372482,1.663918018793296,-6.853632120972025,4.029407105655796,73243.4910050075,0.11391617138776261
Origin of Species,20414.912315557118,0.19073833648386046,0.1454274490301275,2.0957081360269094,-1.911582310469503,2.846725929837173,17970.04479256606,1.352217725015985
Federalist Papers,24517.968597655887,0.0010727039098598697,7.185590977243757,1.2239998262043765,-1.0233825409299269,2.417392908254162,20105.269527750188,0.5421580576183004
Origin of Species,20414.644551265817,0.2999999993300432,-0.0865492489111297,2.2300866871927054,-4.790010339134806,3.554138223246331,26170.171431758874,0.226498915500897
Origin of Species,20415.328717324446,0.03553904273309781,1.0166471378419248,2.585269156000311,-1.0692759086128731,2.4910963936083323,15883.233199882323,0.5569221480712555
Origin of Species,20415.349774002556,0.0030386872485235836,4.177569393421001,2.0925955444538342,-0.9949172552847578,2.504873655663248,15797.178112162095,0.8383252416999091
Origin of Species,20416.209495623567,0.29999999924626763,0.023404769740913878,2.2171887717316867,-3.388896766588158,3.1719081646174616,21624.50455161495,0.8917537148229839
Federalist Papers,24518.88332336238,0.0014902409991612597,6.103373976087138,1.622561926916747,-1.021003971171397,2.408535644069869,20089.477429899038,0.830883007964259
King James Bible,41152.308475135476,0.026147655957308894,3.300192290451013,2.5914013847887682,-1.4416764925839192,2.8080702302670075,31504.686036131403,0.36067830634357656
Origin of Species,20415.82653233456,0.2979719169237067,-1.0535132843568782,2.5581088566657275,-9.848037736122638,0.9363040726291926,54037.50288691712,0.868614122870607
Origin of Species,20414.490706653964,0.2999999995317489,-0.07733030197523405,2.2112424872472793,-4.622115917734704,3.55364637473664,25469.31482880789,0.5709672157795751
Origin of Species,20416.34176890881,0.013679728226445274,3.483254076527124,2.0544598583884777,-0.8875685916921388,2.385368834388476,15171.79846049521,1.0602901663432978
Origin of Species,20414.918757336516,0.005229354589049996,0.6553646003818483,3.322884324511855,-1.0653968145062518,2.5505177484608406,16137.352321568775,0.4152085727103714
Origin of Species,20415.457062329784,0.04099771933626067,-0.14262400085919014,2.912789894135798,-1.060899175738267,2.51642584912247,15997.445065941922,0.23637005201515027
Origin of Species,20415.33594627379,0.022827217429605834,1.4896643631215825,2.508406079546086,-1.0595647329800353,2.4987807654123833,15908.634485207773,0.5631985838602753
Wealth of Nations,30215.632264293603,0.001,-4.764804685364331,0.050000001445752056,-5.264804685364331,4.226546562709402,65845.2288053133,0.5615467376981252
Origin of Species,20414.87899540957,0.24785785779325895,-0.1472141863579921,2.172950775266272,-1.829356966694057,2.8484167739642667,17464.83641925898,1.2973304283315596
Origin of Species,20414.392923151,0.2999999997360978,-0.0702788146235429,2.190559286330336,-4.45433176487286,3.553170129294034,24783.573712437235,0.3550431566916853
Origin of Species,20415.760962344906,0.10379553203009835,-0.5925615309893689,2.0355414157813354,-1.0925615345826774,2.6188938568554248,16000.540044150774,0.5311387582847376
Origin of Species,20414.95575083468,0.20230727911441246,0.1289126009532311,2.127677477839325,-1.9538793777556167,2.84619947484449,18037.177986794206,1.5701169511029975
Wealth of Nations,30152.52525898884,0.02327286194622542,4.909418299531811,1.1019694960433153,-0.6725718718870477,2.301212851023416,19348.514841044685,1.4123134867685756
Wealth of Nations,30115.39765387119,0.001,6.75417114313931,0.8259876851342165,-1.337190341999967,2.843656259568684,23727.928543382506,0.6964659626606614
Origin of Species,20415.265039982223,0.0010000009785915032,5.908538687427099,1.8166841400208782,-0.9955632349172505,2.5179737545986263,15828.187077396266,0.724709763143047
Wealth of Nations,30119.72536554314,0.26723402402539687,1.8145232972053476,2.0359713104128967,-1.3696826981449541,1.80433103789098,19766.843529185957,1.0222493586804116
Wealth of Nations,30112.95628472454,0.2703336449668034,-0.9088838025099832,2.751856234408181,-6.285927471981273,1.5905848175431165,74856.57501750461,0.4788590900989027
Wealth of Nations,30112.861946187124,0.3,-0.9595511853570686,2.7469115284425887,-6.347817288485443,1.5874162076399103,68923.4488147343,0.4017236425720864
Wealth of Nations,30220.514195703476,0.001017850577805104,-4.42059977192567,1.2154937253069498,-4.940797536111021,4.227919505677548,58813.27140572705,0.48659553233964525
Wealth of Nations,30114.39644058234,0.29999999980911746,-0.4082594145942706,2.4439679455847902,-4.2424308655669085,3.907116415521006,33220.41310876979,0.5812463066655735
Wealth of Nations,30110.8400297664,0.3,-1.684396924238487,3.027928251352517,-8.274581410447514,0.5520414301524303,86605.5965472177,0.3537729148865509
Wealth of Nations,30108.524905878865,0.007753066856619839,3.3428346139898824,0.9800731689680647,-1.7129790439098165,2.957990874656476,26110.44510673778,0.23515279083859397
Wealth of Nations,30112.780672527562,0.15221454344797652,0.26363487134184904,2.321782010185616,-2.8837642962957286,3.344416123856969,30322.893556275645,0.27188571395507066
Wealth of Nations,30122.834150474046,0.29976413845509003,0.6379115091978054,2.7506391678488713,-1.0617371176946047,2.1148837688780406,19562.61514957384,0.33242857344932053
Wealth of Nations,30164.172499580716,0.022274178254305357,1.6853915644030115,0.9292442125425843,-5.125515757907868,4.243257530523788,55827.23013036029,1.989705592244935
Wealth of Nations,30115.68103014974,0.03089506197304518,3.5692531072667437,2.0193851073410705,-1.0517012377842025,2.5360661911537394,21358.506786784914,0.509383357094455
Les Miserables,62578.26872866754,0.16928083950209055,-0.10477014203278623,2.5563882902733277,-2.7807888689982696,2.7017245969343247,79952.0593670432,1.0155321120859198
Les Miserables,62580.96685610087,0.03398272277780274,0.7907743105838496,2.7006835761664303,-2.095351794119529,2.6930249046720407,72383.28322200722,0.05636569362186045
Wealth of Nations,31019.978534415935,0.0010000003804289228,72.58055910954997,4.99999999735882,1.1140190234335061,1.6404194042961244,11959.540321219252,2.7474653566476936
Les Miserables,62571.739436944314,0.29921109210497815,-1.6800734521043141,2.714665257922334,-6.260932739789903,1.673240532197654,205555.58874069963,1.2513075255133437
Les Miserables,62572.73416490281,0.09498902478345395,-1.6663854990962808,2.7197754900546234,-6.748578641880086,0.9240596792914104,644448.344274868,1.5259710332806002
Les Miserables,62612.13997510211,0.005586876360829261,2.6057687619805434,4.905120389832721,-1.7537897542056107,2.6349264675641146,66555.8173479288,1.0927592483040902
Les Miserables,62579.017124855505,0.29999999940848104,-1.2555545034605404,2.4436664705640347,-3.946320672084207,3.4565609286937935,92812.4447878688,0.6352413612419752
Les Miserables,62582.158651895756,0.22040286674533038,0.5054350119893734,2.3335147640186182,-2.4603092605651846,2.2380147491350217,70593.01707896445,1.3987615571287335
Wealth of Nations,30146.038847027234,0.0010003296431245188,16.539254280882595,0.9372601491733068,-0.8771926918965507,2.6645908575893507,20858.396196477075,2.532883103429972
Les Miserables,62572.93331201803,0.2995744246853957,-1.7360915195165405,2.710682654694784,-6.188395645731088,1.4518285434981364,211535.6899730424,1.563668329707022
Les Miserables,62578.77712679707,0.14696676645173812,-0.47355143200971206,2.181294402985463,-4.695429369647846,3.6084245324853783,116448.97969019854,0.17955377045751597
Les Miserables,62590.27030055483,0.0010000016703186833,-1.4510087736106858,3.3009831078461325,-1.9951193037574106,2.761616725874238,71732.81034795655,1.080001443421259
Principia Ethica,11431.662457923714,0.048696671500727734,-1.488376945685923,1.0032003090152988,-1.9887249579695363,3.01628941575613,11693.249748066379,0.7404501972978653
Les Miserables,62635.68910265599,0.2999999999997879,1.0688687213405101,1.8807733898978654,-1.8837825357059161,1.4746949702668468,57274.7717787966,2.666085978601582
Principia Ethica,11425.408601096868,0.008316478156799093,3.512606288968378,0.6797307517775579,-3.0718534544416682,3.280333629567594,15656.530362967773,1.1914363730114055
Principia Ethica,11426.405103484549,0.11771409493256323,1.740806450701863,2.0527595596701467,-3.1031003947463796,2.5784651500386215,14473.56545429495,0.5693770962751783
Les Miserables,62573.433428357515,0.006677417132066579,3.141286455794963,0.6956188407216306,-2.2342068199916167,2.7842278161464344,76896.34783760883,1.3122273181427304
Principia Ethica,11426.585991563554,0.3,-0.6652591521449831,2.623984298491414,-4.812146118139473,1.687033922559288,23146.613771108285,0.4799496053881544
Les Miserables,62579.68783148095,0.2999999998969939,-1.2592024798880148,2.42976836971532,-3.8928471077996387,3.4566478021465796,91932.33092215027,1.0861190587669818
Principia Ethica,11427.820560179864,0.020497644269665924,2.3039717438601386,1.4147653604580341,-4.757762356652753,3.7217651851503706,23805.69958107973,1.2113524346201754
Les Miserables,62570.00041164815,0.01439741329498026,2.6527096052134804,1.0692820594442167,-2.750651694025865,2.905341252873278,89115.49321769299,0.9839325344864648
Principia Ethica,11426.33044127417,0.2999999999947641,0.5274717159319606,2.3187081727231234,-3.157959734579409,1.9045694617549676,13270.652667499895,0.5364629303659283
Principia Ethica,11425.408601095844,0.00831635951114441,3.5126115775880162,0.6797193749291668,-3.0718462152451576,3.280331557611408,15656.503872246867,1.1914363730114055
Principia Ethica,11426.125020095253,0.0451184985211326,2.4278610985617037,1.7641820195417985,-3.3308893258192356,3.059909001490091,16306.782793047369,0.2701231224407321
Principia Ethica,11432.513542484572,0.001066123816347908,-1.1085216100808928,0.05000000285199928,-2.368653899879517,3.110469249315204,12974.328384276294,1.1606508136080855
Principia Ethica,11427.979372388801,0.06385744288745586,2.7627074218061303,1.723085503252779,-2.4541385987985134,2.606071858351518,12757.62170425598,0.9292262231074156
Principia Ethica,11430.824280758086,0.04428233257116453,-1.081767662510083,0.05000000005838553,-1.9006353354109335,2.977281456951308,11375.481679946413,1.0256669674674004
Les Miserables,62590.581532746466,0.0014565371262359045,6.338628520681409,1.6980772268056024,-1.6457587280292127,2.596121515773163,64575.96781285675,0.3658625312995475
Les Miserables,62579.3300052839,0.24589890577754084,-1.7386508552782032,3.023972759862807,-2.238650881302138,2.7028043483140145,74898.0551472905,0.6706452445103955
Principia Ethica,11433.089455856238,0.0010034812229618864,-1.3455469307787045,0.05000001314292211,-2.6555663864322874,3.233309049588015,14003.18666323125,0.5361375203686713
Principia Ethica,11426.215662038907,0.29999999999999993,0.10464059597796638,2.427987007104897,-3.9173678097092335,1.9929753520777016,16254.8905658662,0.5095736977191876
Principia Ethica,11425.954360839341,0.2356887900129727,0.18329876553089974,2.4136069001579106,-4.529002684816733,2.2871533297300095,19616.94518641408,0.37602012908709503
Principia Ethica,11424.912443172143,0.01570428372646651,3.2844783439292247,1.0652856978147793,-3.026005975398629,3.1707964947909235,15461.693337525281,0.3815149520772104
Principia Ethica,11429.871145989293,0.001,3.9132329629965867,0.05000000017113183,-2.4510470251088887,3.1200751870209884,13294.48832048956,0.20493767503273036
Critique of Pure Reason,18855.799389137188,0.008216026203789624,4.644691121661576,0.987283919050725,-2.621000102032429,2.9428415998097788,24664.999645549808,0.6812400703405412
Critique of Pure Reason,18850.834157042824,0.0020696654216262075,4.423529683283591,0.9068975388905535,-3.382552302479552,3.351338395691096,30111.02111681063,0.1864490171842994
Critique of Pure Reason,18852.20540069256,0.02081985201237596,-0.8146266185794764,0.05000000003725494,-2.926908502191339,3.2084137532765653,26338.616499361466,0.4794415557264942
Critique of Pure Reason,18851.137478336488,0.0027703245237032373,4.5840484273993685,0.9005636223458551,-3.057825001798311,3.2296359812297997,27514.441286585006,0.9903316022782436
Critique of Pure Reason,18847.91575671626,0.024670429888246272,3.2374696668267773,1.913056749857454,-3.060493347425514,2.927444923119785,27892.023471506676,0.6245131522769998
Critique of Pure Reason,18849.688453507195,0.0941186618967754,-2.368294257144606,1.2829810880155534,-3.05219807908449,3.3324817856102364,27966.04492872651,0.6903742252193832
Critique of Pure Reason,18851.15258376567,0.07183705843795554,2.666248075927384,1.8738907938005154,-2.4773236564557113,2.340988070964706,23077.296378251194,0.6581232534529052
Critique of Pure Reason,18848.07661420362,0.023103435820937566,3.3355311905615963,1.8830208330031846,-3.019410299291656,2.928520120390653,27575.00280582009,0.6615660789052887
Critique of Pure Reason,18847.71837852367,0.3,-0.5236862522701329,2.776176326987918,-3.7127939258108436,2.27543734624038,28309.568066387375,0.5522309373920365
Critique of Pure Reason,18852.196393514798,0.05189176241612792,-2.493045661478666,1.2942842206607041,-3.640598466195919,3.496110032787602,32564.402133306645,1.3818615930604397
Critique of Pure Reason,18849.980334545195,0.07402820615807097,-2.3776816397413603,0.924114110756468,-3.1548268424933656,3.3321817063804824,29049.694298284565,0.5826318403276521
Critique of Pure Reason,18851.169503725007,0.0010004113874285657,4.2908838619977585,0.42072964785287464,-4.24975657922336,3.612394894935242,38653.90260500969,1.159492999930514
Critique of Pure Reason,18847.65095543118,0.00440211424694925,4.246260235400149,1.0732245660688482,-3.595852922178974,3.338942393417065,32452.18893278802,0.6974314351768504
Critique of Pure Reason,18847.815109141688,0.21891507485060963,0.6628358981564215,2.4687456978665,-2.7828229236666937,2.072653440202424,22867.31547524855,0.4404451933005726
Critique of Pure Reason,18882.405994280467,0.001000000000161185,25.267976054622302,0.16400388839353153,-3.271159541371322,3.33073284149606,29167.287009715634,2.1476954671949127
