corpus,basin,V,s_real,A,A_over_s,A_over_V,band_lo,band_hi,pi_h,gap
Complete Works of Shakespeare,pred-selected,24458.0,304.4599528766846,941.7,3.093,0.0385,-2.14,-1.88,0.05401,0.5
War and Peace,pred-selected,17445.0,227.1902907446983,865.1,3.808,0.04959,4.29,16.69,0.0089,5.601
Moby Dick,ML,16956.0,192.63444045682485,768.4,3.989,0.04532,3.45,7.22,0.00817,6.183
King James Bible,pred-selected,12555.0,163.28477950206366,1976.7,12.106,0.15744,2.71,4.56,0.01074,5.4
Federalist Papers,pred-selected,8617.0,109.65816690003957,7957.3,72.565,0.92344,-1.86,6.63,0.07147,7.667
Grimm's Fairy Tales,ML,4746.0,57.99137213471197,329.4,5.68,0.0694,3.32,7.43,0.03583,4.734
Don Quixote,ML,15574.0,192.8333131129501,345.1,1.79,0.02216,4.11,9.09,0.01947,5.428
Pride and Prejudice,ML,6729.0,79.19685322749302,336.4,4.248,0.04999,3.33,7.87,0.02928,4.874
Canterbury Tales,ML,17653.0,198.7134131188039,271.0,1.364,0.01535,3.81,9.26,0.01166,6.089
Arabian Nights (Vol 1),ML,13883.0,141.95141885424383,389.8,2.746,0.02808,2.98,4.5,0.01429,5.95
Aesop's Fables,ML,4394.0,43.76413699538858,143.9,3.289,0.03276,3.12,11.16,0.01031,6.009
Complete Sherlock Holmes,ML,7817.0,86.06233107967869,43.6,0.506,0.00557,4.62,9.08,0.00589,6.986
Jane Eyre,ML,12541.0,148.30690398273813,218.9,1.476,0.01746,3.78,7.9,0.01354,5.399
Dubliners,ML,7157.0,65.3788909258547,9.5,0.145,0.00133,4.97,10.03,0.00278,7.935
The Iliad,ML,12300.0,146.4618952784701,472.4,3.225,0.03841,3.38,7.88,0.02622,4.931
Democracy in America,ML,9301.0,116.08829555683555,249.3,2.148,0.02681,3.87,7.74,0.01917,5.146
Origin of Species,pred-selected,6887.0,89.72849211992552,6857.1,76.421,0.99567,-4.34,10.28,0.3,4.703
Wealth of Nations,pred-selected,9478.0,124.38464467272836,553.0,4.446,0.05835,3.52,4.41,0.00775,5.056
Les Miserables,pred-selected,22677.0,277.122704944508,4474.1,16.145,0.1973,2.24,13.14,0.03398,2.886
Decline and Fall Vol 1,ML,15983.0,181.41820908061865,466.3,2.571,0.02918,3.55,7.79,0.02053,4.818
Emile,ML,11174.0,132.0791651941298,234.3,1.774,0.02097,3.84,8.17,0.02146,5.292
Ulysses,ML,28990.0,274.054700728531,1901.9,6.94,0.06561,2.13,9.9,0.01585,5.28
Collected Poe,ML,9312.0,100.9569555396059,18.2,0.18,0.00195,4.55,9.69,0.0041,6.685
Principia Ethica,pred-selected,3814.0,46.15587366688076,48.7,1.056,0.01277,3.83,4.0,0.001,6.364
