name,run,M,V,s,s_over_V,rmse
run0_M200k,0,200000,16480,185.3,0.01125,0.11891
run0_M400k,0,400000,25855,308.6,0.01194,0.12164
run0_M800k,0,800000,39323,480.8,0.01223,0.12199
run0_M1600k,0,1600000,58918,730.4,0.0124,0.12099
run0_M3200k,0,3200000,87830,1097.6,0.0125,0.11883
run1_M200k,1,200000,16481,184.8,0.01121,0.11907
run1_M400k,1,400000,25825,305.3,0.01182,0.12074
run1_M800k,1,800000,39220,479.7,0.01223,0.12105
run1_M1600k,1,1600000,58938,730.3,0.01239,0.12042
run1_M3200k,1,3200000,87808,1096.5,0.01249,0.11816
