variant,run,M,V,s,s_over_V
classic_simon,0,400000,20011,201.8,0.01008
classic_simon,0,1600000,80114,811.0,0.01012
classic_simon,1,400000,20126,208.2,0.01034
classic_simon,1,1600000,80237,814.9,0.01016
ga_reference,0,400000,25825,305.3,0.01182
ga_reference,0,1600000,58938,730.3,0.01239
ga_reference,1,400000,25942,311.2,0.012
ga_reference,1,1600000,58991,729.5,0.01237
pure_simon_decay,0,400000,20985,240.3,0.01145
pure_simon_decay,0,1600000,52837,634.1,0.012
pure_simon_decay,1,400000,20999,245.5,0.01169
pure_simon_decay,1,1600000,52640,638.2,0.01212
