corpus,lang,tokens,V,zm_b,s,s_over_V,n_reps
da_pg2144,da,494964,20924,1.417,246.9,0.0118,2
da_pg2143,da,170218,9466,1.325,110.8,0.0117,2
de_pg40739,de,211545,23871,1.057,222.0,0.0093,2
de_pg65662,de,159570,24345,0.923,194.8,0.008,2
de_pg69944,de,159548,21977,0.982,197.8,0.009,2
el_pg33396,el,156937,25868,0.892,212.1,0.0082,2
es_pg2000,es,383633,22943,1.23,238.6,0.0104,2
es_pg78068,es,264719,23452,1.12,239.2,0.0102,2
es_pg61851,es,177773,14582,1.181,150.2,0.0103,2
fi_pg70428,fi,267610,52228,0.923,423.0,0.0081,2
fi_pg69850,fi,186984,40282,0.891,318.2,0.0079,2
fi_pg67616,fi,158848,28815,0.919,227.6,0.0079,2
fr_pg25335,fr,282117,20668,1.193,225.3,0.0109,2
fr_pg13951,fr,239953,13950,1.271,153.4,0.011,2
fr_pg14287,fr,209844,14224,1.238,157.9,0.0111,2
hu_pg66903,hu,217243,37754,0.87,279.4,0.0074,2
hu_pg41504,hu,158451,31555,0.865,243.0,0.0077,2
it_pg65391,it,444080,25423,1.301,277.1,0.0109,2
it_pg78619,it,202263,23491,1.07,220.8,0.0094,2
it_pg26961,it,166146,10890,1.281,104.5,0.0096,2
nl_pg28120,nl,196197,16537,1.187,180.3,0.0109,2
nl_pg22968,nl,184600,26576,0.965,223.2,0.0084,2
nl_pg23759,nl,173560,12786,1.28,147.0,0.0115,2
pt_pg31552,pt,1767544,179958,0.968,1619.6,0.009,2
pt_pg62383,pt,797817,26962,1.385,326.2,0.0121,2
pt_pg40409,pt,221439,20056,1.133,214.6,0.0107,2
sv_pg2100,sv,736812,24297,1.467,294.0,0.0121,2
sv_pg57357,sv,183205,9915,1.501,115.0,0.0116,2
sv_pg13100,sv,152634,18085,1.075,179.0,0.0099,2
