corpus,lang,tokens,V,tok_per_V,s,s_over_V
fr_concat,fr,1290331,43148,29.9,530.9,0.0123
es_concat,es,1209758,42302,28.6,632.2,0.01495
da_concat,da,665182,24462,27.2,298.2,0.01219
sv_concat,sv,1072651,40128,26.7,460.7,0.01148
it_concat,it,812489,46239,17.6,490.5,0.01061
nl_concat,nl,679735,47038,14.5,468.5,0.00996
pt_concat,pt,2786800,202454,13.8,1887.7,0.00932
de_concat,de,530663,52050,10.2,489.2,0.0094
ru_concat,ru,462808,51733,8.9,501.2,0.00969
fi_concat,fi,613442,90857,6.8,766.3,0.00843
hu_concat,hu,375694,61559,6.1,477.7,0.00776
