corpus,frac,rep,tokens,V,s,s_over_V,tok_per_V
en_les_miserables,0.1,0,57685,8099,37805.5,4.66792,7.12
en_les_miserables,0.1,1,57594,7944,37612.2,4.73467,7.25
en_les_miserables,0.2,0,115032,11391,121.9,0.0107,10.1
en_les_miserables,0.2,1,115314,11415,120.6,0.01056,10.1
en_les_miserables,0.4,0,229890,15524,177.1,0.01141,14.81
en_les_miserables,0.4,1,230885,15537,176.6,0.01137,14.86
en_les_miserables,0.7,0,403032,19783,235.5,0.0119,20.37
en_les_miserables,0.7,1,402949,19738,233.8,0.01185,20.41
en_les_miserables,1.0,0,575614,22677,277.1,0.01222,25.38
en_shakespeare,0.1,0,98898,9327,95.0,0.01018,10.6
en_shakespeare,0.1,1,98643,9350,48758.4,5.21481,10.55
en_shakespeare,0.2,0,197850,12787,139.3,0.0109,15.47
en_shakespeare,0.2,1,197500,12860,141.0,0.01096,15.36
en_shakespeare,0.4,0,395429,17230,202.0,0.01172,22.95
en_shakespeare,0.4,1,395809,17214,199.9,0.01161,22.99
en_shakespeare,0.7,0,691865,21457,260.7,0.01215,32.24
en_shakespeare,0.7,1,692126,21476,260.2,0.01212,32.23
en_shakespeare,1.0,0,988670,24458,304.5,0.01245,40.42
en_war_and_peace,0.1,0,58588,6754,63.2,0.00935,8.67
en_war_and_peace,0.1,1,58275,6741,64.6,0.00958,8.64
en_war_and_peace,0.2,0,116623,9192,40522.1,4.40841,12.69
en_war_and_peace,0.2,1,116561,9382,13344.4,1.42234,12.42
en_war_and_peace,0.4,0,233810,12502,148.3,0.01186,18.7
en_war_and_peace,0.4,1,233395,12535,150.3,0.01199,18.62
en_war_and_peace,0.7,0,408560,15422,194.3,0.0126,26.49
en_war_and_peace,0.7,1,408608,15413,194.6,0.01263,26.51
en_war_and_peace,1.0,0,583368,17445,227.2,0.01302,33.44
es_deep,0.1,0,121315,15083,135.5,0.00898,8.04
es_deep,0.1,1,122293,15103,134.3,0.00889,8.1
es_deep,0.2,0,242654,21873,220.6,0.01008,11.09
es_deep,0.2,1,243961,22127,222.6,0.01006,11.03
es_deep,0.4,0,488351,30745,352.2,0.01146,15.88
es_deep,0.4,1,488666,30656,356.8,0.01164,15.94
es_deep,0.7,0,852814,38433,510.3,0.01328,22.19
es_deep,0.7,1,853656,38407,509.2,0.01326,22.23
es_deep,1.0,0,1218979,42937,645.2,0.01503,28.39
fr_deep,0.1,0,129774,15180,148.1,0.00976,8.55
fr_deep,0.1,1,129407,15218,145.3,0.00955,8.5
fr_deep,0.2,0,260002,21788,228.4,0.01048,11.93
fr_deep,0.2,1,260204,21732,232.0,0.01067,11.97
fr_deep,0.4,0,520160,30179,343.6,0.01139,17.24
fr_deep,0.4,1,520154,30012,342.9,0.01143,17.33
fr_deep,0.7,0,909849,37914,456.9,0.01205,24.0
fr_deep,0.7,1,909952,37948,457.6,0.01206,23.98
fr_deep,1.0,0,1299501,43612,541.9,0.01243,29.8
ru_deep,0.1,0,46228,12815,40092.2,3.12854,3.61
ru_deep,0.1,1,46565,12901,41352.9,3.2054,3.61
ru_deep,0.2,0,92293,20023,151.4,0.00756,4.61
ru_deep,0.2,1,92896,20282,152.4,0.00751,4.58
ru_deep,0.4,0,185476,30889,261.5,0.00847,6.0
ru_deep,0.4,1,185390,30884,262.0,0.00848,6.0
ru_deep,0.7,0,323206,42563,391.9,0.00921,7.59
ru_deep,0.7,1,324469,42607,394.1,0.00925,7.62
ru_deep,1.0,0,462808,51733,501.2,0.00969,8.95
