corpus,group,V,tokens,np_width_frac,np_width_iqr
shakespeare,english,24458,988670,0.05702,0.01344
shakespeare_ZMtwin,zm_twin,24458,988670,0.03736,
war_and_peace,english,17445,583368,0.05944,0.059
war_and_peace_ZMtwin,zm_twin,17445,583368,0.03958,
moby_dick,english,16956,219054,0.04901,0.04245
moby_dick_ZMtwin,zm_twin,16956,219054,0.03801,
king_james_bible,english,12555,792180,0.06336,0.03907
king_james_bible_ZMtwin,zm_twin,12555,792180,0.05489,
federalist_papers,english,8617,192302,0.05634,0.07152
federalist_papers_ZMtwin,zm_twin,8617,192302,0.04198,
grimms_fairy_tales,english,4746,102114,0.03382,0.03729
grimms_fairy_tales_ZMtwin,zm_twin,4746,102114,0.01064,
don_quixote,english,15574,433304,0.03506,0.04175
don_quixote_ZMtwin,zm_twin,15574,433304,0.01288,
pride_and_prejudice,english,6729,128565,0.00855,0.02367
pride_and_prejudice_ZMtwin,zm_twin,6729,128565,0.00408,
canterbury_tales,english,17653,281189,0.0,0.04215
canterbury_tales_ZMtwin,zm_twin,17653,281189,0.02068,
arabian_nights_vol1,english,13883,176048,0.03047,0.03836
arabian_nights_vol1_ZMtwin,zm_twin,13883,176048,0.0,
aesops_fables,english,4394,41594,0.04927,0.0322
aesops_fables_ZMtwin,zm_twin,4394,41594,0.0,
complete_sherlock_holmes,english,7817,105863,0.00365,0.05395
complete_sherlock_holmes_ZMtwin,zm_twin,7817,105863,0.02356,
jane_eyre,english,12541,189604,0.0,0.01298
jane_eyre_ZMtwin,zm_twin,12541,189604,0.00028,
dubliners,english,7157,69264,0.00741,0.02099
dubliners_ZMtwin,zm_twin,7157,69264,0.00871,
the_iliad,english,12300,194969,0.0,0.05384
the_iliad_ZMtwin,zm_twin,12300,194969,0.04266,
democracy_in_america,english,9301,187753,0.04392,0.05787
democracy_in_america_ZMtwin,zm_twin,9301,187753,0.02509,
origin_of_species,english,6887,156024,0.06861,0.08523
origin_of_species_ZMtwin,zm_twin,6887,156024,0.04342,
wealth_of_nations,english,9478,380080,0.0622,0.02458
wealth_of_nations_ZMtwin,zm_twin,9478,380080,0.01244,
les_miserables,english,22677,575614,0.03889,0.02705
les_miserables_ZMtwin,zm_twin,22677,575614,0.03174,
decline_and_fall_vol1,english,15983,262698,0.03992,0.03124
decline_and_fall_vol1_ZMtwin,zm_twin,15983,262698,0.04275,
emile,english,11174,252843,0.04667,0.01962
emile_ZMtwin,zm_twin,11174,252843,0.0231,
ulysses,english,28990,268854,0.0,0.00649
ulysses_ZMtwin,zm_twin,28990,268854,0.02734,
collected_poe,english,9312,91801,0.05493,0.02639
collected_poe_ZMtwin,zm_twin,9312,91801,0.0,
principia_ethica,english,3814,98676,0.02386,0.02956
principia_ethica_ZMtwin,zm_twin,3814,98676,0.0358,
critique_of_pure_reason,english,6537,209795,0.00543,0.02226
critique_of_pure_reason_ZMtwin,zm_twin,6537,209795,0.03453,
french_les_miserables,multilingual,28798,558417,0.05023,0.06692
spanish_don_quixote,multilingual,22943,383633,0.02864,0.02675
russian_war_and_peace,multilingual,51733,462808,0.00056,0.01796
pt_pg31552,multilingual,180517,1770644,0.07008,0.08996
pt_pg62383,multilingual,27574,800911,0.05625,0.05982
sv_pg2100,multilingual,24297,736812,0.05217,0.06036
da_pg2144,multilingual,20924,494964,0.0232,0.03306
it_pg65391,multilingual,26060,447157,0.03739,0.0487
fi_pg70428,multilingual,52859,270661,0.0,0.02545
es_pg2000,multilingual,23576,386682,0.02229,0.0285
el_pg33396,multilingual,26502,159987,0.03705,0.05745
