V_star,s_frac_star,depth,gate,rep,V_real,s_star,fwhm,amp,s_hat,s_hat_frac
8000,0.006,10,erf,1,3788,48.0,0.06258,0.79588,30.8,0.00813
8000,0.006,10,logistic,1,4278,48.0,0.05372,0.66139,37.2,0.0087
8000,0.006,10,erf,0,3481,48.0,0.06889,0.77249,26.0,0.00746
8000,0.006,10,logistic,0,3966,48.0,0.07244,0.72788,34.4,0.00867
8000,0.012,10,erf,0,3844,96.0,0.07343,0.4447,35.2,0.00916
8000,0.006,20,logistic,0,4741,48.0,0.05806,0.83989,47.7,0.01006
8000,0.012,10,logistic,0,3760,96.0,0.08916,0.39536,33.9,0.00901
8000,0.012,10,erf,1,4411,96.0,0.06195,0.32077,25388.2,5.75565
8000,0.006,20,erf,1,5745,48.0,0.04865,0.82395,152.7,0.02658
8000,0.012,10,logistic,1,4117,96.0,0.08373,0.32495,39.0,0.00947
8000,0.012,20,erf,0,5186,96.0,0.05732,0.3258,57.6,0.0111
8000,0.012,20,logistic,0,5863,96.0,0.05555,0.28438,71.5,0.0122
8000,0.012,20,logistic,1,5220,96.0,0.05972,0.32572,62.4,0.01195
8000,0.024,10,erf,0,4686,192.0,0.02068,0.20734,29391.5,6.2722
8000,0.024,10,logistic,0,4899,192.0,0.02187,0.20431,57.7,0.01177
8000,0.024,10,erf,1,4794,192.0,0.02647,0.20898,55.4,0.01156
8000,0.012,20,erf,1,6197,96.0,0.04817,0.29489,79.5,0.01283
8000,0.024,10,logistic,1,4461,192.0,0.02542,0.25965,27787.2,6.22893
16000,0.006,10,erf,0,5165,96.0,0.08159,0.87677,35.5,0.00688
8000,0.024,20,erf,0,5710,192.0,0.02091,0.20041,69.3,0.01213
8000,0.024,20,erf,1,5568,192.0,0.02432,0.21537,64.8,0.01164
16000,0.006,10,logistic,0,4148,96.0,0.09527,0.73945,27.2,0.00657
8000,0.024,20,logistic,1,6111,192.0,0.02027,0.20437,77.6,0.0127
16000,0.006,10,erf,1,8415,96.0,0.05425,0.75402,73.4,0.00872
8000,0.024,20,logistic,0,5529,192.0,0.02114,0.23737,64.1,0.0116
16000,0.006,20,logistic,0,9533,96.0,0.04994,0.88256,94.1,0.00987
8000,0.006,20,erf,0,5116,48.0,0.04931,0.82191,51.9,0.01015
16000,0.006,20,logistic,1,9744,96.0,0.04962,0.86978,94.0,0.00965
16000,0.006,20,erf,0,7482,96.0,0.06937,0.99058,65.0,0.00868
16000,0.006,10,logistic,1,6429,96.0,0.06826,0.78634,48.4,0.00753
16000,0.012,10,logistic,0,8724,192.0,0.06144,0.32686,87.1,0.00998
16000,0.012,10,erf,0,5669,192.0,0.09015,0.46316,49.3,0.0087
16000,0.012,20,erf,1,8876,192.0,0.06624,0.4964,97.2,0.01095
16000,0.012,20,logistic,1,9920,192.0,0.06116,0.36089,108.5,0.01094
16000,0.012,10,logistic,1,5815,192.0,0.08969,0.42027,50.4,0.00867
16000,0.012,20,logistic,0,10011,192.0,0.05963,0.4421,107.7,0.01075
16000,0.006,20,erf,1,6902,96.0,0.06926,0.98196,53.0,0.00768
16000,0.012,20,erf,0,9672,192.0,0.06146,0.38767,105.1,0.01086
16000,0.012,10,erf,1,6846,192.0,0.07509,0.41998,67.1,0.00981
16000,0.024,10,erf,1,8623,384.0,0.02473,0.23853,91.9,0.01065
16000,0.024,10,erf,0,9133,384.0,0.0239,0.24474,103.1,0.01129
16000,0.024,10,logistic,0,8499,384.0,0.02075,0.25684,92.2,0.01084
16000,0.024,20,erf,0,9589,384.0,0.02047,0.29704,104.5,0.0109
16000,0.024,10,logistic,1,8128,384.0,0.02526,0.23049,80.7,0.00993
32000,0.006,10,erf,1,11111,192.0,0.07116,0.86586,80.4,0.00723
16000,0.024,20,logistic,0,10473,384.0,0.0187,0.25996,123.6,0.0118
32000,0.006,20,erf,0,9703,192.0,0.1009,1.04672,71.0,0.00731
32000,0.006,10,erf,0,8499,192.0,0.08364,0.90077,57.7,0.00679
32000,0.006,10,logistic,0,6949,192.0,0.10064,0.77552,47.0,0.00677
16000,0.024,20,erf,1,11584,384.0,0.02027,0.27624,153.3,0.01323
32000,0.006,10,logistic,1,9728,192.0,0.09946,0.82004,64.0,0.00658
32000,0.006,20,erf,1,12644,192.0,0.05914,1.02615,105.5,0.00834
32000,0.006,20,logistic,0,13000,192.0,0.06881,0.98273,108.1,0.00832
32000,0.012,20,erf,0,16594,384.0,0.06631,0.47602,178.5,0.01076
16000,0.024,20,logistic,1,12297,384.0,0.00118,0.28752,168.6,0.01371
32000,0.012,20,erf,1,11805,384.0,0.08674,0.56013,114.2,0.00968
32000,0.012,10,logistic,1,9241,384.0,0.12254,0.478,74.4,0.00806
8000,0.006,20,logistic,1,5292,48.0,0.0489,0.82351,54.4,0.01029
32000,0.012,10,erf,0,9521,384.0,0.08992,0.44491,87.4,0.00918
32000,0.006,20,logistic,1,13726,192.0,0.06026,0.98679,109.6,0.00798
32000,0.012,20,logistic,0,20581,384.0,0.05967,0.39921,240.7,0.0117
32000,0.024,10,erf,0,16142,768.0,0.02268,0.25678,175.8,0.01089
32000,0.024,10,erf,1,16036,768.0,0.02271,0.28049,174.8,0.0109
32000,0.012,10,erf,1,10170,384.0,0.09421,0.44979,87.3,0.00859
32000,0.012,10,logistic,0,13810,384.0,0.07613,0.40706,131.5,0.00952
32000,0.024,20,erf,1,17920,768.0,0.01119,0.29646,203.9,0.01138
32000,0.012,20,logistic,1,17030,384.0,0.06927,0.41217,189.3,0.01112
32000,0.024,20,erf,0,22375,768.0,0.00094,0.58265,289.9,0.01296
32000,0.024,10,logistic,0,20280,768.0,0.00096,0.4983,242.7,0.01197
32000,0.024,10,logistic,1,13912,768.0,0.02441,0.29784,141.0,0.01013
32000,0.024,20,logistic,1,21864,768.0,0.0008,0.36847,277.6,0.0127
32000,0.024,20,logistic,0,23895,768.0,0.00063,0.48392,320.1,0.01339
