corpus,group,V,fwhm_frac,amplitude
shakespeare,english,24458,0.00142,1.2644
shakespeare_twin,twin,24458,0.00629,0.3238
war_and_peace,english,17445,0.00126,1.0616
war_and_peace_twin,twin,17445,0.00582,0.2849
moby_dick,english,16956,0.04946,0.1385
moby_dick_twin,twin,16956,0.00096,0.1468
king_james_bible,english,12555,0.00175,0.8388
king_james_bible_twin,twin,12555,0.00646,0.2357
federalist_papers,english,8617,0.00174,0.5301
federalist_papers_twin,twin,8617,0.00583,0.2884
grimms_fairy_tales,english,4746,0.03995,0.2645
grimms_fairy_tales_twin,twin,4746,0.00626,0.1576
don_quixote,english,15574,0.00183,0.5106
don_quixote_twin,twin,15574,0.00261,0.3329
pride_and_prejudice,english,6729,0.03745,0.2722
pride_and_prejudice_twin,twin,6729,0.05857,0.1149
canterbury_tales,english,17653,0.01934,0.2054
canterbury_tales_twin,twin,17653,0.00096,0.1311
arabian_nights_vol1,english,13883,0.01016,0.1775
arabian_nights_vol1_twin,twin,13883,0.09149,0.1124
aesops_fables,english,4394,0.12359,0.094
aesops_fables_twin,twin,4394,0.06217,0.1381
complete_sherlock_holmes,english,7817,0.04154,0.1714
complete_sherlock_holmes_twin,twin,7817,0.1047,0.112
jane_eyre,english,12541,0.04337,0.2131
jane_eyre_twin,twin,12541,0.00131,0.185
dubliners,english,7157,0.00426,0.1629
dubliners_twin,twin,7157,0.08695,0.1172
the_iliad,english,12300,0.00118,0.4661
the_iliad_twin,twin,12300,0.00608,0.2474
democracy_in_america,english,9301,0.00204,0.5722
democracy_in_america_twin,twin,9301,0.00613,0.2921
origin_of_species,english,6887,0.00189,0.6411
origin_of_species_twin,twin,6887,0.00814,0.2325
wealth_of_nations,english,9478,0.00274,0.6262
wealth_of_nations_twin,twin,9478,0.00862,0.2406
les_miserables,english,22677,0.00128,1.1249
les_miserables_twin,twin,22677,0.00441,0.335
decline_and_fall_vol1,english,15983,0.00131,1.0508
decline_and_fall_vol1_twin,twin,15983,0.00749,0.3328
emile,english,11174,0.00183,0.3499
emile_twin,twin,11174,0.00272,0.2114
ulysses,english,28990,0.00722,0.106
ulysses_twin,twin,28990,0.05368,0.1397
collected_poe,english,9312,0.02344,0.2524
collected_poe_twin,twin,9312,0.07972,0.1409
principia_ethica,english,3814,0.05999,0.2929
principia_ethica_twin,twin,3814,0.08648,0.093
critique_of_pure_reason,english,6537,0.03874,0.2365
critique_of_pure_reason_twin,twin,6537,0.00481,0.1176
