corpus,boot,s_true,s_hat,ratio
aesops_fables,0,43.8,46.7,1.066
aesops_fables,1,43.8,46.9,1.071
aesops_fables,2,43.8,25194.3,575.676
arabian_nights_vol1,0,142.0,155.8,1.097
arabian_nights_vol1,1,142.0,156.4,1.102
arabian_nights_vol1,2,142.0,154.5,1.088
canterbury_tales,0,198.7,205.1,1.032
canterbury_tales,1,198.7,208.0,1.047
canterbury_tales,2,198.7,206.9,1.041
collected_poe,0,101.0,105.3,1.043
collected_poe,1,101.0,106.8,1.058
collected_poe,2,101.0,106.6,1.055
complete_sherlock_holmes,0,43993.2,46384.0,1.054
complete_sherlock_holmes,1,43993.2,530.5,0.012
complete_sherlock_holmes,2,43993.2,46076.9,1.047
critique_of_pure_reason,0,72.7,41655.8,572.907
critique_of_pure_reason,1,72.7,76.5,1.053
critique_of_pure_reason,2,72.7,75.7,1.042
decline_and_fall_vol1,0,181.4,198.3,1.093
decline_and_fall_vol1,1,181.4,197.5,1.089
decline_and_fall_vol1,2,181.4,197.2,1.087
democracy_in_america,0,116.1,118.9,1.025
democracy_in_america,1,116.1,118.4,1.02
democracy_in_america,2,116.1,118.9,1.025
don_quixote,0,192.8,194.7,1.01
don_quixote,1,192.8,193.6,1.004
don_quixote,2,192.8,193.5,1.003
dubliners,0,36429.3,169.4,0.005
dubliners,1,36429.3,78.2,0.002
dubliners,2,36429.3,39730.3,1.091
emile,0,132.1,134.0,1.014
emile,1,132.1,134.3,1.017
emile,2,132.1,135.9,1.029
federalist_papers,0,109.7,110.9,1.011
federalist_papers,1,109.7,111.0,1.012
federalist_papers,2,109.7,110.6,1.009
grimms_fairy_tales,0,30679.2,32105.2,1.046
grimms_fairy_tales,1,30679.2,32109.6,1.047
grimms_fairy_tales,2,30679.2,148.4,0.005
jane_eyre,0,148.3,147.6,0.995
jane_eyre,1,148.3,148.6,1.002
jane_eyre,2,148.3,147.5,0.995
king_james_bible,0,163.3,164.7,1.009
king_james_bible,1,163.3,164.6,1.008
king_james_bible,2,163.3,164.9,1.01
les_miserables,0,277.1,287.2,1.036
les_miserables,1,277.1,285.0,1.028
les_miserables,2,277.1,288.1,1.04
moby_dick,0,192.6,200.1,1.039
moby_dick,1,192.6,199.3,1.034
moby_dick,2,192.6,201.6,1.047
origin_of_species,0,89.7,209.2,2.331
origin_of_species,1,89.7,88.6,0.987
origin_of_species,2,89.7,183.9,2.049
pride_and_prejudice,0,41561.5,43988.9,1.058
pride_and_prejudice,1,41561.5,200.0,0.005
pride_and_prejudice,2,41561.5,192.4,0.005
principia_ethica,0,46.2,45.7,0.989
principia_ethica,1,46.2,45.6,0.988
principia_ethica,2,46.2,45.0,0.975
shakespeare,0,304.5,307.5,1.01
shakespeare,1,304.5,305.5,1.003
shakespeare,2,304.5,306.2,1.006
the_iliad,0,146.5,150.7,1.029
the_iliad,1,146.5,151.7,1.036
the_iliad,2,146.5,149.4,1.02
ulysses,0,274.1,309.5,1.129
ulysses,1,274.1,309.6,1.13
ulysses,2,274.1,310.8,1.134
war_and_peace,0,227.2,227.5,1.002
war_and_peace,1,227.2,4520.6,19.898
war_and_peace,2,227.2,4859.8,21.391
wealth_of_nations,0,124.4,288.9,2.323
wealth_of_nations,1,124.4,124.7,1.003
wealth_of_nations,2,124.4,125.1,1.006
