kind,corpus,rep,V,s_hat,s_over_V,b_head,b_tail,d_slope,w_gate,w_tail,wg_pinned,wt_pinned,rmse
real,war_and_peace,0,17445,227.2,0.01302,3.0,2.413,0.587,2.7106,0.569,False,False,0.11595
real,moby_dick,0,16956,192.6,0.01136,3.0,1.901,1.099,2.3985,0.455,False,False,0.1161
null,moby_dick,0,14128,2104.9,0.14899,1.165,1.152,0.013,0.5167,0.421,False,False,0.12782
null,moby_dick,1,14095,2095.6,0.14867,1.159,1.145,0.014,0.5258,0.4192,False,False,0.12767
null,moby_dick,2,14056,2050.0,0.14585,1.174,1.154,0.02,0.507,0.41,False,False,0.12765
real,shakespeare,0,24458,304.5,0.01245,3.0,2.399,0.601,2.6468,0.5946,False,False,0.1095
real,king_james_bible,0,12555,163.3,0.01301,3.0,2.69,0.31,2.5296,0.4848,False,False,0.11184
null,war_and_peace,1,16017,7626.6,0.47615,1.656,3.0,1.344,0.5924,1.5253,False,False,0.11315
null,war_and_peace,0,16129,7575.3,0.46967,1.682,3.0,1.318,0.6076,1.5151,False,False,0.11307
null,shakespeare,2,22161,10393.7,0.46901,1.583,3.0,1.417,0.4729,2.0787,False,False,0.11441
real,federalist_papers,0,8617,109.7,0.01273,3.0,2.733,0.267,3.0843,0.5252,False,False,0.11353
null,shakespeare,0,22191,10389.7,0.4682,1.572,3.0,1.428,0.5629,2.0779,False,False,0.11403
null,war_and_peace,2,15959,7510.0,0.47058,1.66,3.0,1.34,0.626,1.502,False,False,0.11205
real,grimms_fairy_tales,0,4746,58.0,0.01222,3.0,2.93,0.07,3.7776,0.6157,False,False,0.10798
null,grimms_fairy_tales,0,4107,32566.7,7.92956,1.542,0.5,1.042,0.05,9.899,True,False,0.08498
null,grimms_fairy_tales,1,4125,32929.3,7.98286,1.532,0.5,1.032,0.05,9.8691,True,False,0.08648
null,grimms_fairy_tales,2,4153,33224.9,8.00022,1.528,0.5,1.028,0.05,9.9265,True,False,0.08561
null,king_james_bible,0,11707,4646.3,0.39688,1.929,3.0,1.071,0.5353,0.9293,False,False,0.1072
null,shakespeare,1,22207,10713.6,0.48244,1.55,3.0,1.45,0.7566,2.1427,False,False,0.11371
null,king_james_bible,2,11710,4740.9,0.40486,1.928,3.0,1.072,0.5025,0.9482,False,False,0.10678
null,federalist_papers,1,7895,587.0,0.07435,1.518,1.185,0.333,0.2617,0.1179,False,False,0.10775
real,pride_and_prejudice,0,6729,79.2,0.01177,3.0,2.646,0.354,3.0556,0.4196,False,False,0.10812
null,federalist_papers,0,7884,739.0,0.09373,1.526,1.312,0.214,0.2675,0.1478,False,False,0.10764
null,federalist_papers,2,7894,678.7,0.08597,1.503,1.247,0.256,0.2695,0.1358,False,False,0.1079
null,pride_and_prejudice,1,5737,44350.9,7.73068,1.407,0.5,0.907,0.05,9.8508,True,False,0.08619
null,pride_and_prejudice,0,5809,202.9,0.03493,1.402,0.5,0.902,0.1041,0.05,False,True,0.11118
null,pride_and_prejudice,2,5780,199.8,0.03456,1.413,0.5,0.913,0.1218,0.05,False,True,0.11181
null,canterbury_tales,0,14642,2427.6,0.16579,1.238,1.229,0.009,0.5005,0.4861,False,False,0.12727
null,canterbury_tales,1,14640,2218.1,0.15151,1.241,1.193,0.048,0.4916,0.4436,False,False,0.12705
null,canterbury_tales,2,14629,2624.1,0.17938,1.238,1.267,0.029,0.5017,0.5249,False,False,0.12674
null,don_quixote,1,13878,7583.8,0.54646,1.463,3.0,1.537,0.4666,1.5168,False,False,0.11583
null,don_quixote,0,13930,7388.6,0.53041,1.462,2.979,1.517,0.5605,1.4777,False,False,0.11648
null,arabian_nights_vol1,2,11123,1121.1,0.10079,1.151,0.686,0.465,0.05,0.2256,True,False,0.12748
null,arabian_nights_vol1,0,11209,1040.7,0.09284,1.16,0.77,0.39,0.4109,0.2083,False,False,0.12825
real,arabian_nights_vol1,0,13883,142.0,0.01022,3.0,1.939,1.061,3.3233,1.4457,False,False,0.10594
null,don_quixote,2,13907,6613.0,0.47552,1.459,2.768,1.309,0.513,1.3226,False,False,0.11604
null,aesops_fables,0,3575,25313.6,7.08072,1.092,0.5,0.592,0.05,9.9523,True,False,0.08716
null,aesops_fables,2,3550,110.0,0.03098,1.103,0.5,0.603,0.1015,0.05,False,True,0.12093
null,aesops_fables,1,3607,108.5,0.03008,1.111,0.5,0.611,0.1313,0.05,False,True,0.12189
null,complete_sherlock_holmes,0,6458,351.9,0.05449,1.274,0.5,0.774,10.0,0.0882,True,False,0.12542
null,arabian_nights_vol1,1,11241,1011.3,0.08996,1.157,0.727,0.43,0.399,0.2023,False,False,0.12862
real,aesops_fables,0,4394,23427.0,5.3316,1.097,0.5,0.597,0.05,10.0,True,True,0.07753
real,complete_sherlock_holmes,0,7817,86.1,0.01101,3.0,2.301,0.699,2.9016,0.5817,False,False,0.10809
null,complete_sherlock_holmes,1,6404,202.6,0.03164,1.236,0.5,0.736,0.05,0.05,True,True,0.11728
real,canterbury_tales,0,17653,198.7,0.01126,3.0,1.952,1.048,3.1733,0.9737,False,False,0.11106
null,complete_sherlock_holmes,2,6433,206.9,0.03216,1.203,0.5,0.703,0.1326,0.05,False,True,0.11716
null,king_james_bible,1,11705,4631.8,0.39571,1.915,3.0,1.085,0.5816,0.9264,False,False,0.10563
null,dubliners,1,5649,77.7,0.01376,3.0,2.213,0.787,3.1056,0.4057,False,False,0.13143
null,dubliners,0,5695,171.3,0.03009,1.092,0.5,0.592,0.05,0.05,True,True,0.12117
null,dubliners,2,5647,169.4,0.03,1.102,0.5,0.602,0.05,0.05,True,True,0.12063
null,jane_eyre,0,10570,1072.4,0.10145,1.231,0.907,0.324,0.4219,0.2145,False,False,0.12359
real,dubliners,0,7157,36458.5,5.0941,1.151,0.5,0.651,0.05,10.0,True,True,0.08319
real,jane_eyre,0,12541,148.3,0.01183,3.0,2.073,0.927,2.9777,0.6687,False,False,0.11482
null,jane_eyre,2,10574,1068.8,0.10108,1.219,1.014,0.205,0.3907,0.2138,False,False,0.12347
null,the_iliad,2,10836,1690.3,0.15599,1.464,1.379,0.085,0.4311,0.3381,False,False,0.11744
real,the_iliad,0,12300,146.5,0.01191,3.0,2.462,0.538,4.1664,1.657,False,False,0.10842
null,the_iliad,0,10820,1930.8,0.17845,1.457,1.48,0.023,0.433,0.3863,False,False,0.11677
null,the_iliad,1,10756,1872.9,0.17413,1.447,1.477,0.03,0.4518,0.3746,False,False,0.11646
real,democracy_in_america,0,9301,116.1,0.01248,3.0,2.687,0.313,3.1985,0.5734,False,False,0.1124
real,origin_of_species,0,6887,89.7,0.01303,3.0,2.98,0.02,3.8876,0.678,False,False,0.10936
null,origin_of_species,1,6249,243.7,0.039,1.683,0.5,1.183,0.0669,0.05,False,True,0.10214
null,jane_eyre,1,10548,905.4,0.08584,1.224,0.944,0.28,0.3752,0.1811,False,False,0.12363
null,origin_of_species,2,6254,238.4,0.03813,1.664,0.5,1.164,0.095,0.05,False,True,0.10259
real,wealth_of_nations,0,9478,124.4,0.01312,3.0,2.879,0.121,3.4702,0.7062,False,False,0.10973
null,origin_of_species,0,6228,989.6,0.15889,1.652,0.5,1.152,0.05,0.1979,True,False,0.09775
null,democracy_in_america,0,8458,1080.9,0.1278,1.477,1.463,0.014,0.3458,0.2162,False,False,0.10954
real,don_quixote,0,15574,192.8,0.01238,3.0,2.278,0.722,2.6604,0.5373,False,False,0.11256
null,democracy_in_america,2,8450,1078.0,0.12758,1.488,1.429,0.059,0.3162,0.2157,False,False,0.10991
null,democracy_in_america,1,8488,989.8,0.11661,1.494,1.314,0.18,0.3142,0.1981,False,False,0.11029
null,wealth_of_nations,2,8761,2964.5,0.33837,1.87,2.74,0.871,0.3029,0.5929,False,False,0.10433
null,wealth_of_nations,1,8784,2996.5,0.34113,1.879,2.712,0.832,0.2978,0.5993,False,False,0.10534
null,wealth_of_nations,0,8742,3039.4,0.34768,1.871,2.779,0.908,0.3213,0.6079,False,False,0.105
real,decline_and_fall_vol1,0,15983,181.4,0.01135,3.0,2.514,0.486,2.8939,0.6169,False,False,0.1093
real,les_miserables,0,22677,277.1,0.01222,3.0,2.286,0.714,2.6936,0.5995,False,False,0.1124
null,emile,0,9807,993.2,0.10127,1.433,1.181,0.251,0.3367,0.1986,False,False,0.11625
null,emile,1,9781,1073.7,0.10977,1.448,1.201,0.248,0.3748,0.2148,False,False,0.11661
null,emile,2,9760,1041.9,0.10675,1.441,1.214,0.227,0.3591,0.2084,False,False,0.11599
real,emile,0,11174,132.1,0.01182,3.0,2.433,0.567,2.6198,0.4516,False,False,0.10817
null,ulysses,0,22659,314.2,0.01387,3.0,1.553,1.447,2.085,0.4029,False,False,0.13582
real,ulysses,0,28990,274.1,0.00945,3.0,1.524,1.476,1.9965,0.4464,False,False,0.10796
null,ulysses,2,22482,3564.6,0.15855,1.021,1.081,0.06,0.6938,0.713,False,False,0.13558
null,ulysses,1,22613,3470.3,0.15347,1.023,1.068,0.045,0.6517,0.6941,False,False,0.13616
real,collected_poe,0,9312,101.0,0.01084,3.0,2.154,0.846,3.2396,0.9224,False,False,0.11028
null,collected_poe,0,7645,238.7,0.03123,1.104,0.5,0.604,0.1222,0.05,False,True,0.11954
null,collected_poe,1,7692,241.5,0.03139,1.095,0.5,0.595,0.05,0.05,True,True,0.11938
real,principia_ethica,0,3814,46.2,0.0121,1.678,3.0,1.322,3.3825,1.0158,False,False,0.102
null,principia_ethica,0,3394,27494.5,8.10091,1.789,0.5,1.289,0.05,9.8732,True,False,0.08589
null,principia_ethica,1,3378,27608.9,8.17316,1.764,0.5,1.264,0.05,9.9262,True,False,0.08474
null,principia_ethica,2,3380,27591.6,8.16319,1.746,0.5,1.246,0.05,9.8729,True,False,0.08461
real,critique_of_pure_reason,0,6537,72.7,0.01112,0.889,2.44,1.551,0.7643,0.2138,False,False,0.10291
null,critique_of_pure_reason,0,5733,209.3,0.03651,1.641,0.5,1.141,0.1087,0.05,False,True,0.10661
null,critique_of_pure_reason,1,5718,210.6,0.03683,1.668,0.5,1.168,0.05,0.05,True,True,0.10434
null,collected_poe,2,7704,239.9,0.03114,1.089,0.5,0.589,0.1331,0.05,False,True,0.11978
null,critique_of_pure_reason,2,5739,209.8,0.03656,1.641,0.5,1.141,0.0913,0.05,False,True,0.10646
null,les_miserables,0,20692,10645.6,0.51448,1.464,3.0,1.536,0.3386,2.1291,False,False,0.11562
null,decline_and_fall_vol1,0,14380,7536.0,0.52406,1.489,3.0,1.511,0.6248,1.5074,False,False,0.11567
null,decline_and_fall_vol1,1,14400,7429.6,0.51594,1.508,3.0,1.492,0.5807,1.4859,False,False,0.11536
null,decline_and_fall_vol1,2,14408,7397.4,0.51342,1.482,3.0,1.518,0.6249,1.4795,False,False,0.11482
null,les_miserables,1,20521,10501.8,0.51176,1.481,3.0,1.519,0.1705,2.1004,False,False,0.11607
null,les_miserables,2,20662,10605.5,0.51328,1.456,3.0,1.544,0.246,2.1211,False,False,0.1153
