corpus,panel,V,lam_free,lam_frozen,rmse_zm,rmse_frozen,rmse_free,train_win,impr_pct,retained_pct,ho_zm_AB,ho_fz_AB,ho_zm_BA,ho_fz_BA,ho_wins
Complete Works of Shakespeare,en,24458,23.54,20.29,0.1844,0.1588,0.1577,True,13.89,95.7,0.1787,0.1613,0.1791,0.1618,2
War and Peace,en,17445,23.71,20.29,0.183,0.1486,0.1467,True,18.8,94.9,0.1742,0.1554,0.171,0.1515,2
Moby Dick,en,16956,23.63,20.29,0.1615,0.158,0.157,True,2.19,77.2,0.1675,0.1607,0.167,0.1602,2
King James Bible,en,12555,23.76,20.29,0.1882,0.1521,0.1501,True,19.21,94.7,0.1788,0.1576,0.1749,0.1536,2
Federalist Papers,en,8617,21.32,20.29,0.1948,0.1502,0.15,True,22.86,99.4,0.1783,0.1553,0.1751,0.1543,2
Grimm's Fairy Tales,en,4746,15.65,20.62,0.164,0.1548,0.1494,True,5.61,63.2,0.162,0.1663,0.161,0.1642,0
Don Quixote,en,15574,24.42,20.29,0.1748,0.1551,0.1529,True,11.25,89.7,0.1649,0.1583,0.1655,0.1589,2
Pride and Prejudice,en,6729,17.75,20.62,0.166,0.1571,0.1557,True,5.37,86.8,0.1645,0.165,0.1655,0.1666,0
Canterbury Tales,en,17653,21.99,20.29,0.1665,0.1599,0.1597,True,3.98,96.7,0.1745,0.1651,0.1714,0.1634,2
Arabian Nights (Vol 1),en,13883,20.64,20.29,0.1821,0.1723,0.1722,True,5.43,99.9,0.186,0.1719,0.1859,0.1717,2
Aesop's Fables,en,4394,16.27,20.62,0.1674,0.1659,0.163,True,0.86,33.3,0.1723,0.1669,0.1746,0.1682,2
Complete Sherlock Holmes,en,7817,19.19,20.62,0.1673,0.1626,0.1623,True,2.85,94.9,0.1719,0.1666,0.1707,0.1673,2
Jane Eyre,en,12541,22.22,20.29,0.1612,0.1543,0.1539,True,4.29,94.1,0.1663,0.1617,0.1611,0.1567,2
Dubliners,en,7157,17.03,20.62,0.1748,0.1647,0.1632,True,5.76,87.0,0.1978,0.1781,0.1935,0.1752,2
The Iliad,en,12300,17.09,20.62,0.1824,0.1643,0.1622,True,9.89,89.5,0.1805,0.1683,0.1781,0.1663,2
Democracy in America,en,9301,20.61,20.31,0.1924,0.1533,0.1533,True,20.29,99.9,0.1759,0.1554,0.1761,0.1558,2
Origin of Species,en,6887,18.33,20.62,0.1806,0.1435,0.142,True,20.51,96.0,0.1754,0.1557,0.1765,0.1605,2
Wealth of Nations,en,9478,19.98,20.62,0.1814,0.1441,0.144,True,20.56,99.8,0.1761,0.1522,0.1753,0.1514,2
Les Miserables,en,22677,23.69,20.29,0.1884,0.1598,0.1582,True,15.2,94.8,0.1782,0.162,0.1809,0.1637,2
Decline and Fall Vol 1,en,15983,19.25,20.62,0.2097,0.1816,0.1813,True,13.4,98.9,0.1977,0.1741,0.1924,0.1702,2
Emile,en,11174,21.71,20.29,0.1788,0.1608,0.1605,True,10.05,98.3,0.1677,0.1618,0.17,0.1643,2
Ulysses,en,28990,24.24,20.29,0.1836,0.1685,0.1676,True,8.23,94.6,0.1996,0.1712,0.1993,0.1707,2
Collected Poe,en,9312,19.82,20.62,0.1726,0.1643,0.1642,True,4.84,98.8,0.1709,0.1648,0.1692,0.1636,2
Principia Ethica,en,3814,14.25,20.62,0.1855,0.173,0.1614,True,6.77,52.1,0.1843,0.1805,0.1852,0.1853,1
Critique of Pure Reason,en,6537,15.35,20.62,0.1757,0.1658,0.1614,True,5.68,69.8,0.1835,0.1779,0.1794,0.1739,2
Russian War and Peace,ml,25414,22.78,20.61,0.1971,0.1721,0.1717,True,12.7,98.7,0.2109,0.1741,0.213,0.1747,2
Mandarin Three Kingdoms,ml,37049,28.65,20.61,0.2451,0.1974,0.192,True,19.44,89.8,0.2429,0.1893,0.2417,0.189,2
Arabic 1001 Nights,ml,25016,23.2,20.61,0.2047,0.176,0.1755,True,14.04,98.3,0.215,0.1734,0.2175,0.1745,2
Latin Gallic Wars,ml,11126,16.01,20.61,0.1879,0.1765,0.174,True,6.05,82.1,0.1941,0.1763,0.1931,0.1757,2
French Les Miserables,ml,14406,21.89,20.61,0.176,0.1648,0.1647,True,6.37,99.0,0.1913,0.1685,0.1967,0.1705,2
Spanish Don Quixote,ml,13114,21.01,20.61,0.1917,0.1751,0.1751,True,8.63,99.9,0.2029,0.1782,0.2008,0.1778,2
Dutch Max Havelaar,ml,13772,21.11,20.61,0.1856,0.1706,0.1706,True,8.04,99.9,0.2011,0.1731,0.1966,0.1697,2
