corpus,tokens,V,zm_a,zm_b,zm_c,zm_rmse,canon_c,dc,canon_tokens,canon_rmse,cont_rmse,cont_minus_grid,cont_c,unit_winner,canon_family,unit_match,unit_is_rmse,unit_exp_rmse,unit_euclid_rmse,unit_xpow_rmse,free_winner,free_is_rmse,free_is_lam,free_exp_rmse,free_exp_lam,free_euclid_rmse,free_xpow_rmse,lzm_winner,lzm_is_rmse,lzm_is_lam,lzm_is_c,lzm_exp_rmse,lzm_exp_lam,lzm_exp_c,lzm_impr_pct,lzm_wls_lam,lzm_wls_wrmse,bic_zm,bic_lzm,lzm_bic_wins,alpha_function,alpha_content,exp_gap,hapax_ratio,ttr
Complete Works of Shakespeare,988670,24458,17.169686773929293,1.7243760149010967,244.84484777363113,0.18443042500644333,244.84484777363113,0.0,988670,0.18443042500644333,0.18443025243113265,-1.7257531068071152e-07,245.655787183625,is,is,True,0.18285154352815544,0.18461777340942817,0.18705984191927663,0.18636482479372088,is,0.18256031646734616,0.717476814797082,0.184280119348725,0.4001285609633434,0.18415503195805316,0.18427751136600098,exp,0.16946542839363682,4.5855334951222275,743.0381977564056,0.1576511654064508,23.536538775183317,2281.4253357390994,14.519979335869857,0.21820399229232543,0.1338077252237882,-82661.35164721734,-90325.55655936858,True,0.7938313523439416,1.4470392021220237,-0.6532078497780821,0.3593916101071224,0.02473828476640335
War and Peace,583368,17445,16.231613458416483,1.6808536990412744,209.1315494553841,0.182982301215073,209.1315494553841,0.0,583368,0.182982301215073,0.18298201288515695,-2.883299160538755e-07,208.2095545616796,is,is,True,0.1804368221506868,0.18318087497020397,0.1858462026750245,0.1847782449278452,is,0.18023741519203362,0.7882802024723532,0.1828047739459019,0.407179353633505,0.18262751504502597,0.18276939146619528,exp,0.16232128362737366,4.6505754442152245,734.1330491455712,0.1467310835889146,23.70973789574224,2606.9533203807878,19.81132458463816,0.6484971146398771,0.1375118610775767,-59226.68392407176,-66920.20643673527,True,0.9254331978751502,1.3718819422533293,-0.44644874437817905,0.33069647463456575,0.029903937137450116
Moby Dick,219054,16956,11.279174906124373,1.1821698837630732,10.497932011426359,0.16154871217642858,10.497932011426359,0.0,219054,0.16154871217642858,0.16154869175201106,-2.0424417518372096e-08,10.53893561425101,exp,exp,True,0.16684460743803692,0.16334575772525398,0.1693320314540932,0.16670359434462292,xpow,0.1615430747875914,-0.03342622113972985,0.1614795885614137,-0.2375099090595419,0.1614744361960891,0.16145722751250247,exp,0.16012466637139433,-1.6278365040378067,0.0,0.15696556376389803,23.629056253749866,1258.7808714820947,2.837007086460247,0.70189639642746,0.08817085808121719,-61790.61638187732,-62756.87480460479,True,0.8887216784380384,1.0730406987170753,-0.1843190202790369,0.43483132814343006,0.07740557122901202
King James Bible,792180,12555,17.701528134205873,1.8964020832729542,171.38167664978175,0.18823043086752939,171.38167664978175,0.0,792180,0.18823043086752944,0.18823003054890838,-4.003186210022047e-07,172.13668041272402,is,is,True,0.18548967111097903,0.18845643682086713,0.19144135346127036,0.18979894143960838,is,0.18520127436205153,0.7648640772141715,0.1880382397909191,0.4039504585764653,0.18784648768345275,0.18794913648705136,exp,0.16734200644774935,4.234696938254109,515.8354073591468,0.15006533845962508,23.761467134209898,1820.2310391850633,20.27572918576789,0.9470683383205003,0.19926482871534615,-41907.60536296481,-47587.99604673112,True,0.882346355384408,1.5067069604842245,-0.6243606050998165,0.3131819992035046,0.015848670756646217
Federalist Papers,192302,8617,13.92452194389607,1.5546985994629223,109.04140681413556,0.19477513427832335,109.04140681413556,0.0,192302,0.19477513427832338,0.19477512936630403,-4.912019319069927e-09,108.96968121701354,is,is,True,0.191627781272368,0.19516011034461783,0.19870611998493048,0.1961422320644002,is,0.19124051514629808,0.7520764935645967,0.1946105870750335,0.35356143315657257,0.1944163637692272,0.1944215997862198,exp,0.16741624151659082,4.2186483141422135,509.7893203646801,0.14995671870551752,21.323149342204403,1949.0585962830123,23.010337402084748,-0.4056909149643724,0.13165062339567854,-28166.08059349571,-32663.69330017538,True,0.9920055998340931,1.2088863098182803,-0.21688070998418718,0.34223047464314726,0.04480972636790049
Grimm's Fairy Tales,102114,4746,13.151959035818964,1.5802738767595033,45.98251274197185,0.1639896169456386,45.98251274197185,0.0,102114,0.1639896169456386,0.16398935601658574,-2.6092905286434487e-07,45.795124049443686,exp,exp,True,0.16733516871434562,0.16550485072433854,0.17299875265967102,0.1670564628992044,is,0.16275111444916202,0.3408667749213564,0.16396252387175517,0.11678959087370883,0.16391996814832704,0.16384646000962622,exp,0.155496705934027,2.011116580323732,111.04166905192949,0.14942519839584542,15.648863882455313,405.51620021722357,8.881305305214036,0.8507205348357505,0.1432852734771601,-17135.686772831286,-18010.045982568663,True,0.8783044350224424,1.2029534912095408,-0.3246490561870984,0.3579856721449642,0.0464774663611258
Don Quixote,433304,15574,14.1177993388413,1.484156070744384,65.66394188576379,0.1747594754574325,65.66394188576379,0.0,433304,0.17475947545743248,0.17475935698607337,-1.184713591395603e-07,65.93242611275427,exp,exp,True,0.17692787402335705,0.1763356841530792,0.1814704579540708,0.17916885732189458,is,0.17438368069862292,0.2770066325911856,0.17472275066622484,-0.17723882179488493,0.17474722956466973,0.17472613874869355,exp,0.16633187815587325,3.8111876457777365,315.8463501364508,0.1528582830594717,24.415198857386706,1783.7476864175383,12.532191654063105,0.3373603334265762,0.11436761639105764,-54303.88790628109,-58464.93196716819,True,0.9085218293214848,1.2835587965112414,-0.37503696718975654,0.3669577500963144,0.03594243302623562
Pride and Prejudice,128565,6729,12.590385498967535,1.455508538793374,34.11942084275591,0.16596695026783828,34.11942084275591,0.0,128565,0.16596695026783828,0.16596688761882905,-6.264900923036443e-08,34.030477634385754,exp,exp,True,0.17136127135128515,0.16783926418159995,0.17516439580197768,0.17040718698413196,is,0.16570732185457726,0.17530365301235248,0.1659622089059768,-0.05276207026256449,0.1659666817263858,0.16596666768362456,exp,0.1626759324575016,1.7967066891677725,87.31709016050246,0.15570161719679518,17.74531182295457,500.81886840373903,6.185167019383593,0.09211713768310438,0.1003275497208316,-24143.67602757645,-24994.11757580945,True,0.8506121061540513,1.180053374198335,-0.32944126804428375,0.3860900579580918,0.05233928363084821
Canterbury Tales,281189,17653,12.007722250862262,1.2564799906856905,15.250535352832612,0.1665283991638177,15.250535352832612,0.0,281189,0.1665283991638177,0.16652837984983526,-1.9313982441149236e-08,15.203834783348679,exp,exp,True,0.1709362396888017,0.1678242283162658,0.1730507465840518,0.17057069256526566,euclid,0.1665230659005942,0.0333826307819324,0.16652478875623727,-0.055529966786657003,0.1665228351017497,0.1665256659487125,exp,0.16579028116766847,2.0251471942768005,66.68437848472504,0.1596754378881006,21.98919389790361,767.799998721209,4.115190748321369,-1.1381292685000353,0.07499018345735918,-63259.82602854409,-64733.69794014591,True,0.9037186726930259,1.1394255703162566,-0.23570689762323072,0.445759927491078,0.06277983847163296
Arabian Nights (Vol 1),176048,13883,11.010429917704691,1.1880559525379195,6.42540318643635,0.18214133284804268,6.42540318643635,0.0,176048,0.18214133284804268,0.18214131799793867,-1.4850104007591014e-08,6.401167721970867,exp,exp,True,0.18624953256722648,0.1827868898965043,0.1873245230183248,0.18456996357404645,xpow,0.18210478315960357,0.08540550537232462,0.1820826232680229,0.2238859908986641,0.18209708886943757,0.1820410638545645,exp,0.18085904715556503,2.0342298118900937,39.87208881444294,0.17224254245043324,20.638993302880742,432.7359504429473,5.434675503263075,-0.7274540687826775,0.1285454426689316,-47256.11470799599,-48798.12164741898,True,0.9501902147433118,1.06821912860051,-0.11802891385719827,0.49701073255060146,0.07885917477051713
