corpus,V_half,V_full,growth,zm_full,zm_head,zm_seen,zm_tail,lzm_full,lzm_head,lzm_seen,lzm_tail,lzm_frozen_full,lzm_frozen_head,lzm_frozen_seen,lzm_frozen_tail
Complete Works of Shakespeare,18489,24458,1.323,0.2422,0.5074,0.2469,0.2271,0.2237,0.3037,0.2269,0.2135,0.2242,0.2977,0.2273,0.2144
War and Peace,12797,17445,1.363,0.2177,0.5357,0.2036,0.2525,0.1863,0.1838,0.1737,0.2173,0.1869,0.1773,0.1741,0.2184
Moby Dick,12135,16956,1.397,0.2578,0.1049,0.2642,0.2407,0.2948,0.167,0.2812,0.3263,0.2946,0.19,0.2811,0.3262
King James Bible,8871,12555,1.415,0.2005,0.5329,0.1942,0.215,0.1693,0.2587,0.16,0.1899,0.1695,0.2555,0.1602,0.1899
Federalist Papers,7015,8617,1.228,0.3301,0.3877,0.3169,0.3825,0.2863,0.1519,0.2838,0.2969,0.2861,0.1522,0.2837,0.2962
Grimm's Fairy Tales,3487,4746,1.361,0.2165,0.2626,0.2112,0.2305,0.2076,0.125,0.2013,0.2241,0.2062,0.3531,0.2052,0.2089
Don Quixote,11567,15574,1.346,0.2417,0.2572,0.2357,0.2582,0.2305,0.2876,0.2242,0.248,0.2315,0.2831,0.2249,0.2498
Pride and Prejudice,5112,6729,1.316,0.2615,0.0991,0.2645,0.2517,0.2697,0.1619,0.2668,0.2785,0.2687,0.3315,0.2675,0.2722
Canterbury Tales,12039,17653,1.466,0.2334,0.064,0.246,0.2039,0.2591,0.1803,0.2571,0.2634,0.2596,0.2069,0.2573,0.2644
Arabian Nights (Vol 1),8394,13883,1.654,0.2043,0.1287,0.2196,0.1783,0.2262,0.1662,0.2333,0.2151,0.2275,0.2382,0.234,0.2172
Aesop's Fables,3103,4394,1.416,0.2691,0.1211,0.2868,0.221,0.3071,0.0902,0.3036,0.3154,0.3155,0.2766,0.3097,0.3292
Complete Sherlock Holmes,5641,7817,1.386,0.266,0.0943,0.2795,0.2271,0.2941,0.1659,0.2928,0.2972,0.2951,0.2759,0.2937,0.2988
Jane Eyre,9301,12541,1.348,0.2689,0.0821,0.2724,0.2587,0.2917,0.1783,0.2821,0.3177,0.2915,0.2195,0.282,0.3174
Dubliners,4897,7157,1.462,0.2727,0.1178,0.3036,0.1891,0.3097,0.1682,0.3185,0.2896,0.3163,0.2908,0.3224,0.3026
The Iliad,8856,12300,1.389,0.2587,0.5257,0.2642,0.2441,0.2378,0.0724,0.2435,0.2226,0.2361,0.2458,0.2437,0.2153
Democracy in America,6844,9301,1.359,0.2624,0.4219,0.2455,0.3046,0.2179,0.1141,0.2092,0.2404,0.2155,0.1295,0.208,0.2353
Origin of Species,5337,6887,1.29,0.2474,0.4155,0.2332,0.2911,0.2127,0.1238,0.2024,0.245,0.209,0.2621,0.202,0.2316
Wealth of Nations,6628,9478,1.43,0.1934,0.5216,0.1842,0.2131,0.1626,0.0923,0.1487,0.1912,0.1619,0.2304,0.1477,0.191
Les Miserables,16863,22677,1.345,0.2611,0.5467,0.2615,0.2602,0.2343,0.2054,0.2361,0.2291,0.2361,0.2383,0.2374,0.2322
Decline and Fall Vol 1,11349,15983,1.408,0.2873,0.658,0.2974,0.2611,0.2462,0.1049,0.26,0.2085,0.2456,0.0913,0.2598,0.2068
Emile,8280,11174,1.35,0.2557,0.1758,0.2569,0.2522,0.2508,0.254,0.2497,0.2537,0.2498,0.274,0.2491,0.2516
Ulysses,17237,28990,1.682,0.2175,0.142,0.2485,0.1616,0.272,0.3215,0.2773,0.2641,0.2678,0.2446,0.2755,0.2561
Collected Poe,6479,9312,1.437,0.2719,0.0983,0.2844,0.2408,0.2993,0.1402,0.2955,0.3077,0.2998,0.1983,0.2959,0.3085
Principia Ethica,3015,3814,1.265,0.27,0.3377,0.2782,0.2365,0.2512,0.1368,0.2594,0.2176,0.254,0.3589,0.2659,0.2028
Critique of Pure Reason,4518,6537,1.447,0.1898,0.3522,0.195,0.1775,0.1819,0.1254,0.1841,0.1768,0.1849,0.3422,0.1891,0.1749
