corpus,zm_naive,zm_aware,lzm_naive,lzm_aware,c_half,c_pred,lam_half,lam_pred
Complete Works of Shakespeare,0.2422,0.2448,0.2237,0.2383,1104.4,1665.8,21.4,23.7
War and Peace,0.2177,0.2224,0.1863,0.2404,1123.3,1745.8,20.9,23.4
Moby Dick,0.2578,0.2578,0.2948,0.2896,307.6,505.4,19.8,20.3
King James Bible,0.2005,0.2175,0.1693,0.2999,956.9,1432.7,20.8,23.4
Federalist Papers,0.3301,0.3301,0.2863,0.3049,1166.3,1878.8,20.5,22.2
Grimm's Fairy Tales,0.2165,0.2183,0.2076,0.2076,207.2,308.0,13.1,14.6
Don Quixote,0.2417,0.2422,0.2305,0.2326,809.0,1310.1,21.7,24.4
Pride and Prejudice,0.2615,0.2616,0.2697,0.2591,178.9,290.3,14.5,16.7
Canterbury Tales,0.2334,0.2334,0.2591,0.2531,342.2,526.7,19.7,20.7
Arabian Nights (Vol 1),0.2043,0.2043,0.2262,0.2225,233.2,354.1,18.2,19.0
Aesop's Fables,0.2691,0.269,0.3071,0.3033,70.1,102.8,14.6,14.6
Complete Sherlock Holmes,0.266,0.266,0.2941,0.2867,147.8,237.2,16.4,17.4
Jane Eyre,0.2689,0.2689,0.2917,0.2823,297.5,476.7,18.6,19.6
Dubliners,0.2727,0.2727,0.3097,0.305,104.5,143.4,16.7,17.5
The Iliad,0.2587,0.26,0.2378,0.2373,714.3,1042.5,16.4,17.3
Democracy in America,0.2624,0.264,0.2179,0.2636,934.2,1447.6,19.4,20.6
Origin of Species,0.2474,0.2511,0.2127,0.2376,566.4,812.1,16.6,17.9
Wealth of Nations,0.1934,0.2101,0.1626,0.2585,727.4,1013.5,17.4,19.0
Les Miserables,0.2611,0.2623,0.2343,0.2451,1438.1,2167.0,22.3,23.7
Decline and Fall Vol 1,0.2873,0.2883,0.2462,0.2556,1416.3,1993.3,19.5,19.8
Emile,0.2557,0.2561,0.2508,0.2459,503.4,828.0,19.3,22.0
Ulysses,0.2175,0.2175,0.272,0.2692,266.8,374.2,22.5,22.2
Collected Poe,0.2719,0.2718,0.2993,0.2881,272.8,443.6,18.2,19.1
Principia Ethica,0.27,0.2722,0.2512,0.2512,223.5,307.2,13.0,14.2
Critique of Pure Reason,0.1898,0.1948,0.1819,0.1946,195.8,260.9,13.6,14.3
