corpus,split,V_train,unseen_mass,nll_zm,nll_lzm_frozen,nll_lzm_free,nll_moe
Complete Works of Shakespeare,0,22498,0.0107,6.82968,6.9028,6.82218,6.82589
Complete Works of Shakespeare,1,22553,0.0104,6.81904,6.89184,6.81107,6.81475
Complete Works of Shakespeare,2,22582,0.0103,6.82212,6.89637,6.81463,6.81858
War and Peace,0,16146,0.0121,6.60648,6.63971,6.59463,6.59624
War and Peace,1,16123,0.0124,6.619,6.65287,6.60727,6.60883
War and Peace,2,16208,0.0115,6.61573,6.64858,6.60388,6.60553
Moby Dick,0,15387,0.0374,6.71891,6.75629,6.71659,6.7147
Moby Dick,1,15367,0.0385,6.71362,6.75186,6.71018,6.70893
Moby Dick,2,15373,0.0378,6.72168,6.7578,6.71832,6.71657
King James Bible,0,11695,0.0059,6.00902,6.02907,5.98543,5.99001
King James Bible,1,11675,0.006,6.00808,6.02966,5.98525,5.98966
King James Bible,2,11704,0.0058,5.99585,6.01797,5.97301,5.97745
Federalist Papers,0,7985,0.0181,6.12673,6.14579,6.12058,6.12193
Federalist Papers,1,7941,0.0192,6.07356,6.09284,6.0682,6.0694
Federalist Papers,2,7988,0.0177,6.09511,6.11262,6.08902,6.09041
Grimm's Fairy Tales,0,4390,0.0191,5.96925,6.07403,5.95032,5.95342
Grimm's Fairy Tales,1,4367,0.0197,5.96798,6.08388,5.95484,5.95539
Grimm's Fairy Tales,2,4384,0.0198,5.97398,6.08186,5.95633,5.95861
Don Quixote,0,14330,0.0153,6.39224,6.46038,6.38865,6.38996
Don Quixote,1,14297,0.016,6.40419,6.47094,6.40037,6.40142
Don Quixote,2,14296,0.0158,6.38707,6.45379,6.38344,6.38459
Pride and Prejudice,0,6193,0.0217,6.2165,6.3652,6.21405,6.21593
Pride and Prejudice,1,6181,0.0231,6.2316,6.38462,6.2286,6.23179
Pride and Prejudice,2,6174,0.0227,6.22856,6.37683,6.22589,6.22842
Canterbury Tales,0,15924,0.0318,6.63395,6.69914,6.63198,6.63602
Canterbury Tales,1,15986,0.031,6.63212,6.69733,6.62991,6.63309
Canterbury Tales,2,15981,0.0311,6.62392,6.68792,6.62177,6.62517
Arabian Nights (Vol 1),0,12470,0.0417,6.44699,6.48978,6.44221,6.44207
Arabian Nights (Vol 1),1,12351,0.0441,6.42283,6.46446,6.41816,6.4182
Arabian Nights (Vol 1),2,12447,0.0421,6.4424,6.48208,6.43752,6.43742
Aesop's Fables,0,3948,0.0561,5.91245,5.98861,5.90842,5.90757
Aesop's Fables,1,3933,0.0564,5.86779,5.943,5.86411,5.86273
Aesop's Fables,2,3956,0.0542,5.89592,5.97074,5.89237,5.89111
Complete Sherlock Holmes,0,7068,0.0368,6.23393,6.34234,6.23411,6.23519
Complete Sherlock Holmes,1,7073,0.0373,6.23127,6.33766,6.23204,6.23344
Complete Sherlock Holmes,2,7053,0.0388,6.22139,6.33097,6.22199,6.22324
Jane Eyre,0,11426,0.031,6.49097,6.57102,6.48985,6.49466
Jane Eyre,1,11371,0.0332,6.49574,6.57271,6.49467,6.49942
Jane Eyre,2,11446,0.0303,6.5109,6.58987,6.50988,6.51491
Dubliners,0,6356,0.0587,6.25061,6.35299,6.24965,6.2514
Dubliners,1,6408,0.0548,6.22929,6.32092,6.22849,6.22716
Dubliners,2,6402,0.0563,6.24011,6.33752,6.23916,6.23865
The Iliad,0,11216,0.0291,6.75602,6.75138,6.73229,6.74448
The Iliad,1,11228,0.0288,6.7853,6.78015,6.75964,6.7729
The Iliad,2,11249,0.0284,6.75754,6.75458,6.73304,6.74475
Democracy in America,0,8533,0.0221,6.19078,6.19883,6.18409,6.18579
Democracy in America,1,8601,0.0203,6.19981,6.20821,6.19295,6.19466
Democracy in America,2,8534,0.022,6.18285,6.19069,6.1763,6.17797
Origin of Species,0,6373,0.0176,6.304,6.36273,6.29101,6.29302
Origin of Species,1,6408,0.0166,6.30119,6.35389,6.28774,6.29001
Origin of Species,2,6368,0.0181,6.30172,6.35703,6.28793,6.29021
Wealth of Nations,0,8790,0.0096,6.13593,6.14778,6.11282,6.12053
Wealth of Nations,1,8796,0.0101,6.12438,6.13666,6.10141,6.10905
Wealth of Nations,2,8829,0.0093,6.13503,6.14545,6.11135,6.1196
Les Miserables,0,20791,0.0175,6.69673,6.71595,6.68997,6.69112
Les Miserables,1,20734,0.018,6.69439,6.71593,6.68821,6.68934
Les Miserables,2,20824,0.0172,6.69161,6.71054,6.68476,6.68582
Decline and Fall Vol 1,0,14563,0.0282,6.56292,6.55058,6.55062,6.56173
Decline and Fall Vol 1,1,14489,0.0295,6.56014,6.54711,6.54716,6.55895
Decline and Fall Vol 1,2,14498,0.0295,6.54728,6.53464,6.53466,6.54592
Emile,0,10241,0.0195,6.36262,6.44837,6.35882,6.35959
Emile,1,10213,0.0205,6.35986,6.44501,6.35602,6.35658
Emile,2,10250,0.0196,6.36423,6.45371,6.36094,6.36199
Ulysses,0,25528,0.0643,6.97688,7.00662,6.97755,6.97776
Ulysses,1,25592,0.0631,6.99624,7.02553,6.99721,6.99655
Ulysses,2,25563,0.0639,6.98428,7.01338,6.9851,6.98479
Collected Poe,0,8402,0.0506,6.39487,6.43219,6.39283,6.39271
Collected Poe,1,8440,0.0491,6.39564,6.42721,6.3935,6.39296
Collected Poe,2,8403,0.051,6.40522,6.43952,6.40309,6.40274
Principia Ethica,0,3533,0.0151,5.8536,6.00528,5.84352,5.84649
Principia Ethica,1,3540,0.0146,5.84981,6.00545,5.8408,5.84425
