corpus,split,lam_mle,lam_loo,nll_frozen2,nll_zm,nll_moe
Complete Works of Shakespeare,0,-16.33,-6.99,6.82612,6.82968,6.82589
Complete Works of Shakespeare,1,-16.33,-6.99,6.81532,6.81904,6.81475
Complete Works of Shakespeare,2,-16.33,-6.99,6.81856,6.82212,6.81858
War and Peace,0,-15.2,-6.99,6.59941,6.60648,6.59624
War and Peace,1,-15.2,-6.99,6.612,6.619,6.60883
War and Peace,2,-15.2,-6.99,6.60863,6.61573,6.60553
Moby Dick,0,-7.35,-7.25,6.7148,6.71891,6.7147
Moby Dick,1,-7.35,-7.25,6.70918,6.71362,6.70893
Moby Dick,2,-7.35,-7.25,6.71689,6.72168,6.71657
King James Bible,0,-18.9,-6.99,5.99879,6.00902,5.99001
King James Bible,1,-18.9,-6.99,5.99815,6.00808,5.98966
King James Bible,2,-18.9,-6.99,5.98606,5.99585,5.97745
Federalist Papers,0,-7.86,-6.99,6.1207,6.12673,6.12193
Federalist Papers,1,-7.86,-6.99,6.06831,6.07356,6.0694
Federalist Papers,2,-7.86,-6.99,6.08914,6.09511,6.09041
Grimm's Fairy Tales,0,11.74,-7.6,5.96079,5.96925,5.95342
Grimm's Fairy Tales,1,11.74,-7.6,5.96198,5.96798,5.95539
Grimm's Fairy Tales,2,11.74,-7.6,5.96586,5.97398,5.95861
Don Quixote,0,-10.8,-6.99,6.38955,6.39224,6.38996
Don Quixote,1,-10.8,-6.99,6.40133,6.40419,6.40142
Don Quixote,2,-10.8,-6.99,6.38433,6.38707,6.38459
Pride and Prejudice,0,-11.07,-6.99,6.21486,6.2165,6.21593
Pride and Prejudice,1,-11.07,-6.99,6.22944,6.2316,6.23179
Pride and Prejudice,2,-11.07,-6.99,6.22667,6.22856,6.22842
Canterbury Tales,0,-5.36,-7.6,6.63122,6.63395,6.63602
Canterbury Tales,1,-5.36,-7.6,6.62866,6.63212,6.63309
Canterbury Tales,2,-5.36,-7.6,6.62075,6.62392,6.62517
Arabian Nights (Vol 1),0,-6.52,-7.6,6.44087,6.44699,6.44207
Arabian Nights (Vol 1),1,-6.52,-7.6,6.41703,6.42283,6.4182
Arabian Nights (Vol 1),2,-6.52,-7.6,6.43628,6.4424,6.43742
Aesop's Fables,0,-6.53,-7.6,5.90638,5.91245,5.90757
Aesop's Fables,1,-6.53,-7.6,5.86129,5.86779,5.86273
Aesop's Fables,2,-6.53,-7.6,5.88987,5.89592,5.89111
Complete Sherlock Holmes,0,-1.92,-7.6,6.23266,6.23393,6.23519
Complete Sherlock Holmes,1,-1.92,-7.6,6.23001,6.23127,6.23344
Complete Sherlock Holmes,2,-1.92,-7.6,6.21986,6.22139,6.22324
Jane Eyre,0,-3.8,-7.6,6.48903,6.49097,6.49466
Jane Eyre,1,-3.8,-7.6,6.4942,6.49574,6.49942
Jane Eyre,2,-3.8,-7.6,6.50943,6.5109,6.51491
Dubliners,0,-3.74,-7.6,6.24854,6.25061,6.2514
Dubliners,1,-3.74,-7.6,6.22551,6.22929,6.22716
Dubliners,2,-3.74,-7.6,6.23671,6.24011,6.23865
The Iliad,0,-8.57,-6.99,6.74236,6.75602,6.74448
The Iliad,1,-8.57,-6.99,6.77076,6.7853,6.7729
The Iliad,2,-8.57,-6.99,6.74268,6.75754,6.74475
Democracy in America,0,-6.63,-7.6,6.1839,6.19078,6.18579
Democracy in America,1,-6.63,-7.6,6.19266,6.19981,6.19466
Democracy in America,2,-6.63,-7.6,6.17618,6.18285,6.17797
Origin of Species,0,-12.85,-6.99,6.29512,6.304,6.29302
Origin of Species,1,-12.85,-6.99,6.29181,6.30119,6.29001
Origin of Species,2,-12.85,-6.99,6.2923,6.30172,6.29021
Wealth of Nations,0,16.27,-7.6,6.12186,6.13593,6.12053
Wealth of Nations,1,16.27,-7.6,6.11042,6.12438,6.10905
Wealth of Nations,2,16.27,-7.6,6.12082,6.13503,6.1196
Les Miserables,0,-10.21,-6.99,6.69099,6.69673,6.69112
Les Miserables,1,-10.21,-6.99,6.68912,6.69439,6.68934
Les Miserables,2,-10.21,-6.99,6.6858,6.69161,6.68582
Decline and Fall Vol 1,0,-2.51,-7.6,6.56475,6.56292,6.56173
Decline and Fall Vol 1,1,-2.51,-7.6,6.5618,6.56014,6.55895
Decline and Fall Vol 1,2,-2.51,-7.6,6.54758,6.54728,6.54592
Emile,0,-11.31,-6.99,6.36001,6.36262,6.35959
Emile,1,-11.31,-6.99,6.35725,6.35986,6.35658
Emile,2,-11.31,-6.99,6.362,6.36423,6.36199
Ulysses,0,-0.21,-7.6,6.97421,6.97688,6.97776
Ulysses,1,-0.21,-7.6,6.99282,6.99624,6.99655
Ulysses,2,-0.21,-7.6,6.98126,6.98428,6.98479
Collected Poe,0,-3.9,-7.6,6.39042,6.39487,6.39271
Collected Poe,1,-3.9,-7.6,6.39165,6.39564,6.39296
Collected Poe,2,-3.9,-7.6,6.40095,6.40522,6.40274
Principia Ethica,0,-14.77,-6.99,5.84785,5.8536,5.84649
Principia Ethica,1,-14.77,-6.99,5.84454,5.84981,5.84425
Principia Ethica,2,-14.77,-6.99,5.83193,5.8373,5.83118
Critique of Pure Reason,0,-16.7,-6.99,5.84416,5.85403,5.83938
Critique of Pure Reason,1,-16.7,-6.99,5.84031,5.85033,5.83545
Critique of Pure Reason,2,-16.7,-6.99,5.85116,5.86056,5.84708
