corpus,V,bic_winner,rmse_zm,rmse_lzm_free,rmse_lzm_frozen,rmse_lognormal,rmse_cubic,rmse_zm_cutoff,rmse_yule,rmse_hard_break
Complete Works of Shakespeare,24458,hard_break,0.1844,0.1577,0.1586,0.1663,0.1649,0.183,0.2444,0.1567
War and Peace,17445,hard_break,0.183,0.1467,0.1483,0.1575,0.1501,0.1775,0.2423,0.1455
Moby Dick,16956,hard_break,0.1615,0.157,0.1578,0.1594,0.1592,0.1614,0.1652,0.1436
King James Bible,12555,hard_break,0.1882,0.1501,0.1517,0.16,0.1527,0.1821,0.2689,0.149
Federalist Papers,8617,hard_break,0.1948,0.15,0.1501,0.168,0.1544,0.1874,0.238,0.1447
Grimm's Fairy Tales,4746,lzm_free,0.164,0.1494,0.1547,0.1529,0.1528,0.1628,0.2197,0.1518
Don Quixote,15574,hard_break,0.1748,0.1529,0.1548,0.1576,0.1562,0.1701,0.2006,0.15
Pride and Prejudice,6729,lzm_free,0.166,0.1557,0.157,0.1582,0.1581,0.1651,0.1985,0.1563
Canterbury Tales,17653,hard_break,0.1665,0.1597,0.1598,0.1666,0.1638,0.166,0.1724,0.1441
Arabian Nights (Vol 1),13883,hard_break,0.1821,0.1722,0.1722,0.1841,0.1758,0.1761,0.1846,0.0833
Aesop's Fables,4394,hard_break,0.1674,0.163,0.1659,0.1684,0.1654,0.1663,0.1708,0.1202
Complete Sherlock Holmes,7817,hard_break,0.1673,0.1623,0.1626,0.1669,0.1651,0.1673,0.1755,0.1473
Jane Eyre,12541,hard_break,0.1612,0.1539,0.1542,0.1563,0.1563,0.1604,0.1694,0.1497
Dubliners,7157,hard_break,0.1748,0.1632,0.1647,0.1771,0.1633,0.1641,0.177,0.084
The Iliad,12300,hard_break,0.1824,0.1622,0.1643,0.1729,0.1723,0.1824,0.2296,0.1611
Democracy in America,9301,hard_break,0.1924,0.1533,0.1533,0.1687,0.1587,0.1874,0.2333,0.1492
Origin of Species,6887,lzm_free,0.1806,0.142,0.1435,0.1572,0.1461,0.1763,0.255,0.1423
Wealth of Nations,9478,lzm_free,0.1814,0.144,0.1441,0.1578,0.1483,0.1776,0.2744,0.1462
Les Miserables,22677,hard_break,0.1884,0.1582,0.1595,0.1691,0.1658,0.1862,0.2243,0.1548
Decline and Fall Vol 1,15983,hard_break,0.2097,0.1813,0.1816,0.1962,0.1925,0.2096,0.2489,0.1708
Emile,11174,hard_break,0.1788,0.1605,0.1607,0.1652,0.1648,0.1763,0.2056,0.1579
Ulysses,28990,hard_break,0.1836,0.1676,0.1684,0.1803,0.1681,0.1647,0.1838,0.1039
Collected Poe,9312,hard_break,0.1726,0.1642,0.1643,0.17,0.1697,0.1726,0.1757,0.1273
Principia Ethica,3814,hard_break,0.1855,0.1614,0.1729,0.1729,0.1708,0.1853,0.2768,0.1573
Critique of Pure Reason,6537,lzm_free,0.1757,0.1614,0.1657,0.1735,0.1722,0.1754,0.2343,0.1627
