corpus,V,tokens,k,k_over_V,M_k,M_half_k,M_2k
shakespeare,24458,988670,512.1,0.0209,0.7235,0.6434,0.802
war_and_peace,17445,583368,399.3,0.0229,0.7089,0.6257,0.7872
moby_dick,16956,219054,423.3,0.025,0.682,0.608,0.7504
king_james_bible,12555,792180,336.8,0.0268,0.7842,0.7027,0.8554
federalist_papers,8617,192302,208.9,0.0242,0.6724,0.5961,0.7498
grimms_fairy_tales,4746,102114,94.2,0.0198,0.5966,0.4921,0.703
don_quixote,15574,433304,358.8,0.023,0.7311,0.6552,0.802
pride_and_prejudice,6729,128565,188.8,0.0281,0.6717,0.5763,0.7605
canterbury_tales,17653,281189,204.1,0.0116,0.6211,0.5393,0.6982
arabian_nights_vol1,13883,176048,98.2,0.0071,0.5455,0.4626,0.6232
complete_sherlock_holmes,7817,105863,148.0,0.0189,0.629,0.5415,0.7113
jane_eyre,12541,189604,221.8,0.0177,0.6451,0.5611,0.7221
the_iliad,12300,194969,88.4,0.0072,0.4582,0.3832,0.5381
democracy_in_america,9301,187753,202.5,0.0218,0.6505,0.5765,0.7275
origin_of_species,6887,156024,132.3,0.0192,0.5887,0.5003,0.6815
wealth_of_nations,9478,380080,176.2,0.0186,0.6642,0.5712,0.753
les_miserables,22677,575614,462.2,0.0204,0.6988,0.626,0.7688
decline_and_fall_vol1,15983,262698,294.1,0.0184,0.6183,0.554,0.6909
emile,11174,252843,292.5,0.0262,0.709,0.6277,0.7846
ulysses,28990,268854,614.0,0.0212,0.6613,0.5937,0.7304
collected_poe,9312,91801,109.5,0.0118,0.5431,0.4697,0.6156
principia_ethica,3814,98676,45.5,0.0119,0.5036,0.4114,0.6093
critique_of_pure_reason,6537,209795,340.0,0.052,0.7963,0.7024,0.8772
