corpus,V,k_profile_min,bic_min,k_lo_d2,k_hi_d2,width_log10_d2,k_lo_d10,k_hi_d10,width_log10_d10,s_at_min,w_tail_at_min,w_gate_at_min
Complete Works of Shakespeare,24458,512.0969048918904,-108101.40890085271,512.0969048918904,521.0007309586913,0.007486181639448553,512.0969048918904,521.0007309586913,0.007486181639448553,304.4599528766846,0.594535819233197,2.646643907894001
War and Peace,17445,399.33160818921266,-75085.70964935004,399.33160818921266,399.33160818921266,0.0,376.0603093086394,399.33160818921266,0.026076188235187935,227.1902907446983,0.568926391213816,2.7103943877586034
Moby Dick,16956,423.40622775409474,-72936.24003554464,423.40622775409474,423.40622775409474,0.0,376.0603093086394,423.40622775409474,0.05149974272050777,192.63444045682485,0.4549636444381796,2.3984438821182077
King James Bible,12555,336.73410430578775,-54922.18484259036,336.73410430578775,336.73410430578775,0.0,336.73410430578775,336.73410430578775,0.0,163.28477950206366,0.48490716388437144,2.5297184671775614
Federalist Papers,8617,208.760943341056,-37414.61530845645,195.92769603435266,208.760943341056,0.027553419134678903,195.92769603435266,208.760943341056,0.027553419134678903,109.65816690003957,0.5252810470437917,3.084416684209344
Grimm's Fairy Tales,4746,94.19115163606668,-21051.085809196044,94.19115163606668,102.07847284895003,0.0349240572693021,73.68062997280774,102.07847284895003,0.14158083369466826,57.99137213471197,0.6156774933464826,3.7773720270764195
Don Quixote,15574,358.8562758582806,-67949.52577483926,358.8562758582806,376.0603093086394,0.020336953121835637,358.8562758582806,376.0603093086394,0.020336953121835637,192.8333131129501,0.5373552758740209,2.6604673141081374
Pride and Prejudice,6729,188.7356305528288,-29858.722247437487,188.7356305528288,195.92769603435266,0.016241935115087952,141.4213562373095,195.92769603435266,0.14158083369466826,79.19685322749302,0.4196179226758411,3.0554869250912704
Canterbury Tales,17653,204.06973809343242,-77502.92720838884,195.92769603435266,204.06973809343242,0.017682775573264788,195.92769603435266,204.06973809343242,0.017682775573264788,198.7134131188039,0.9737524778310043,3.1733450235673764
Arabian Nights (Vol 1),13883,98.18320419389575,-62245.80676980873,98.18320419389575,102.07847284895003,0.01689696300801153,98.18320419389575,102.07847284895003,0.01689696300801153,141.95141885424383,1.4457810785428535,3.3231744400529957
Aesop's Fables,4394,209.23104367329384,-19415.521683641855,195.92769603435266,209.23104367329384,0.02853028985303632,195.92769603435266,209.23104367329384,0.02853028985303632,43.76413699538858,0.2091665568696612,0.7344153215569618
Complete Sherlock Holmes,7817,147.95301378220583,-34701.67954500356,141.4213562373095,147.95301378220583,0.019608818272642384,141.4213562373095,147.95301378220583,0.019608818272642384,86.06233107967869,0.5816869077527999,2.9016249537955336
Jane Eyre,12541,221.77697916056016,-54202.64270446465,221.77697916056016,221.77697916056016,0.0,195.92769603435266,221.77697916056016,0.053820632097053345,148.30690398273813,0.6687209129824435,2.977494705497495
Dubliners,7157,522.3604258171179,-31484.904923581726,521.0007309586913,522.3604258171179,0.0011319346221358943,521.0007309586913,522.3604258171179,0.0011319346221358943,65.3788909258547,0.12516049779916583,0.4255200169222636
The Iliad,12300,88.40402540831631,-54569.83226284777,88.40402540831631,88.40402540831631,0.0,73.68062997280774,102.07847284895003,0.14158083369466826,146.4618952784701,1.656733328623882,4.166302614772443
Democracy in America,9301,202.443523167002,-40576.518237473305,195.92769603435266,202.443523167002,0.014208055293619497,195.92769603435266,202.443523167002,0.014208055293619497,116.08829555683555,0.5734354635839383,3.198548965475662
Origin of Species,6887,132.32899708731787,-30404.32481180479,132.32899708731787,141.4213562373095,0.02885997681048858,102.07847284895003,141.4213562373095,0.14158083369466826,89.72849211992552,0.6780712776105888,3.887919586872088
Wealth of Nations,9478,176.1545925000518,-41804.66750314453,176.1545925000518,176.1545925000518,0.0,176.1545925000518,195.92769603435266,0.04620186143527726,124.38464467272836,0.7061107116619272,3.4701339796334096
Les Miserables,22677,462.1482981711422,-99041.06392422183,462.1482981711422,462.1482981711422,0.0,462.1482981711422,462.1482981711422,0.0,277.122704944508,0.5996402151455813,2.69377690308187
Decline and Fall Vol 1,15983,294.02892415302637,-70674.21000334428,294.02892415302637,294.02892415302637,0.0,271.4417616594907,294.02892415302637,0.03471338962001126,181.41820908061865,0.6170080362100708,2.8940573266539227
Emile,11174,292.5062061672901,-49619.85123747008,292.5062061672901,292.5062061672901,0.0,271.4417616594907,292.5062061672901,0.03245841981435665,132.0791651941298,0.4515431208272932,2.6198580271790073
Ulysses,28990,613.8970686190553,-128968.26692093271,613.8970686190553,613.8970686190553,0.0,613.8970686190553,613.8970686190553,0.0,274.054700728531,0.4464179986149951,1.9965352570320125
Collected Poe,9312,109.44873159574392,-40978.37044608376,102.07847284895003,109.44873159574392,0.0302765687455116,102.07847284895003,109.44873159574392,0.0302765687455116,100.9569555396059,0.9224132072402359,3.239484637168306
Principia Ethica,3814,45.43134641098472,-17338.583796655294,27.70836049762948,53.18295896944989,0.2831616673893365,20.0,102.07847284895003,0.7079041684733413,46.15587366688076,1.0159477390201417,3.3826460264320124
Critique of Pure Reason,6537,339.9821387997656,-29650.09330134231,339.9821387997656,339.9821387997656,0.0,20.0,376.0603093086394,1.274227503252014,72.70946642745211,0.21386260667733126,0.7642503688863719
