corpus,V,k,rmse,bic,w_gate,w_tail,s
Complete Works of Shakespeare,24458,141.4213562373095,0.11305352082385434,-106540.7493982818,3.450325863046982,2.21252903514067,312.89885686401936
Complete Works of Shakespeare,24458,376.0603093086394,0.10981621854905382,-107961.91152788175,2.834916603571644,0.8166823804108841,307.12182858423296
Complete Works of Shakespeare,24458,53.18295896944989,0.1173587620709811,-104712.55090552231,4.2566235143636515,5.946166841575593,316.2347471610182
Complete Works of Shakespeare,24458,195.92769603435266,0.11174496523821338,-107110.23746852488,3.2308905874878957,1.5889766512410761,311.32453433004514
Complete Works of Shakespeare,24458,73.68062997280774,0.11592037829174513,-105315.7842038106,3.9629713804111972,4.279436820608452,315.31160087126017
Complete Works of Shakespeare,24458,38.38766207332969,0.11874736045136067,-104137.17013338816,4.567844577465897,8.258183362761239,317.01235226927184
Complete Works of Shakespeare,24458,102.07847284895003,0.11446797602425487,-105932.53977483569,3.6937460766600263,3.07814151991886,314.21198556626314
Complete Works of Shakespeare,24458,512.0969048918904,0.10950349364353032,-108101.40890085271,2.646643907894001,0.594535819233197,304.4599528766846
War and Peace,17445,20.0,0.18188886704456744,-59377.19815747277,3.9726970026972808,9.999999999999998,199.99999999999997
War and Peace,17445,53.18295896944989,0.1216490835096567,-73411.88712938281,4.183325375241589,4.432073648585416,235.7107910022983
War and Peace,17445,27.70836049762948,0.12400585802504219,-72742.40834530213,4.775721750589117,8.548942821198244,236.87718956338256
Complete Works of Shakespeare,24458,20.0,0.26745651263224113,-64419.39500701468,9.999999999973806,9.999999999971461,199.99999999942924
Complete Works of Shakespeare,24458,521.0007309586913,0.10950468257182655,-108100.87780089522,2.6357356562396523,0.5840589762029563,304.29515352472515
War and Peace,17445,73.68062997280774,0.12043162882734239,-73762.82258039323,3.9142843767054787,3.1887269762523225,234.94741242155746
War and Peace,17445,38.38766207332969,0.12284903044038054,-73069.41835629284,4.472367405386704,6.156822071566857,236.3460051289262
War and Peace,17445,141.4213562373095,0.11810625120764204,-74443.09185552102,3.434494968964582,1.6468548438646629,232.9004455453232
Complete Works of Shakespeare,24458,27.70836049762948,0.15222943854557186,-91986.89397963251,9.999999999650107,9.999999999994994,277.0836049761561
War and Peace,17445,195.92769603435266,0.11711405278114691,-74737.4372656148,3.2126689204051257,1.181660357020624,231.5199912461815
War and Peace,17445,102.07847284895003,0.11923401249305488,-74111.5182171283,3.6657900125409877,2.2925955388209984,234.02465146316325
War and Peace,17445,376.0603093086394,0.11596235683756709,-75082.24263290872,2.7558576100399423,0.6053480786121896,227.64738568229058
War and Peace,17445,271.4417616594907,0.11634971784621986,-74965.89019504694,2.990518028116455,0.8466087715127855,229.8049763758077
War and Peace,17445,521.0007309586913,0.11622812390605905,-75002.37185578275,2.4983347987057978,0.43166097014217136,224.8956809704091
War and Peace,17445,721.8038036465944,0.1176813079777811,-74568.85154694118,2.214702203261501,0.30666298993482455,221.35051257259363
Moby Dick,16956,38.38766207332969,0.12131756991569913,-71444.41567640335,3.9059808431245755,5.25655579985323,201.78688771436708
Moby Dick,16956,53.18295896944989,0.12035234456367229,-71715.30496984113,3.556036851787813,3.782745924563575,201.1776212979184
