corpus,V,s_min,s_over_V_min,s_lo_d2,s_hi_d2,width_log10_d2
Complete Works of Shakespeare,24458,304.4599528766846,0.012448276755118351,304.4599528766846,304.4599528766846,0.0
War and Peace,17445,227.1902907446983,0.01302323248751495,227.1902907446983,227.1902907446983,0.0
Moby Dick,16956,192.63444045682485,0.011360842206701159,192.63444045682485,192.63444045682485,0.0
King James Bible,12555,163.28477950206366,0.013005557905381415,163.28477950206366,163.28477950206366,0.0
Federalist Papers,8617,109.65816690003957,0.012725794000236691,109.65816690003957,109.65816690003957,0.0
Grimm's Fairy Tales,4746,57.99137213471197,0.012218999606976817,57.99137213471197,57.99137213471197,0.0
Don Quixote,15574,192.8333131129501,0.012381746058363305,192.8333131129501,192.8333131129501,0.0
Pride and Prejudice,6729,79.19685322749302,0.011769483315127512,79.19685322749302,79.19685322749302,0.0
Canterbury Tales,17653,198.7134131188039,0.011256637008939212,198.7134131188039,198.7134131188039,0.0
Arabian Nights (Vol 1),13883,141.95141885424383,0.010224837488600723,141.95141885424383,141.95141885424383,0.0
Aesop's Fables,4394,43.76413699538858,0.009959976557894533,43.76413699538858,43.76413699538858,0.0
Complete Sherlock Holmes,7817,86.06233107967869,0.011009636827386296,86.06233107967869,86.06233107967869,0.0
Jane Eyre,12541,148.30690398273813,0.01182576381331139,148.30690398273813,148.30690398273813,0.0
Dubliners,7157,65.3788909258547,0.009134957513742449,65.3788909258547,65.3788909258547,0.0
The Iliad,12300,146.4618952784701,0.01190747116085123,146.4618952784701,146.4618952784701,0.0
Democracy in America,9301,116.08829555683555,0.012481270353385178,116.08829555683555,116.08829555683555,0.0
Origin of Species,6887,89.72849211992552,0.013028676073751346,89.72849211992552,89.72849211992552,0.0
Wealth of Nations,9478,124.38464467272836,0.013123511782309385,124.38464467272836,124.38464467272836,0.0
Les Miserables,22677,277.122704944508,0.01222043061006782,277.122704944508,277.122704944508,0.0
Decline and Fall Vol 1,15983,181.41820908061865,0.011350698184359548,181.41820908061865,181.41820908061865,0.0
Emile,11174,132.0791651941298,0.011820222408638788,132.0791651941298,132.0791651941298,0.0
Ulysses,28990,274.054700728531,0.009453421894740634,274.054700728531,274.054700728531,0.0
Collected Poe,9312,100.9569555396059,0.010841597459150119,100.9569555396059,100.9569555396059,0.0
Principia Ethica,3814,46.15587366688076,0.012101697343177965,46.15587366688076,46.15587366688076,0.0
Critique of Pure Reason,6537,72.70946642745211,0.011122757599426665,72.70946642745211,72.70946642745211,0.0
