corpus,V,s,s_over_V,rmse,bic,k,w_gate
Complete Works of Shakespeare,24458,48.916000000000004,0.002,0.2580225407767413,-66175.97028220873,999.9999999999999,9.999999999999998
Complete Works of Shakespeare,24458,70.73867738383863,0.0028922510991838514,0.2582410249688221,-66134.56750236146,999.9999999999999,9.999999999999998
Complete Works of Shakespeare,24458,147.93431794107087,0.00604850429066444,0.23569971755920607,-70602.2977661913,999.9999999999995,9.999999999999995
Complete Works of Shakespeare,24458,213.9315968360375,0.008746896591546222,0.1939190910296821,-80146.67009760806,999.9999999999999,9.999999999999998
War and Peace,17445,34.89,0.002,0.2362732859152881,-50250.20979407901,999.9999999959433,9.999999999999902
War and Peace,17445,50.45532042526228,0.002892251099183851,0.23816698102580822,-49971.68633018397,999.9999999999999,9.999999999999998
Complete Works of Shakespeare,24458,309.37194804959296,0.012649110640673521,0.10987496436240986,-107935.75107631939,423.18116525079864,2.832081042999571
Complete Works of Shakespeare,24458,304.4599528766846,0.012448276755118351,0.10950349369080088,-108101.4088797366,512.1413174009101,2.6465297990441705
Complete Works of Shakespeare,24458,102.29700870910943,0.004182558210365093,0.2519704098261965,-67337.00568698627,999.9999999999999,9.999999999999998
War and Peace,17445,72.96472797981905,0.004182558210365093,0.2350132125906124,-50436.78022713053,999.9999999999999,9.999999999999998
War and Peace,17445,152.58961103952385,0.008746896591546222,0.19504803722113329,-56940.13190129165,999.9999999999999,9.999999999999998
War and Peace,17445,220.66373512654957,0.012649110640673521,0.11691315092988265,-74797.34027860923,553.8448725139464,2.365468768103309
War and Peace,17445,319.1074652348884,0.018292202077093058,0.14673009310159493,-66871.60791574692,88.69665330658054,2.956635524537339
War and Peace,17445,227.1902907446983,0.01302323248751495,0.11595083449467763,-75085.70957277043,399.34337009911917,2.7105307891749084
War and Peace,17445,461.469458541689,0.026452820781982744,0.14678211697346025,-66859.23968814968,90.38501786948271,3.1403664502356574
War and Peace,17445,667.3427743534878,0.03825409999160148,0.14603663733062391,-67036.89115719243,999.9996496442657,2.0689720591776872
Moby Dick,16956,33.912,0.002,0.17586213108721252,-58853.2736307687,999.9999999999999,9.999999999999998
War and Peace,17445,965.0614363281373,0.05532023137449913,0.14358761577249876,-67626.95499231796,999.9999728732146,2.0563101066737253
Moby Dick,16956,49.04100963776138,0.002892251099183851,0.17665814757416776,-58700.12183428776,999.9999999999999,9.999999999999998
Moby Dick,16956,70.91945701495051,0.004182558210365093,0.17398167237461554,-59217.84049970982,999.9999999999999,9.999999999999998
Moby Dick,16956,192.63444045682485,0.011360842206701159,0.11609636816923646,-72936.24002684561,423.40508792846646,2.3983656257670947
Moby Dick,16956,214.4783200232602,0.012649110640673521,0.12341154230332645,-70864.07994157913,138.345431866015,3.7829568936909403
War and Peace,17445,1395.6000000000001,0.08,0.14149656762295815,-68138.78961930891,999.9937261458202,1.9963669669075559
Moby Dick,16956,148.31237860625774,0.008746896591546222,0.14954430407377847,-64350.66807848124,999.9999999994141,9.989644761331947
Moby Dick,16956,448.5340291792994,0.026452820781982744,0.1546396240362192,-63214.45647403394,999.9500563321607,2.0966822632193245
Moby Dick,16956,310.1625784191899,0.018292202077093058,0.15554800467028582,-63015.83416112594,999.9999998914,1.9359660808482844
Complete Works of Shakespeare,24458,935.618777594589,0.03825409999160148,0.1538496614944424,-91469.0176134703,999.8431713656089,2.2698276080755506
Moby Dick,16956,648.6365194575947,0.03825409999160148,0.1536111086971315,-63440.760180156976,999.9969134219086,2.1247760419320154
King James Bible,12555,25.11,0.002,0.22637185019252057,-37217.87944674997,999.9999999999999,9.999999999999998
King James Bible,12555,52.51201833113374,0.004182558210365093,0.22273032403901954,-37625.09513611195,999.9999999999999,9.999999999999998
King James Bible,12555,36.31221255025325,0.002892251099183851,0.22693225896309058,-37155.7936588039,999.9999999999999,9.999999999999998
King James Bible,12555,109.81728670686282,0.008746896591546222,0.18736621993955116,-41966.52959869142,999.9999999999999,9.999999999999998
King James Bible,12555,75.93897136929205,0.00604850429066444,0.2104346702204151,-39051.00366670847,999.9999999999999,9.999999999999998
King James Bible,12555,158.80958409365607,0.012649110640673523,0.1128211549630023,-54703.85912464384,462.83786648994874,2.239983588206938
King James Bible,12555,163.28477950206366,0.013005557905381415,0.11184445305950562,-54922.18483562327,336.74873861198876,2.5297070703222153
King James Bible,12555,229.65859707790335,0.018292202077093058,0.1484720384224552,-47808.83437907442,92.5368478264221,2.731514065395568
King James Bible,12555,332.1151649177934,0.026452820781982748,0.1476953727798638,-47940.53096858902,999.9996266133171,1.5128376682688933
King James Bible,12555,694.5455049068366,0.05532023137449914,0.14297264712361987,-48756.56899245604,999.978888960495,1.7032656340193302
King James Bible,12555,480.2802253945566,0.03825409999160148,0.14553768700147057,-48310.06957245245,999.9998528506806,1.6493733526297807
Federalist Papers,8617,17.234,0.002,0.19581317989568628,-28020.10766891436,999.9999999543277,9.999999999999998
Federalist Papers,8617,24.922527721667244,0.002892251099183851,0.19736796032613715,-27883.808020414992,999.9999999999995,9.999999999999998
Federalist Papers,8617,36.041104098716005,0.004182558210365093,0.195267659562338,-28068.18726051818,999.9999999999999,9.999999999999998
Federalist Papers,8617,52.11996147265548,0.00604850429066444,0.186217804644124,-28886.01379097812,999.9999999999999,9.999999999999998
Moby Dick,16956,938.0098431860073,0.05532023137449913,0.15243146026501095,-63702.1907117759,999.7517061449721,1.9745170793469127
Federalist Papers,8617,75.3720079293538,0.008746896591546222,0.1645808535777808,-31014.671659131785,999.9999999999999,9.999999999999998
