corpus,V,bic_lzm,bic_moe,bic_winner,bic_zm,full_free_winner,head100_free_winner,lzm_exp_c,lzm_exp_lam,lzm_exp_rmse,lzm_impr_pct,lzm_is_lam,lzm_is_rmse,lzm_minus_moe_rmse,moe_lsq_alpha,moe_lsq_beta,moe_lsq_rmse,moe_mle_alpha,moe_mle_beta,moe_mle_rmse,tokens,zm_c,zm_rmse
Complete Works of Shakespeare,24458,-90325.55655936858,-84397.1397428955,lzm,-82661.35164721734,is,is,2281.4253357390994,23.536538775183317,0.1576511654064508,14.519979335869857,4.5855334951222275,0.16946542839363682,-0.020386260565584458,1.7423633419007778,71.79697486455724,0.17803742597203526,1.6403647717307963,24.193610042812104,0.29479344676929625,988670,244.84484777363113,0.18443042500644333
War and Peace,17445,-66920.20643673527,-61001.00005906738,lzm,-59226.68392407176,is,xpow,2606.9533203807878,23.70973789574224,0.1467310835889146,19.81132458463816,4.6505754442152245,0.16232128362737366,-0.027227072764116123,1.7076464952063426,54.2564238032187,0.17395815635303072,1.5874538296166247,15.699549570782146,0.32779193429474673,583368,209.1315494553841,0.182982301215073
Moby Dick,16956,-62756.87480460479,-61909.88520608084,lzm,-61790.61638187732,xpow,xpow,1258.7808714820947,23.629056253749866,0.15696556376389803,2.837007086460247,-1.6278365040378067,0.16012466637139433,-0.004062213103834533,1.4002107866365403,12.739582063668061,0.16102777686773256,1.5450787061444968,14.093865191442644,0.6492939798918888,219054,10.497932011426359,0.16154871217642858
King James Bible,12555,-47587.99604673112,-41733.88676402404,lzm,-41907.60536296481,is,xpow,1820.2310391850633,23.761467134209898,0.15006533845962508,20.27572918576789,4.234696938254109,0.16734200644774935,-0.03954309573603035,1.8446572324516222,71.55704319099893,0.18960843419565543,1.616234334630026,12.172160342768382,0.2573431699581265,792180,171.38167664978175,0.18823043086752939
Federalist Papers,8617,-32663.69330017538,-29444.14986481876,lzm,-28166.08059349571,is,xpow,1949.0585962830123,21.323149342204403,0.14995671870551752,23.010337402084748,4.2186483141422135,0.16741624151659082,-0.03099165620552527,1.6275830958150805,27.816027987488603,0.1809483749110428,1.5373826427642645,8.83659476141193,0.46342753277626075,192302,109.04140681413556,0.19477513427832335
Grimm's Fairy Tales,4746,-18010.045982568663,-17705.36603960946,lzm,-17135.686772831286,is,xpow,405.51620021722357,15.648863882455313,0.14942519839584542,8.881305305214036,2.011116580323732,0.155496705934027,-0.005149605246063227,1.6945761720843147,29.484783158914226,0.15457480364190865,1.6870632776341588,19.058876583613866,0.3503141143034555,102114,45.98251274197185,0.1639896169456386
Don Quixote,15574,-58464.93196716819,-56440.19151463576,lzm,-54303.88790628109,is,xpow,1783.7476864175383,24.415198857386706,0.1528582830594717,12.532191654063105,3.8111876457777365,0.16633187815587325,-0.010367586237266524,1.5856260593716454,20.80873717751906,0.1632258692967382,1.6085579085426485,15.376257181439787,0.4336332578270795,433304,65.66394188576379,0.1747594754574325
Pride and Prejudice,6729,-24994.11757580945,-24795.321927202247,lzm,-24143.67602757645,is,xpow,500.81886840373903,17.74531182295457,0.15570161719679518,6.185167019383593,1.7967066891677725,0.1626759324575016,-0.002524147697156004,1.607605228318045,21.80129091937488,0.15822576489395118,1.7045898972261262,24.66844293861046,0.4647049318862551,128565,34.11942084275591,0.16596695026783828
Canterbury Tales,17653,-64733.69794014591,-63232.80694404579,lzm,-63259.82602854409,euclid,xpow,767.799998721209,21.98919389790361,0.1596754378881006,4.115190748321369,2.0251471942768005,0.16579028116766847,-0.007026616296267413,1.4228590594911255,10.747225930097454,0.166702054184368,1.5785894186479963,15.777693933818755,0.5941510998240992,281189,15.250535352832612,0.1665283991638177
Arabian Nights (Vol 1),13883,-48798.12164741898,-46400.3757663368,lzm,-47256.11470799599,xpow,exp,432.7359504429473,20.638993302880742,0.17224254245043324,5.434675503263075,2.0342298118900937,0.18085904715556503,-0.015664265596873117,1.376466412019916,9.106596458722699,0.18790680804730636,1.5516583621706332,12.561294275005547,0.6388231710022658,176048,6.42540318643635,0.18214133284804268
Aesop's Fables,4394,-15906.116475290992,-15205.117043609313,lzm,-15684.69264166403,is,exp,197.51126358226804,16.273679891180766,0.1630335414369341,2.581167368018435,1.142311506795119,0.16657338626341517,-0.01387497127590373,1.439835144580862,13.732804065064844,0.17690851271283783,1.5984631406025875,12.427836704200722,0.6665584110103718,41594,3.68769267556447,0.16735320782668867
Complete Sherlock Holmes,7817,-28389.62305745371,-27870.12459621687,lzm,-27921.634538798946,xpow,xpow,437.83163949028716,19.185319529473926,0.16232035435425593,3.0046738365952934,-1.7331907372984103,0.16660811244251184,-0.005676856799505081,1.454869025150985,11.699672124954946,0.167997211153761,1.634023398693623,17.371511421875457,0.6060928436467817,105863,10.294479612917323,0.16734863500618616
Jane Eyre,12541,-46902.02933958478,-46470.0688766068,lzm,-45741.77821470576,xpow,xpow,995.9115049872711,22.223642617413773,0.15389993043853967,4.556387126947054,-2.159560931978971,0.158624959799521,-0.002791269952218539,1.4487632686468304,12.743337295674856,0.1566912003907582,1.5911316952826247,15.748942551723585,0.6042960145014192,189604,16.307585257849095,0.16124696646095946
Dubliners,7157,-25911.5901193983,-23727.948945565982,lzm,-24939.9668073569,xpow,exp,163.33460986520825,17.028397969215245,0.16321166134810208,6.6205897854157625,1.3795242597185324,0.17349208282443324,-0.02713384682551223,1.4004779291479679,12.332968158767361,0.19034550817361431,1.6108349507520776,16.415069674270185,0.6820221364173665,69264,3.263282326595508,0.17478334996231457
The Iliad,12300,-44705.565096240935,-43292.47831551752,lzm,-41835.22687045291,is,xpow,1024.3024439867497,17.088009026728788,0.1622153231062672,11.04710579534898,3.4036893429673136,0.16738822354092847,-0.009722479439098958,1.6277845303842358,45.17647018114639,0.17193780254536617,1.5511839232782307,15.395303640845002,0.43888122676450303,194969,137.39605844225042,0.18236092772098422
Democracy in America,9301,-34845.93791740044,-32054.506105307373,lzm,-30634.47558000914,is,xpow,1730.0396255414123,20.608074023744642,0.15332414209781675,20.299122745992772,4.134872587274913,0.16704010528672159,-0.02499904494960148,1.610950569226354,27.901310305592823,0.17832318704741823,1.5225165301879207,8.677280718680159,0.47909322018952644,187753,110.90450314378926,0.19237447237772765
Origin of Species,6887,-26853.166589641223,-24487.271826037348,lzm,-23550.216622277163,is,xpow,1252.838071659047,18.327413318031468,0.14197261262324815,21.3716283748786,3.368069856870086,0.1558547562765569,-0.026821994665079868,1.7354554886539222,53.95995000796772,0.168794607288328,1.620786940556476,16.46500715637028,0.36943919215304777,156024,132.51415058330616,0.180561557728977
Wealth of Nations,9478,-36693.668997249435,-32393.667799230076,lzm,-32329.26806482547,is,xpow,1406.5873566814464,19.98128037179197,0.1440405123444085,20.603948472875217,3.753805885676779,0.15692776719474608,-0.03685179517540915,1.8211796281635455,74.23413787226576,0.18089230751981766,1.586933645311372,11.660504583909773,0.2765507259929605,380080,180.40850551892163,0.18142024644033924
Les Miserables,22677,-83588.83114316761,-78429.87082378243,lzm,-75670.5037681697,is,xpow,2628.376263892365,23.68531825144729,0.15819677842411026,16.03839067578888,5.0527843950091516,0.1699464132865088,-0.01913646424019172,1.600494847702404,32.25460667408607,0.17733324266430198,1.5319052219272895,11.900349559886925,0.4266742702619761,575614,182.47253316947916,0.1884156100596475
Decline and Fall Vol 1,15983,-54552.62552205647,-51345.22427178562,lzm,-49905.77567443126,is,xpow,1847.2972134690183,19.24880975906246,0.1812652249965107,13.555821102938046,4.570231238813881,0.1870927881096973,-0.019252929102476585,1.5767193889704185,33.87722441699569,0.2005181540989873,1.4588069048194179,7.48391785538447,0.5480396607513743,262698,211.07196916272378,0.20969049311274274
Emile,11174,-40847.822262872105,-39859.561954895245,lzm,-38448.01428120331,is,xpow,1126.5038314437104,21.70743435481331,0.16049780454870655,10.219345975656731,3.100107546836027,0.17191373387112086,-0.007396708512150074,1.5890746307071655,21.402910898374916,0.16789451306085662,1.6358170569983037,18.022817634930625,0.4524882110328722,252843,51.48067915381241,0.1787665798304264
Ulysses,28990,-103509.75574852868,-93201.21370159277,lzm,-98239.37074632023,xpow,exp,632.6569150654883,24.244250252641777,0.16763346899405815,8.705282885816386,3.1761067614177203,0.18007672922785645,-0.032689133262651326,1.331542399248829,16.396506674179182,0.20032260225670948,1.499083914027642,13.172726674592225,0.7933524709796353,268854,0.6324152122192379,0.1836179291561817
Collected Poe,9312,-33614.810441298534,-32611.603318225927,lzm,-32688.845461047335,xpow,xpow,675.2202852312596,19.82060947623581,0.16416523927172963,4.896995522249671,-1.3001998603493647,0.1711946161758508,-0.009255605145260165,1.4292133434903491,17.50003278099565,0.1734208444169898,1.5377756586115652,11.850743786963948,0.6941707090604244,91801,6.957528471368607,0.17261835225209593
Principia Ethica,3814,-13878.055033600553,-13068.315858080818,lzm,-12824.903234798714,is,xpow,427.7596341936607,14.246951166351694,0.16143038604634072,12.989816514461236,2.2331073769603687,0.16996097783700237,-0.01846755363421093,1.828966250282317,53.85306981602582,0.17989793968055165,1.7201806647114983,20.11255614934046,0.3010620571815994,98676,78.7645572814913,0.18553045124099837
Critique of Pure Reason,6537,-23806.658407398107,-23063.51566029361,lzm,-22706.845057325914,is,xpow,342.8559779036702,15.3477531676428,0.16144285315013612,8.12986110086164,2.2652953335530635,0.16684337611261973,-0.00967224568167424,1.7461524321181336,32.88254714321089,0.17111509883181036,1.6415969993897024,13.201897837864978,0.24944441228121403,209795,57.9583035946641,0.17572941010503934
