corpus,panel,fold,V_train,V_test,lzm_gen,zm_train_rmse,lzm_train_rmse,zm_ho,lzm_ho,moe_ho,lzm_impr_pct
Complete Works of Shakespeare,en,A>B,18791,18887,exp,0.17809584222543115,0.16082366406982798,0.17956476720004488,0.16160701634216706,0.16991062752499483,10.000709570086158
Complete Works of Shakespeare,en,B>A,18887,18791,exp,0.18013082686549728,0.16258314413703445,0.17819303283735174,0.160957606063885,0.16895795633444782,9.672334826468001
War and Peace,en,A>B,13589,13690,exp,0.17322489977128708,0.15397836811776222,0.17416591032926554,0.1545627167945935,0.1624315401208556,11.255471003258709
War and Peace,en,B>A,13690,13589,exp,0.17467700035082404,0.15584423291260774,0.17322666533429684,0.15402118542184368,0.1614095853146233,11.086907362322068
Moby Dick,en,A>B,12256,12272,exp,0.16707148160550808,0.15995382009160675,0.16690885947648548,0.16001031974350746,0.18477933412776446,4.133117771348682
Moby Dick,en,B>A,12272,12256,exp,0.167108975027716,0.16008857987393724,0.16708474216988914,0.15997803094068969,0.18563097312822435,4.253357390331584
King James Bible,en,A>B,9992,9941,exp,0.17716499638224956,0.1561056391932658,0.1746010382167438,0.15318055066601008,0.16687250399996656,12.268247525620701
King James Bible,en,B>A,9941,9992,exp,0.17459239180187677,0.1531677692974644,0.1767961802899244,0.15508015676417206,0.1692598833233129,12.283084108571053
Federalist Papers,en,A>B,6681,6642,exp,0.17328009095217795,0.15241093541740477,0.17933120784916745,0.1562401808054107,0.16498935680635698,12.876189995429154
Federalist Papers,en,B>A,6642,6681,exp,0.17907635548245082,0.15583585246608064,0.1733865424070041,0.1518612388655161,0.1597354570932464,12.41463336350518
Grimm's Fairy Tales,en,A>B,3632,3614,exp,0.16560643401424519,0.15851447587809053,0.16137813855176844,0.15432592497420114,0.15875927888356378,4.36999313590733
Grimm's Fairy Tales,en,B>A,3614,3632,exp,0.16117189582504055,0.15412411150611627,0.16513312513350378,0.15794093541949641,0.16271467435491477,4.355388846539881
Don Quixote,en,A>B,11939,11774,exp,0.16650968315281908,0.15978419759383736,0.16659627185274156,0.15950188173910618,0.16238401802690675,4.258432697645411
Don Quixote,en,B>A,11774,11939,exp,0.1663590815631731,0.1591951845657038,0.1650645506324551,0.15791075975753505,0.16064572221160325,4.333935328639524
Pride and Prejudice,en,A>B,5042,5072,exp,0.1653131494375541,0.16184220219442239,0.16405681163311497,0.16000762303251959,0.16760061164692866,2.468162437321229
Pride and Prejudice,en,B>A,5072,5042,exp,0.1649241673189574,0.16079025711231068,0.1654100764534588,0.16194045042445135,0.1691785884446983,2.0975904874717126
Canterbury Tales,en,A>B,12691,12689,exp,0.17456181542379356,0.16523335835602088,0.1714227838571365,0.16262436485461523,0.1824008478077326,5.13258436512958
Canterbury Tales,en,B>A,12689,12691,exp,0.1713647612355243,0.1625560318745084,0.1745899528020872,0.1652829826683562,0.18566697041822616,5.330759293051217
Arabian Nights (Vol 1),en,A>B,9706,9746,exp,0.18678586503466543,0.17249714560771767,0.1882280596663834,0.17346402656022156,0.20539897848822286,7.843694044516903
Arabian Nights (Vol 1),en,B>A,9746,9706,exp,0.1890569559547144,0.17391860625856406,0.18679375264123596,0.17252207937919944,0.20424388924073,7.6403375703079845
Aesop's Fables,en,A>B,3132,3108,exp,0.17318417353332152,0.1605044092095453,0.17629939304756853,0.16272673343541064,0.2136372494006102,7.698642279781284
Aesop's Fables,en,B>A,3108,3132,exp,0.17586301541026766,0.162265526271486,0.17213682548052708,0.16018441470574848,0.20798230800505974,6.943552456839464
Complete Sherlock Holmes,en,A>B,5716,5582,exp,0.17222603342663995,0.16552896685960503,0.16875689155938506,0.1630388095155757,0.1841144868708169,3.388354686420129
Complete Sherlock Holmes,en,B>A,5582,5716,exp,0.16810709001470234,0.16246082090935962,0.16834815610651502,0.16338303137491159,0.18392540891390982,2.9493193429822684
Jane Eyre,en,A>B,9243,9245,exp,0.1638471077876987,0.15882084306077057,0.16593777877051158,0.1603628730219712,0.17765336441541643,3.3596362382615497
Jane Eyre,en,B>A,9245,9243,exp,0.16588304817007127,0.16028585102307033,0.1639362527307613,0.1589198100404988,0.17573961595679613,3.059995947632882
Dubliners,en,A>B,5040,4910,exp,0.19783256003346655,0.1773193805647236,0.19398415606593053,0.17494851191281757,0.2260144779126183,9.812989132289342
Dubliners,en,B>A,4910,5040,exp,0.19339355383689366,0.17434794147160654,0.19247152092996483,0.17453700802130692,0.22449104586610225,9.318008618627685
The Iliad,en,A>B,9133,9161,exp,0.17747077172049075,0.1623921881461972,0.1844494380651819,0.16847809964509122,0.1757675157205117,8.658924953973909
The Iliad,en,B>A,9161,9133,exp,0.18466701085962323,0.1687218549933765,0.17759728472831204,0.16264229399781913,0.17061227078756427,8.420731630762841
Democracy in America,en,A>B,7106,7118,exp,0.17527009672891058,0.15405931270886,0.17793305926328612,0.1579963467535639,0.16533485921144028,11.204614022974807
Democracy in America,en,B>A,7118,7106,exp,0.177566063228942,0.15770104651453748,0.17568051315775018,0.1545973683305712,0.16209720177233872,12.000844287293058
Origin of Species,en,A>B,5399,5352,exp,0.1751377059980997,0.15292905929125908,0.1722721557086071,0.1490485773021068,0.15743010554636475,13.480749869864196
Origin of Species,en,B>A,5352,5399,exp,0.17223632604477573,0.14900007867103945,0.17472301801690177,0.15145887153473392,0.15981292933964025,13.314872159498412
