config,kind,seed,gate,V,rmse,bic,k,w_gate,w_tail
LN1,lognormal,1,tanh,14238,0.13076964462112817,-57843.16467902457,431.40039600387365,1.359777392932922,9.999999999999998
LN1,lognormal,1,logistic,14238,0.13076964463354154,-57843.164676321474,431.3972756337663,0.679854526271392,9.999999999999998
LN1,lognormal,1,arctan,14238,0.13126677611200896,-57735.11608578648,457.9818978916566,0.7403344484147584,9.999999999999998
LN1,lognormal,1,algebraic,14238,0.13064521356839143,-57870.27330590117,435.42182320038563,1.3069718596427011,9.999999999999998
LN1,lognormal,1,erf,14238,0.13078312374607232,-57840.229657043,447.56233964406846,1.478115092771808,9.999999999999998
LN3,lognormal,1,logistic,18949,0.15876459397932863,-69656.28366967394,308.84772132174993,0.7038951602646268,9.999999999999998
LN3,lognormal,1,tanh,18949,0.15876459424463657,-69656.28360634344,308.8464991518011,1.4079864594040579,9.999999999999998
LN3,lognormal,1,erf,18949,0.1594456588268672,-69494.05737572623,328.1138372762144,1.642586879032572,9.999999999999998
LN3,lognormal,1,algebraic,18949,0.1580801599211927,-69820.01509941477,334.51671495212975,1.2994391747431373,9.999999999999998
LN4,lognormal,1,tanh,7473,0.12778708524434546,-30669.476433316846,999.9999999999975,1.0456051062040388,2.3944677578866402
LN3,lognormal,1,arctan,18949,0.1581031477927631,-69814.5044077555,397.75062423772874,0.7865065087292455,9.999999999999998
LN4,lognormal,1,algebraic,7473,0.1284641367074197,-30590.497417043654,999.9999999999266,0.4948416171264831,2.4142205256410825
LN2,lognormal,1,tanh,9970,0.12218177829165543,-41835.906399391686,999.9999999999999,1.0508569673619248,3.3925798533085505
LN4,lognormal,1,arctan,7473,0.12917272388292095,-30508.284253877795,999.999999999987,0.08200985037606201,2.402654360412668
LN4,lognormal,1,logistic,7473,0.12778708509415873,-30669.47645088271,999.9999999999985,0.5228278741105018,2.3944744542595746
PA1,pareto,1,logistic,15197,0.1374724537587427,-60225.11856448519,998.2654313611132,0.4614024727010568,4.86598855461066
PA1,pareto,1,tanh,15197,0.1374724539495539,-60225.118522298435,998.2997481735866,0.9226218304050886,4.864663840600996
PA1,pareto,1,erf,15197,0.1373528668152674,-60251.56973559127,999.9999977416096,1.0265295842657527,4.7477711785618775
PA1,pareto,1,algebraic,15197,0.1376954531942887,-60175.85521540599,911.5679530672185,1.021608481381153,5.567742807042301
PA2,pareto,1,logistic,10142,0.1392875908588999,-39901.094635017886,812.8302899279339,0.2788192149609044,3.132365539427442
PA1,pareto,1,arctan,15197,0.13792241119608262,-60125.79922153248,839.5119060220682,0.7484576429800995,6.489469192266532
