corpus,family,gate,V,rmse,bic
Complete Works of Shakespeare,lognormal_twin,arctan,20159,0.1244788460442332,-83918.16789458937
Complete Works of Shakespeare,lognormal_twin,algebraic,20159,0.12414350626996365,-84026.92913099474
War and Peace,lognormal_twin,algebraic,14508,0.11974079600149629,-61498.06798196378
Complete Works of Shakespeare,lognormal_twin,tanh,20159,0.12419068423478817,-84011.61008688879
Complete Works of Shakespeare,lognormal_twin,erf,20159,0.12407270195310448,-84049.93075965543
Complete Works of Shakespeare,lognormal_twin,logistic,20159,0.12419068423475078,-84011.61008690092
War and Peace,lognormal_twin,arctan,14508,0.12006292456863106,-61420.11349398683
War and Peace,lognormal_twin,logistic,14508,0.12000787401509411,-61433.42079249085
War and Peace,lognormal_twin,tanh,14508,0.1197144080439452,-61504.463106951385
King James Bible,lognormal_twin,logistic,10563,0.1275741413919698,-43416.264469701346
King James Bible,lognormal_twin,tanh,10563,0.1275735264753313,-43416.36629880301
War and Peace,pareto_twin,arctan,15832,0.1256582551617435,-65590.10245277378
King James Bible,lognormal_twin,algebraic,10563,0.1288255263167521,-43210.04760467532
War and Peace,pareto_twin,algebraic,15832,0.124849575839833,-65794.53606983137
King James Bible,lognormal_twin,arctan,10563,0.12932943476443268,-43127.57323856932
King James Bible,lognormal_twin,erf,10563,0.12709774401655563,-43495.30250467075
War and Peace,pareto_twin,logistic,15832,0.12457965315879185,-65863.06721305884
Federalist Papers,lognormal_twin,logistic,7077,0.11652864726691645,-30345.913661622137
War and Peace,pareto_twin,tanh,15832,0.12457965316097439,-65863.06721250412
Complete Works of Shakespeare,pareto_twin,algebraic,22211,0.12780570898568114,-91296.82084834512
War and Peace,lognormal_twin,erf,14508,0.11964147068495529,-61522.14682113627
Federalist Papers,lognormal_twin,tanh,7077,0.11652858375620882,-30345.92137586942
Federalist Papers,lognormal_twin,algebraic,7077,0.11649401045084401,-30350.121402646993
Complete Works of Shakespeare,pareto_twin,arctan,22211,0.12773904965922528,-91319.99597181614
Federalist Papers,lognormal_twin,arctan,7077,0.11651472544193602,-30347.60475893777
Federalist Papers,lognormal_twin,erf,7077,0.11635624741552307,-30366.869489999874
Federalist Papers,pareto_twin,tanh,7940,0.1289800422917452,-32442.97283140929
King James Bible,pareto_twin,logistic,11213,0.12452474592610718,-46635.059435716284
